NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Contractee Agency Name,Contractee Company Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by,VOMS Under Contract,Months Seller Operated in FY,PT Fare Revenues/Passenger Fees,Passenger Out of Pocket Expenses,Direct Payment/Agency Subsidy,Contract Capital Leasing Expenses,Other Operating Expenses Incurred by the Buyer,Total Modal Expenses,Other Reconciling Item Expenses Incurred by the Buyer
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,40,,Central Puget Sound Regional Transit Authority,,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,106,12,15799599,,52973384,0,0,68772983,0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,,,,Veolia Transportation Services,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,155,10,407345,,29718238,934494,4428830,35488907,0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,,,,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,84,10,193717,,11703611,331183,1758240,13986751,0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,,,,MV Transport,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,N,,In This Report,,Buyer,327,3,191705,,13673337,388995,2012039,16266076,0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,,,,Solid Ground Washington,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,59,12,156307,,11337725,292758,1699441,13486231,0
1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,,,,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,89,10,157357,,2224895,66314,347929,2796495,0
1,King County Department of Metro Transit,Full Reporter,Urban,DT,PT,,,,MV Transport,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,N,,In This Report,,Buyer,89,3,32679,,466858,13281,72257,585075,0
1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,40,,Central Puget Sound Regional Transit Authority,,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Buyer,54,12,43260729,,59640284,0,0,102901013,0
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,,,,Hopelink,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,29,12,1050808,,7738884,152240,1117761,10059693,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,Artisans Ark,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,12,8880,,353,0,458,9691,0
