NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol, Methonal ,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,0,,,348542,,,,,597679,,,,443747,,
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,203058,,,40878,,,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,524839,,,10183781,542519,,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,0,,,42340,,,,,126250,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,,,,,,2241000,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,,,,,,15300827,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,,,,,,,,,881551,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,0,,,115242,,,,,25242,,,2043,,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,0,,,129363,,,,,18029,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,0,,,1263458,,,,,,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,58731,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,28044,,,,,,61879,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,271588,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,1396669,145589,115526,,,,17052,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,303588,,,,,,
5,City of Everett,Full Reporter,Urban,DR,DO,0,,,16495,,,,,95341,,,,,,
5,City of Everett,Full Reporter,Urban,MB,DO,0,,,264129,384584,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,CB,PT,0,,,26947,,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,DR,PT,,,,,,,,,33791,,,,,,
6,City of Yakima,Full Reporter,Urban,MB,DO,0,,,152218,,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,VP,DO,,,,,,,,,19706,,,,,,
7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,172105,,,,,,
7,Lane Transit District,Full Reporter,Urban,MB,DO,0,,,668750,17694,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,MB,PT,0,,,8504,,,,,16727,,,,,,
7,Lane Transit District,Full Reporter,Urban,RB,DO,0,,,211441,,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,21194,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,689692,,,0,,,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,,,,,,56652592,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,5370848,,,0,35463,,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,111533,,,0,,,,,,,,,,,
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,0,,53208,83,,,,,19661,,,,,,
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,0,,369098,6904,,,,,41032,,,,,,
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,,,,,,,,,119630,,,,,,
