NTD ID,Agency Name,Reporter Type,Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type
7,Lane Transit District,Full Reporter: Operating,Urban,0R02,Oregon Department of Transportation ,State Reporter
10,Klamath Tribes,Small Systems Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter
11,Valley Regional Transit,Full Reporter: Operating,Urban,A0004,Valley Regional Transit,Group Plan Sponsor
14,Sitka Tribe of Alaska,Small Systems Reporter,Tribe,0R04,Alaska Department of Transportation,State Reporter
22,City of Pocatello,Small Systems Reporter,Urban,0R01,Idaho Transportation Department,State Reporter
34,Rogue Valley Transportation District,Full Reporter: Operating,Urban,0R02,Oregon Department of Transportation ,State Reporter
46,City of Wilsonville,Full Reporter: Operating,Urban,0R02,Oregon Department of Transportation ,State Reporter
47,City of Corvallis,Small Systems Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
48,City of Lewiston,Small Systems Reporter,Urban,0R01,Idaho Transportation Department,State Reporter
53,Coeur d'Alene Tribe,Small Systems Reporter,Tribe,0R01,Idaho Transportation Department,State Reporter
57,Central Oregon Intergovernmental Council,Full Reporter: Operating,Urban,0R02,Oregon Department of Transportation ,State Reporter
59,Josephine County,Small Systems Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
61,City of Albany,Small Systems Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
63,City of Milton-Freewater,Small Systems Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
65,Benton County,Small Systems Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
75,Confederated Tribes of the Grand Ronde Community of Oregon,Small Systems Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter
85,Gulkana Village Council,Small Systems Reporter,Tribe,0R04,Alaska Department of Transportation,State Reporter
119,Confederated Tribes of the Umatilla Indian Reservation,Small Systems Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter
135,Nez Perce Tribe,Small Systems Reporter,Tribe,0R01,Idaho Transportation Department,State Reporter
373,Treasure Valley Transit,Small Systems Reporter,Urban,0R01,Idaho Transportation Department,State Reporter
376,"Ride Connection, Inc.",Full Reporter: Operating,Urban,0R02,Oregon Department of Transportation ,State Reporter
415,Ada County Highway District,Full Reporter: Operating,Urban,A0004,Valley Regional Transit,Group Plan Sponsor
416,Boise State University,Small Systems Reporter,Urban,A0004,Valley Regional Transit,Group Plan Sponsor
0R01-00288,City of Moscow,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00311,Mountain Rides Transportation Authority,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00341,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00342,Valley Vista Care Corporation,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00344,Living Independent Network Corporation,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00347,SMART Transit,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00357,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00385,Franklin County Medical Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00392,Boise Basin Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00403,Lemhi Ride,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00404,Shoshone County,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R01-00422,Oneida County Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00423,Mackay Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00424,Golden Year Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00425,Fremont County Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00426,Filer Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00427,"Development Workshop, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00428,Bingham County Blackfoot Seniors,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00429,University of Idaho,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00430,"Witco, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00431,Adams County Health Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00432,"Three Island Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00433,"Tesh, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00434,St. Mark's Catholic Community,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00435,Payette Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00436,Parma Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00437,Mountain Home Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00438,Minidoka Memorial Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00439,Metro Community Transportation,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00440,Weiser Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00441,Rimrock Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00442,New Plymouth Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00443,New Meadows Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00444,Melba Valley Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00445,McCall Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00446,Horseshoe Bend Senior Citizens,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00447,Gem County Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00448,Council Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00449,Cascade Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00450,Cambridge Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00451,"Boise Good Samaritan Housing, Inc",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00452,Blaine County Seniors Council,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00453,Bear Lake County Memorial Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00454,Kuna Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00457,Elderly Opportunity Agency (EOA),Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-00458,Meridian Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
0R01-80188,Southern Teton Area Rapid Transit,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
0R02-00290,City of Cottage Grove,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00296,Tillamook County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00300,City of Silverton,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00301,South Clackamas Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00307,Coos County Area Transit,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00308,Curry County Public Transit Service District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00310,Lincoln County Transportation Service District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00313,Grant County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00319,Hood River County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00321,Yamhill County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00323,Malheur Council on Aging and Community Services,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00330,City of Canby,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00331,Sunset Empire Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00339,Basin Transit Service,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00343,Community Connection of Northeast Oregon,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00348,"Senior Citizens of Sweet Home, Inc.",Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00351,Douglas County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00359,City of Pendleton,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00360,City of Woodburn,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00363,Clackamas County Social Services,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00374,Harney County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00375,Columbia County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
0R02-00377,City of Lebanon,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
