State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,TAM Sponsor NTD ID,TAM Sponsor Name,Reporting Module,Mode,TOS,Facility Ownership,Less Than 200 Vehicles,Between 200 and 300 Vehicles,Greater than 300 Vehicles,Heavy Maintenance Facilities,Total Maintenance Facilities
,1,King County Department of Metro Transit,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,4,,,,4
,1,King County Department of Metro Transit,Full Reporter,,,Urban,FB,DO,Leased from a Private Entity,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,FB,DO,Leased from Another Public Agency,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,FB,DO,Owned,1,,,,1
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,Owned,2,4,0.5,1,7.5
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,PT,Facilities Owned by Service Provider,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,PT,Facilities Owned by Public Agency,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,PT,Facilities Leased by Public Agency,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,PT,Facilities Leased by Service Provider,1,,,,1
,1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,Leased from a Private Entity,,,,,0
,1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,Leased from Another Public Agency,2,,,,2
,1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,Owned,,,,,0
