State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,State Name,State,Subrecipient Type,FY Start Date,FY End Date,Event Type,Location,Reportable Events,Major Safety and Security Events,Non Major Events (non-injury),Operator Injuries,Other Transit Worker Injuries,Other Injuries,Total Injuries,Operator Fatalities,Other Transit Worker Fatalities,Other Fatalities,Total Fatalities,Notes
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,10,Klamath Tribes,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,22,City of Pocatello,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,30,Chickaloon Native Village,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,36,Makah Tribal Council,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,45,Fairbanks North Star Borough ,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,47,City of Corvallis,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,48,City of Lewiston,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,51,Asotin County,Reduced Reporter,Urban,,,,,,,,2,,,,,,2,,,,0,
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,55,Kootenai County,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,59,Josephine County,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,61,City of Albany,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,63,City of Milton-Freewater,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,64,Valley Transit,Reduced Reporter,Urban,,,,,,,,1,,,,,,1,,,,0,
,65,Benton County,Reduced Reporter,Urban,,,,,,,,0,,,,,,0,,,,0,
,85,Gulkana Village Council,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,95,Lummi Nation,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,103,Squaxin Island Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,,,,,,,,2,,,,,,0,,,,0,
,127,Cowlitz Indian Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,135,Nez Perce Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,199,Seldovia Village Tribe,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,207,Spokane Tribe of Indians,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,247,Native Village of Noatak,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,271,Nome Eskimo Community,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,279,Hydaburg Cooperative Association,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
,373,Treasure Valley Transit,Reduced Reporter,Urban,,,,,,,,5,,,,,,2,,,,0,
,400,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,,,,,,,,0,,,,,,0,,,,0,
