State NTD ID,NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Primary Mode Served,Secondary Modes Served,Reporting Module,Fleet ID,Agency Service Fleet ID,Service Fleet Name,Year of Manufacture,Vehicle Type,Number of Vehicles,Useful Life Benchmark,Percent Agency Capital Responsibility,Estimated Cost,Year Dollar of the Estimated Cost,Separate Asset Flag,Notes
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2304,EXA367,NRV 4,2007,Automobiles,1,8,100,24217.32,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2305,EXA370,NRV 5,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2307,EXA377,NRV 7,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2308,EXA378,NRV 8,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2309,EXA379,NRV 9,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2311,EXA381,NRV 11,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2312,EXA384,NRV 12,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2314,EXA386,NRV 14,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2315,EXA390,NRV 15,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2316,EXA395,NRV 16,2007,Automobiles,1,8,100,24217.32,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2317,EXA399,NRV 17,2007,Automobiles,1,4,100,25227.72,2007,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2319,EXA404,NRV 19,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2320,EXA405,NRV 20,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2321,EXA407,NRV 21,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2322,EXA408,NRV 22,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County Department of Metro Transit,Full Reporter,,,MB,,Urban,2323,EXA410,NRV 23,2008,Automobiles,1,8,100,24163.22,2008,N,
