NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Reporting Module,Mode,TOS,ADA Accessible Stations,Non-ADA Accessible Stations,Total Stations,Escalators,Elevators
1,King County Department of Metro Transit,Full Reporter,,,Urban,FB,DO,1.0,2.0,3,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,14.0,,14,40.0,38.0
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,PT,,,0,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,25.0,,25,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,TB,DO,,,0,,
2,Spokane Transit Authority,Full Reporter,,,Urban,MB,DO,1.0,,1,1.0,2.0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,8.0,,8,,5.0
4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,FB,DO,0.0,2.0,2,,
4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
5,City of Everett,Full Reporter,,,Urban,MB,DO,3.0,,3,,
6,City of Yakima,Full Reporter,,,Urban,CB,PT,,,0,,
6,City of Yakima,Full Reporter,,,Urban,MB,DO,1.0,,1,,
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,2.0,0.0,2,0.0,0.0
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,0.0,0.0,0,0.0,0.0
7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,RB,DO,2.0,0.0,2,0.0,0.0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,98.0,0.0,98,0.0,16.0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,6.0,0.0,6,0.0,0.0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,5.0,0.0,5,0.0,0.0
9,Kalispel Tribe of Indians,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,0.0,0.0,0,0.0,0.0
11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,MB,PT,1.0,,1,,1.0
12,Municipality of Anchorage,Full Reporter,,,Urban,MB,DO,2.0,,2,,
12,Municipality of Anchorage,Full Reporter,,,Urban,MB,PT,,,0,,
14,Sitka Tribe of Alaska,Reduced Reporter,0R04,Alaska Department of Transportation,Tribe,MB,DO,,,0,,
16,RiverCities Transit,Full Reporter,,,Urban,MB,DO,1.0,,1,0.0,
18,Ben Franklin Transit,Full Reporter,,,Urban,MB,DO,1.0,3.0,4,,
19,Intercity Transit,Full Reporter,,,Urban,CB,DO,2.0,,2,,
19,Intercity Transit,Full Reporter,,,Urban,MB,DO,2.0,,2,,
20,Kitsap Transit,Full Reporter,,,Urban,FB,DO,3.0,0.0,3,0.0,1.0
20,Kitsap Transit,Full Reporter,,,Urban,FB,PT,2.0,1.0,3,1.0,0.0
20,Kitsap Transit,Full Reporter,,,Urban,MB,DO,7.0,0.0,7,0.0,1.0
21,Whatcom Transportation Authority,Full Reporter,,,Urban,MB,DO,4.0,0.0,4,0.0,0.0
22,City of Pocatello,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,1.0,0.0,1,0.0,0.0
23,City of Seattle,Full Reporter,,,Urban,MG,PT,2.0,0.0,2,0.0,1.0
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,3.0,,3,,
25,Salem Area Mass Transit District,Full Reporter,,,Urban,MB,DO,2.0,,2,,
28,County of Pierce,Full Reporter,,,Urban,FB,PT,3.0,0.0,3,0.0,1.0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,DO,1.0,0.0,1,0.0,0.0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,CB,PT,2.0,0.0,2,0.0,0.0
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,,,Urban,MB,DO,68.0,0.0,68,0.0,1.0
31,Shoshone-Bannock Tribes ,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
34,Rogue Valley Transportation District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,1.0,0.0,1,0.0,0.0
35,Washington State Ferries,Full Reporter,,,Urban,FB,DO,19.0,,19,,
36,Makah Tribal Council,Reduced Reporter,,,Tribe,MB,DO,,,0,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,DO,16.0,,16,4.0,13.0
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CB,PT,8.0,,8,,3.0
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,CR,PT,12.0,,12,,17.0
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,LR,DO,16.0,,16,70.0,45.0
40,Central Puget Sound Regional Transit Authority,Full Reporter,,,Urban,SR,DO,1.0,,1,,
41,Alaska Railroad Corporation,Full Reporter,,,Urban,AR,DO,8.0,,8,1.0,2.0
43,Link Transit,Full Reporter,,,Urban,MB,DO,1.0,,1,,1.0
44,Skagit Transit,Full Reporter,,,Urban,CB,DO,3.0,0.0,3,,2.0
44,Skagit Transit,Full Reporter,,,Urban,MB,DO,1.0,0.0,1,0.0,0.0
45,Fairbanks North Star Borough ,Reduced Reporter,,,Urban,MB,DO,1.0,0.0,1,0.0,0.0
46,City of Wilsonville,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,,,0,,
47,City of Corvallis,Reduced Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,1.0,,1,,
48,City of Lewiston,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,0.0,0.0,0,0.0,0.0
51,Asotin County,Reduced Reporter,,,Urban,MB,DO,,,0,,
53,Coeur d'Alene Tribe,Reduced Reporter,0R01,Idaho Transportation Department,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
57,Central Oregon Intergovernmental Council,Full Reporter,0R02,Oregon Department of Transportation ,Urban,CB,DO,1.0,0.0,1,0.0,0.0
57,Central Oregon Intergovernmental Council,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,0.0,0.0,0,0.0,0.0
57,Central Oregon Intergovernmental Council,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,1.0,0.0,1,0.0,0.0
58,City of Portland,Full Reporter,,,Urban,SR,PT,68.0,0.0,68,0.0,0.0
58,City of Portland,Full Reporter,,,Urban,TR,PT,2.0,0.0,2,0.0,1.0
59,Josephine County,Reduced Reporter,0R02,Oregon Department of Transportation ,Urban,CB,DO,0.0,0.0,0,0.0,0.0
59,Josephine County,Reduced Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,0.0,0.0,0,,
61,City of Albany,Reduced Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,1.0,0.0,1,0.0,0.0
63,City of Milton-Freewater,Reduced Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,1.0,0.0,1,0.0,0.0
64,Valley Transit,Reduced Reporter,,,Urban,MB,DO,1.0,,1,,
65,Benton County,Reduced Reporter,0R02,Oregon Department of Transportation ,Urban,CB,PT,,,0,,
85,Gulkana Village Council,Reduced Reporter,0R04,Alaska Department of Transportation,Tribe,MB,DO,,,0,,
95,Lummi Nation,Reduced Reporter,,,Tribe,MB,DO,,,0,,
103,Squaxin Island Tribe,Reduced Reporter,,,Tribe,MB,DO,,,0,,
111,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,0.0,0.0,0,0.0,0.0
119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
135,Nez Perce Tribe,Reduced Reporter,0R01,Idaho Transportation Department,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
199,Seldovia Village Tribe,Reduced Reporter,,,Tribe,FB,DO,2.0,0.0,2,0.0,0.0
207,Spokane Tribe of Indians,Reduced Reporter,,,Tribe,MB,DO,,,0,,
271,Nome Eskimo Community,Reduced Reporter,,,Tribe,MB,DO,0.0,0.0,0,0.0,0.0
373,Treasure Valley Transit,Reduced Reporter,0R01,Idaho Transportation Department,Urban,MB,DO,,,0,,
376,"Ride Connection, Inc.",Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,0.0,0.0,0,0.0,0.0
