NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Reporting Module,Mode,TOS,Element Type,Element Name,Element Count,Lane Miles,Linear Miles,Track Miles,Pre 1930,1930's,Pre 1940,1940's,1950's,1960's,1970's,1980's,1990's,2000's,2010's,2020's,Expected Service Years,Percent Agency Capital Responsibility,Allocation Units,Separate Asset Flag,Shared Capital Responsibility Other Party,Notes
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,,Controlled Access High Intensity Busway,,78.7,,,,,,,,,,,,,,,,,,N,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,,Exclusive Fixed Guideway,,17.9,,,,,,,,,,,,,,,,,,N,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,MB,DO,,Exclusive High-Intensity Busway,,192.9,,,,,,,,,,,,,,,,,,N,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,At-Grade/In-Street/Embedded,,,,9,0,0,,0,0,0,0,0,0,35,65,,70,0,Percent,N,,"King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Curve - Revenue Service,,,,0.28,,,,,,,,,,,,,70,0,,N,,
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Grade Crossings,55,,,,,,,,,,,,,,,,70,0,,N,,"King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Non-Revenue Service,,,,0.9,,,,,,,,,,,,,70,0,,N,,"King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Overhead Contact System/Power Distribution,,,,,0,0,,0,0,0,0,0,0,0,100,,40,0,Percent,N,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Revenue Track - No Capital Replacement Responsibility,,,,7.85,,,,,,,,,,,,,70,,,N,,"King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County Department of Metro Transit,Full Reporter,,,Urban,SR,DO,,Substation Building,6,,,,0,0,,0,0,0,0,0,0,0,6,,40,0,Quantity,N,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
