NTDID,Agency Name,Reporter Type,Reporting Module,City,State,UZA,UZA Name,Mode,TOS,Form,Data Point,Item Name,Item Type,Item Type Code
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",SR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,00001 - SR/DO APC (UPT) W,Waiver,W
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",SR,DO,Service Rail (S-10),Passenger Miles (PM) - Annual Total Schedule,00001 - SR/DO APC (PMT) W,Waiver,W
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",TB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,00001 - TB/DO APC (UPT) W,Waiver,W
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",TB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00001 - TB/DO APC (PMT) W,Waiver,W
12,Municipality of Anchorage,Full Reporter,Urban,Anchorage,AK,149.0,"Anchorage, AK",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00012 - MB/DO APC Waiver PMT,Waiver,W
12,Municipality of Anchorage,Full Reporter,Urban,Anchorage,AK,149.0,"Anchorage, AK",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00012 - MB/DO APC Waiver UPT,Waiver,W
12,Municipality of Anchorage,Full Reporter,Urban,Anchorage,AK,149.0,"Anchorage, AK",VP,PT,Service Non-Rail (S-10),Total Actual Vehicle Revenue Hours (VRH) - Annual Total,00012 - VP/PT VRH Waiver,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",CB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00019 - CB/DO UPT W,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",CB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00019 - CB/DO PMT W,Waiver,W
19,Intercity Transit,Full Reporter,Urban,Olympia,WA,195.0,"Olympia-Lacey, WA",MB,DO,Service Non-Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total,00019 - MB/DO UPT W,Waiver,W
