State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Capital Type,Guideway,Passenger Stations,Administrative Buildings,Maintenance Buildings,Revenue Vehicles,Service Vehicles,Fare Revenue Collection Equipment,Communication Information Systems,Other,Total Capital Funds
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,5559223,,,,,5559223
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion Section,,,,,1749905,,,,,1749905
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,,1038487,,,,,,,,1038487
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,1348179,644871,259282,18062538,1072800,4036483,1305635,18593413,18814075,64137276
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion Section,,,923116,26898652,,,,,16432015,44253783
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Existing Section,,,,,,,,,,0
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Expansion Section,,,,,,,,,,0
