wltype,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Bio-Diesel,Bunker Fuel,C Natural Gas,Diesel Fuel,Electric Battery,Electric Propulsion,Ethanol, Methonal ,Gasoline,Hydrogen,Kerosene,Liquified Nat Gas,Liquified Petroleum Gas,Other Fuel,Other Fuel Description
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,,,,128946,,,,,572171,,,,398139,,
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,152414,,,7047,,,,,,,,,,,
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,455055,,,7793576,499478,,,,,,,,,,
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,,,,66554,,,,,75268,,,,,,
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,,,,,,1992782,,,,,,,,,
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,,,,,,13543196,,,,,,,,,
Full Reporter,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,,,,,,,,,319751,,,,,,
Full Reporter,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,,,,31786,,,,,77424,,,,,,
Full Reporter,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,,,,75752,,,,,5542,,,,,,
Full Reporter,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,,,,1215653,,,,,,,,,,,
Full Reporter,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,40443,,,,,,
Full Reporter,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,16764,,,,,,24030,,,,,,
Full Reporter,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,165807,,,,,,
Full Reporter,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,,,1128889,126109,529930,,,,7481,,,,,,
Full Reporter,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,190072,,,,,,
Full Reporter,5,City of Everett,Full Reporter,Urban,DR,DO,,,,1815,,,,,55784,,,,,,
Full Reporter,5,City of Everett,Full Reporter,Urban,MB,DO,,,,183204,617274,,,,,,,,,,
Full Reporter,6,City of Yakima,Full Reporter,Urban,CB,PT,,,,25333,,,,,,,,,,,
Full Reporter,6,City of Yakima,Full Reporter,Urban,DR,PT,,,,,,,,,23564,,,,,,
Full Reporter,6,City of Yakima,Full Reporter,Urban,MB,DO,,,,153644,,,,,,,,,,,
Full Reporter,6,City of Yakima,Full Reporter,Urban,VP,DO,,,,,,,,,4499,,,,,,
Full Reporter,7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,128024,,,,,,
Full Reporter,7,Lane Transit District,Full Reporter,Urban,MB,DO,,,,614477,61087,,,,,,,,,,
Full Reporter,7,Lane Transit District,Full Reporter,Urban,MB,PT,,,,8732,,,,,6835,,,,,,
Full Reporter,7,Lane Transit District,Full Reporter,Urban,RB,DO,,,,201947,,,,,,,,,,,
Full Reporter,7,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,16651,,,,,,
Full Reporter,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,554790,,,,,,,,,,,,,,
Full Reporter,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,,,,,,54389715,,,,,,,,,
Full Reporter,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,5292276,,,,184970,,,,,,,,,,
Full Reporter,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,103645,,,,,,,,,,,,,,
Full Reporter,11,Valley Regional Transit,Full Reporter,Urban,DR,PT,,,47532,1598,,,,,7377,,,,,,
Full Reporter,11,Valley Regional Transit,Full Reporter,Urban,MB,PT,,,388214,3338,,,,,10195,,,,,,
Full Reporter,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,,,,,,,,,84518,,,,,,
Full Reporter,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,,,,404617,,,,,37526,,,,,,
Full Reporter,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,,,,,,,,,61166,,,,,,
Full Reporter,16,RiverCities Transit,Full Reporter,Urban,DR,PT,317,,,,,,,,11094,,,,15857,,
Full Reporter,16,RiverCities Transit,Full Reporter,Urban,MB,DO,57300,,,,,,,,,,,,,,
Full Reporter,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,,,,,,,,,209661,,,,,,
Full Reporter,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,,,,,,,,,7284,,,,,,
Full Reporter,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,,,,527914,3038,,,,,,,,,,
Full Reporter,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,,,,,,,,,87568,,,,,,
Full Reporter,19,Intercity Transit,Full Reporter,Urban,CB,DO,,,,26764,,,,,,,,,,,
Full Reporter,19,Intercity Transit,Full Reporter,Urban,DR,DO,,,,76465,,,,,14888,,,,54772,,
Full Reporter,19,Intercity Transit,Full Reporter,Urban,MB,DO,,,,307787,,,,,,,,,,,
Full Reporter,19,Intercity Transit,Full Reporter,Urban,VP,DO,,,,,,,,,104567,,,,,,
Full Reporter,20,Kitsap Transit,Full Reporter,Urban,DR,DO,32572,,,,,,,,1289,,,,139048,,
Full Reporter,20,Kitsap Transit,Full Reporter,Urban,FB,DO,,,,601050,,,,,,,,,,,
Full Reporter,20,Kitsap Transit,Full Reporter,Urban,FB,PT,,,,39879,,,,,,,,,,,
Full Reporter,20,Kitsap Transit,Full Reporter,Urban,MB,DO,471066,,,,14108,,,,,,,,5107,,
Full Reporter,20,Kitsap Transit,Full Reporter,Urban,VP,DO,2412,,,,,,,,26791,,,,,,
Full Reporter,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,72343,,,,49438,,
Full Reporter,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,,,,354935,,,,,,,,,,,
Full Reporter,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,,10633,,,,,,
Full Reporter,23,City of Seattle,Full Reporter,Urban,MG,PT,,,,,,312557,,,,,,,,,
Full Reporter,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,,93603,,,,,999,,,,,,
Full Reporter,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,,,,822539,,,,,6685,,,,,,
Full Reporter,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,8659,,,,,,
Full Reporter,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,1161,,,,,,,,100878,,,,,,
Full Reporter,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,189120,,340009,,,,,,,,,,,,
Full Reporter,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,15413,,,,,,,,18505,,,,,,
Full Reporter,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,24240,,,,,,
Full Reporter,28,County of Pierce,Full Reporter,Urban,FB,PT,,,,184209,,,,,,,,,,,
Full Reporter,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,14713,,,279545,,,,,,,,,,,
Full Reporter,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,,,,490173,,,,,,,,,,,
Full Reporter,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,119301,,,,1252,,
Full Reporter,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,80600,,,1531398,,,,,,,,,,,
Full Reporter,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,,,,,,,,,105525,,,,,,
Full Reporter,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,,,,,,35102,,,,,,
Full Reporter,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,,,213904,60700,,,,,,,,,,,
Full Reporter,35,Washington State Ferries,Full Reporter,Urban,FB,DO,1528162,,,15606455,,,,,,,,,,,
Full Reporter,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,,,412903,1943303,,,,,,,,,,,
Full Reporter,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,,,,710511,,,,,,,,,,,
Full Reporter,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,,,,625305,,,,,,,,,,,
Full Reporter,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,,,,,,20355203,,,,,,,,,
Full Reporter,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,,,,,,394380,,,,,,,,,
Full Reporter,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,,,,411818,,,,,,,,,,,
Full Reporter,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,DO,,,,,,,,,17518,,,,4786,,
Full Reporter,43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,,,,,,,,,526,,,,,,
Full Reporter,43,Chelan Douglas PTBA ,Full Reporter,Urban,MB,DO,,,,196634,397760,,,,77770,,,,10944,,
Full Reporter,44,Skagit Transit,Full Reporter,Urban,CB,DO,,,,40675,,,,,,,,,,,
Full Reporter,44,Skagit Transit,Full Reporter,Urban,DR,DO,,,,4310,,,,,,,,,53828,,
Full Reporter,44,Skagit Transit,Full Reporter,Urban,MB,DO,,,,127834,,,,,,,,,,,
Full Reporter,44,Skagit Transit,Full Reporter,Urban,VP,DO,,,,,,,,,37641,,,,,,
Full Reporter,46,City of Wilsonville,Full Reporter,Urban,DR,DO,,,2477,1858,,,,,9018,,,,,,
Full Reporter,46,City of Wilsonville,Full Reporter,Urban,MB,DO,,,8115,39534,96360,,,,32308,,,,,,
Full Reporter,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,,,,48112,,,,,7767,,,,,,
Full Reporter,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,,,,,,,,,24422,,,,,,
Full Reporter,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,,,,,,20624,,,,,,
Full Reporter,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,,,,,,,,,3161,,,,,,
Full Reporter,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,,,,40319,,,,,7283,,,,,,
Full Reporter,58,City of Portland,Full Reporter,Urban,SR,PT,,,,,,2426887,,,,,,,,,
Full Reporter,58,City of Portland,Full Reporter,Urban,TR,PT,,,,,,376200,,,,,,,,,
Full Reporter,376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,,,,,,,,,34119,,,,,,
Full Reporter,376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,,,,,,,,,35689,,,,,,
Full Reporter,415,Ada County Highway District,Full Reporter,Urban,VP,DO,,,,,,,,,77996,,,,,,
Full Reporter,10001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,,,,282314,,,,,5573,,,,,,
Full Reporter,10001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,,,,1973806,,,,,,,,,,,
Full Reporter,10001,Rhode Island Public Transit Authority,Full Reporter,Urban,VP,PT,,,,,,,,,31579,,,,,,
