State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Sponsor NTD ID,Sponsor Name,Primary Mode Served,Secondary Modes Served,Facility ID,Facility Type,Facility Name,Street Address,City,State,ZIP Code,Latitude,Longitude,Non-Agency Mode Served,Private Modes Served,Administrative/Maintenance Facility Flag,Passenger/Parking Facility Flag,Square Feet,Number of Parking Spaces,Section of a Larger Facility,Year Built or Reconstructed as New,Percent Agency Capital Responsibility,Cross Agency Facility Flag,Condition Assessment Date,Condition Assessment,Separate Asset Flag,Notes
,1,King County Department of Metro Transit,Full Reporter,Urban,,,DR,,2878,Combined Administrative and Maintenance Facility (describe in Notes),Kent DART Base,8011 S. 222Nd St.,Kent,WA,98032,,,,,1,0,78750,,0,2017,0,N,,,N,"Administrative offices, call & dispatch center, Operations & Maintenance facility;"
,1,King County Department of Metro Transit,Full Reporter,Urban,,,FB,,2879,General Purpose Maintenance Facility/Depot,Alaskan Way Maintenance Facility,201 Alaskan Way S,Seattle,WA,98104,47.6,-122.3,,,1,0,5600,,0,2012,100,N,12/31/2020,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,FB,,2880,Ferryboat Terminal,Vashon Terminal,10800 North Vashon Highway,Vashon,WA,98070,47.5,-122.5,,,0,1,3500,,0,1995,0,N,,,N,Passenger Terminal - Leased from WA State Ferries
,1,King County Department of Metro Transit,Full Reporter,Urban,,,FB,,2881,Ferryboat Terminal,Seacrest Terminal,1660 Harbor Avenue Sw,Seattle,WA,98126,47.6,-122.4,,,0,1,2220,,0,2010,100,N,12/31/2020,4,N,Passenger Terminal - Leased from City of Seattle
,1,King County Department of Metro Transit,Full Reporter,Urban,,,FB,,2882,Ferryboat Terminal,Seattle Terminal,801 Alaskan Way S,Seattle,WA,98104,47.6,-122.3,,,0,1,3500,,0,2019,100,N,12/31/2020,5,N,Passenger Terminal; Tidelands beneath terminal leased from WA State Ferries
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,,2915,"Other, Administrative & Maintenance (describe in Notes)","Atlantic-Central Base Operations Building 45,350 sf",640 S Massachusetts St,Seattle,WA,98134,47.59017,-122.3243,,,1,0,45350,,1,2011,100,N,12/31/2016,4,N,Operations Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,TB,2916,General Purpose Maintenance Facility/Depot,"Atlantic-Central Tire Shop 9,700 sf",640 S Massachusetts St,Seattle,WA,98134,47.59017,-122.3243,,,1,0,9700,,1,2006,100,N,12/31/2016,4,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,TB,2917,Vehicle Fueling Facility,"Atlantic Base Fuel & Wash Building 11,550 sf",640 S Massachusetts St,Seattle,WA,98134,,,,,1,0,11550,,1,1980,100,N,12/31/2016,3,N,Combined Fuel & Wash Building
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,TB,2918,Vehicle Fueling Facility,"Atlantic Base Fuel Lane Facility 1,850 sf",640 S Massachusetts St,Seattle,WA,98134,,,,,1,0,1850,,1,1980,100,N,,,N,
,1,King County Department of Metro Transit,Full Reporter,Urban,,,MB,TB,2920,General Purpose Maintenance Facility/Depot,Atlantic Base/Vehicle Maintenance Building,640 S Massachusetts St,Seattle,WA,98134,47.58891,-122.3228,,,1,0,63000,,1,1980,100,N,12/31/2016,3,N,
