State,NTDID,Reporter Name,Reporter Type,Organization Type (2019 or prior),Closeout Type
AK,167,Native Village of Crooked Creek,Small Systems Reporter,Tribe,Reporting Waiver
OR,231,Confederated Tribes of Warm Springs,Small Systems Reporter,Tribe,Reporting Waiver
AK,247,Native Village of Noatak,Small Systems Reporter,Tribe,Reporting Waiver
WA,263,Nooksack Indian Tribe,Small Systems Reporter,Tribe,Reporting Waiver
PR,40163,Municipality of Catano,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",Reporting Waiver
PR,40268,Municipality of Ciales,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",Reporting Waiver
PR,40269,Municipality of Anasco,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",Reporting Waiver
FL,41199,Board of County Commissioners of St. Lucie County,Full Reporter: Operating,,Reporting Waiver
MN,50026,City of Moorhead,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",Reporting Waiver
MI,50523,Sault Ste. Marie Tribe of Chippewa Indians,Small Systems Reporter,Tribe,Reporting Waiver
LA,60020,Louisiana Department of Transportation & Development,Reduced Asset Reporter,State Government Unit or Department of Transportation,Reporting Waiver
NM,60077,City of Santa Fe,Full Reporter: Operating,"City, County or Local Government Unit or Department of Transportation",Reporting Waiver
AZ,99328,Yavapai-Apache Nation,Small Systems Reporter,Tribe,Reporting Waiver
AZ,99433,Hualapai Indian Tribe,Small Systems Reporter,Tribe,Reporting Waiver
