State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,DRM Transit Exclusive and Shared Use ROW,DRM Mixed Traffic ROW,Non-Statutory Mixed Traffic
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Weekday,0:00:00,0:00:00,,,,327,21092,13351,7741,,1891,1385,506,,,,,,,,,1504,,,15221,256,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Saturday,0:00:00,0:00:00,,,,132,10187,5408,4779,,921,681,240,,,,,,,,,775,,,7045,52,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Sunday,0:00:00,0:00:00,,,,90,7231,3690,3541,,665,466,199,,,,,,,,,519,,,4980,58,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Annual Total,,,327,464,,,6348763,3913186,2435577,,570584,416969,153615,,,,,,,,,455391,455391,,4551838,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Annual Total,,,126,126,,,,905250,,,,30096,,,,,,,,,,86460,86460,0,1003831,365,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,5:30:00,9:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,15:15:00,19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
