NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Operator (Vehicle Operations) Hours Worked,Full Time Non-Operator (Vehicle Operations) Hours Worked,Total Full Time (Vehicle Operations) Hours Worked,Full Time Operator (Vehicle Maintenance) Hours Worked,Full Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Full Time (Vehicle Maintenance) Hours Worked,Full Time Operator (Facility Maintenance) Hours Worked,Full Time Non-Operator (Facility Maintenance) Hours Worked,Total Full Time (Facility Maintenance) Hours Worked,Full Time Operator (General Administration) Hours Worked,Full Time Non-Operator (General Administration) Hours Worked,Total Full Time (General Administration) Hours Worked,Total Full Time Operator (Operating Labor) Hours Worked,Total Full Time Non-Operator (Operating Labor) Hours Worked,Total Full Time (Operating Labor) Hours Worked,Full Time Operator (Capital Labor) Hours Worked,Full Time Non-Operator (Capital Labor) Hours Worked,Total Full Time (Capital Labor) Hours Worked,Total Full Time Operator Hours Worked,Total Full Time Non-Operator Hours Worked,Total Full Time Hours Worked,Full Time Operator (Vehicle Operations) Employee Count,Full Time Non-Operator (Vehicle Operations) Employee Count,Total Full Time (Vehicle Operations) Employee Count,Full Time Operator (Vehicle Maintenance) Employee Count,Full Time Non-Operator (Vehicle Maintenance) Employee Count,Total Full Time (Vehicle Maintenance) Employee Count,Full Time Operator (Facility Maintenance) Employee Count,Full Time Non-Operator (Facility Maintenance) Employee Count,Total Full Time (Facility Maintenance) Employee Count,Full Time Operator (General Administration) Employee Count,Full Time Non-Operator (General Administration) Employee Count,Total Full Time (General Administration) Employee Count,Total Full Time Operator (Operations) Employee Count,Total Full Time Non-Operator (Operations) Employee Count,Total Full Time (Operations) Employee Count,Full Time Operator (Capital Labor) Employee Count,Full Time Non-Operator (Capital Labor) Employee Count,Total Full Time (Capital Labor) Employee Count,Total Full Time Operator Employee Count,Total Full Time Non-Operator Employee Count,Total Full Time Employee Count,Part Time Operator (Vehicle Operations) Hours Worked,Part Time Non-Operator (Vehicle Operations) Hours Worked,Total Part Time (Vehicle Operations) Hours Worked,Part Time Operator (Vehicle Maintenance) Hours Worked,Part Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Part Time (Vehicle Maintenance) Hours Worked,Part Time Operator (Facility Maintenance) Hours Worked,Part Time Non-Operator (Facility Maintenance) Hours Worked,Total Part Time (Facility Maintenance) Hours Worked,Part Time Operator (General Administration) Hours Worked,Part Time Non-Operator (General Administration) Hours Worked,Total Part Time (General Administration) Hours Worked,Total Part Time Operator (Operating Labor) Hours Worked,Total Part Time Non-Operator (Operating Labor) Hours Worked,Total Part Time (Operating Labor) Hours Worked,Part Time Operator (Capital Labor) Hours Worked,Part Time Non-Operator (Capital Labor) Hours Worked,Total Part Time (Capital Labor) Hours Worked,Total Part Time Operator Hours Worked,Total Part Time Non-Operator Hours Worked,Total Part Time Hours Worked,Part Time Operator (Vehicle Operations) Employee Count,Part Time Non-Operator (Vehicle Operations) Employee Count,Total Part Time (Vehicle Operations) Employee Count,Part Time Operator (Vehicle Maintenance) Employee Count,Part Time Non-Operator (Vehicle Maintenance) Employee Count,Total Part Time (Vehicle Maintenance) Employee Count,Part Time Operator (Facility Maintenance) Employee Count,Part Time Non-Operator (Facility Maintenance) Employee Count,Total Part Time (Facility Maintenance) Employee Count,Part Time Operator (General Administration) Employee Count,Part Time Non-Operator (General Administration) Employee Count,Total Part Time (General Administration) Employee Count,Total Part Time Operator (Operations) Employee Count,Total Part Time Non-Operator (Operations) Employee Count,Total Part Time (Operations) Employee Count,Part Time Operator (Capital Labor) Employee Count,Part Time Non-Operator (Capital Labor) Employee Count,Total Part Time (Capital Labor) Employee Count,Total Part Time Operator Employee Count,Total Part Time Non-Operator Employee Count,Total Part Time Employee Count
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,16520,7209,23729,0,8231,8231,0,218,218,0,9731,9731,16520,25389,41909,0,425,425,16520,25814,42334,13,4.41,17.41,0,4.71,4.71,0,0.11,0.11,0,4.9,4.9,13,14.13,27.13,0,0.2,0.2,13,14.33,27.33,325,0,325,0,1047,1047,0,0,0,0,0,0,325,1047,1372,0,0,0,325,1047,1372,16,0,16,0,2,2,0,0,0,0,0,0,16,2,18,0,0,0,16,2,18
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,3553854,478842,4032696,0,1128018,1128018,0,400746,400746,0,370483,370483,3553854,2378089,5931943,0,210934,210934,3553854,2589023,6142877,1824.65,261.97,2086.62,0,623.36,623.36,0,228.14,228.14,0,199.52,199.52,1824.65,1312.99,3137.64,0,110.56,110.56,1824.65,1423.55,3248.2,447545,2125,449670,0,160,160,0,186,186,0,8206,8206,447545,10677,458222,0,2160,2160,447545,12837,460382,423.01,1.72,424.73,0,0.83,0.83,0,0.12,0.12,0,5.46,5.46,423.01,8.13,431.14,0,1.56,1.56,423.01,9.69,432.7
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,60904,17078,77982,0,20635,20635,0,9649,9649,0,16431,16431,60904,63793,124697,0,55,55,60904,63848,124752,34,8.28,42.28,0,9,9,0,5.35,5.35,0,10,10,34,32.63,66.63,0,0.03,0.03,34,32.66,66.66,0,0,0,0,0,0,0,0,0,0,806,806,0,806,806,0,0,0,0,806,806,0,0,0,0,0,0,0,0,0,0,1.65,1.65,0,1.65,1.65,0,0,0,0,1.65,1.65
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,401069,54038,455107,0,91681,91681,0,116770,116770,0,41294,41294,401069,303783,704852,0,27898,27898,401069,331681,732750,205.92,29.56,235.48,0,50.66,50.66,0,66.05,66.05,0,22.13,22.13,205.92,168.4,374.32,0,14.62,14.62,205.92,183.02,388.94,50508,240,50748,0,13,13,0,26,26,0,926,926,50508,1205,51713,0,239,239,50508,1444,51952,47.74,0.19,47.93,0,0.07,0.07,0,0.01,0.01,0,0.61,0.61,47.74,0.88,48.62,0,0.18,0.18,47.74,1.06,48.8
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,964,964,0,83010,83010,0,83974,83974,0,1725,1725,0,85699,85699,0,0,0,0,0,0,0,0.55,0.55,0,45.96,45.96,0,46.51,46.51,0,0.9,0.9,0,47.41,47.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,93593,49572,143165,0,25114,25114,0,0,0,0,19220,19220,93593,93906,187499,0,1723,1723,93593,95629,189222,58,28,86,0,13,13,0,0,0,0,10.86,10.86,58,51.86,109.86,0,0.93,0.93,58,52.79,110.79,1568,0,1568,0,0,0,0,0,0,0,219,219,1568,219,1787,0,0,0,1568,219,1787,2,0,2,0,0,0,0,0,0,0,0.19,0.19,2,0.19,2.19,0,0,0,2,0.19,2.19
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,546660,80533,627193,0,130312,130312,0,49884,49884,0,129305,129305,546660,390034,936694,0,7127,7127,546660,397161,943821,289,48,337,0,82,82,0,33,33,0,75.92,75.92,289,238.92,527.92,0,3.84,3.84,289,242.76,531.76,26792,0,26792,0,0,0,0,0,0,0,905,905,26792,905,27697,0,0,0,26792,905,27697,26,0,26,0,0,0,0,0,0,0,0.8,0.8,26,0.8,26.8,0,0,0,26,0.8,26.8
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,0,0,0,4522,4522,0,4522,4522,0,67,67,0,4589,4589,0,0,0,0,0,0,0,0,0,0,2.42,2.42,0,2.42,2.42,0,0.04,0.04,0,2.46,2.46,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0.01,0.01
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,27556,4299,31855,0,1535,1535,0,1017,1017,0,7104,7104,27556,13955,41511,0,0,0,27556,13955,41511,10,2.73,12.73,0,0.81,0.81,0,0.61,0.61,0,3.92,3.92,10,8.07,18.07,0,0,0,10,8.07,18.07,0,0,0,0,0,0,0,0,0,0,644,644,0,644,644,0,0,0,0,644,644,0,0,0,0,0,0,0,0,0,0,0.47,0.47,0,0.47,0.47,0,0,0,0,0.47,0.47
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,456516,109269,565785,0,79184,79184,0,31512,31512,0,131645,131645,456516,351610,808126,0,0,0,456516,351610,808126,238.02,52.23,290.25,0,42.61,42.61,0,20.4,20.4,0,73.22,73.22,238.02,188.46,426.48,0,0,0,238.02,188.46,426.48,79998,914,80912,0,0,0,0,0,0,0,1486,1486,79998,2400,82398,0,0,0,79998,2400,82398,38.8,0.58,39.38,0,0,0,0,0,0,0,1.75,1.75,38.8,2.33,41.13,0,0,0,38.8,2.33,41.13
