NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Major Failures,Other Failures,Total Failures
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,91,22,113
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,7,5,12
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,5944,5476,11420
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,53,1,54
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,25,32,57
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,1124,1094,2218
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,12,0,12
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,11,6,17
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,3,78,81
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,643,356,999
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,2,8,10
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,4,3,7
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,21,11,32
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,450,314,764
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,7,0,7
5,City of Everett,Full Reporter,Urban,DR,DO,7,3,10
5,City of Everett,Full Reporter,Urban,MB,DO,132,32,164
6,City of Yakima,Full Reporter,Urban,CB,PT,4,7,11
6,City of Yakima,Full Reporter,Urban,DR,PT,54,42,96
6,City of Yakima,Full Reporter,Urban,MB,DO,53,81,134
6,City of Yakima,Full Reporter,Urban,VP,DO,10,10,20
7,Lane Transit District,Full Reporter,Urban,DR,PT,17,24,41
7,Lane Transit District,Full Reporter,Urban,MB,DO,265,149,414
7,Lane Transit District,Full Reporter,Urban,MB,PT,2,3,5
7,Lane Transit District,Full Reporter,Urban,RB,DO,134,95,229
7,Lane Transit District,Full Reporter,Urban,VP,PT,0,0,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,77,1062,1139
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,298,21,319
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,2096,817,2913
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,8,0,8
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,5,20,25
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,42,70,112
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,11,0,11
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,217,327,544
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,1,0,1
16,RiverCities Transit,Full Reporter,Urban,DR,PT,4,4,8
16,RiverCities Transit,Full Reporter,Urban,MB,DO,17,4,21
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,44,41,85
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,3,1,4
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,85,47,132
18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,6,4,10
19,Intercity Transit,Full Reporter,Urban,CB,DO,1,1,2
19,Intercity Transit,Full Reporter,Urban,DR,DO,11,13,24
19,Intercity Transit,Full Reporter,Urban,MB,DO,20,27,47
19,Intercity Transit,Full Reporter,Urban,VP,DO,9,5,14
20,Kitsap Transit,Full Reporter,Urban,DR,DO,5,5,10
20,Kitsap Transit,Full Reporter,Urban,FB,DO,7,4,11
20,Kitsap Transit,Full Reporter,Urban,FB,PT,3,4,7
20,Kitsap Transit,Full Reporter,Urban,MB,DO,32,28,60
20,Kitsap Transit,Full Reporter,Urban,VP,DO,1,4,5
