NTDID,Agency Name,Reporter Type,Reporting Module,City,State,UZA,UZA Name,Mode,TOS,Form,Data Point,VRS Name,Q Type,FTA Approved
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",MB,DO,Transit Asset Management Facilities Inventory (A-15),Condition Asessment,00001 - Condition Assessment W,W,No
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",SR,DO,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,00001 - SR/DO APC (UPT) W,W,No
1,King County Department of Metro Transit,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",SR,DO,Service Rail (S-10),Passenger Miles (PM) - Annual Total Schedule,00001 - SR/DO APC (PMT) W,W,Yes
6,City of Yakima,Full Reporter,Urban,Yakima,WA,248.0,"Yakima, WA",CR,PT,Operating Expenses (F-30),In Report - Vehicle Operations,00006 - CB/PT - In Report - Vehicle Operations W,W,No
6,City of Yakima,Full Reporter,Urban,Yakima,WA,248.0,"Yakima, WA",CR,PT,Operating Expenses (F-30),In Report - Vehicle Maintenance,00006 - CB/PT - In Report - Vehicle Maintenance W,W,No
6,City of Yakima,Full Reporter,Urban,Yakima,WA,248.0,"Yakima, WA",CR,PT,Operating Expenses (F-30),In Report - Facility Maintenance,00006 - CB/PT - In Report - Facility Maintenance W,W,No
6,City of Yakima,Full Reporter,Urban,Yakima,WA,248.0,"Yakima, WA",CR,PT,Operating Expenses (F-30),In Report - General Administration,00006 - CB/PT - In Report - General Administration W,W,No
6,City of Yakima,Full Reporter,Urban,Yakima,WA,248.0,"Yakima, WA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00006 - MB/DO APC (PMT) W,W,Yes
12,Municipality of Anchorage,Full Reporter,Urban,Anchorage,AK,149.0,"Anchorage, AK",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00012 - MB/DO APC Waiver PMT,W,Yes
21,Whatcom Transportation Authority,Full Reporter,Urban,Bellingham,WA,275.0,"Bellingham, WA",MB,DO,Service Non-Rail (S-10),Passenger Miles Traveled (PMT) - Annual Total,00021 - MB/DO PMT Waiver,W,Yes
25,Salem Area Mass Transit District,Full Reporter,Urban,Salem,OR,156.0,"Salem, OR",VP,PT,Service Non-Rail (S-10),Total Actual Vehicle Revenue Hours (VRH) - Annual Total,00025 - RY21 VP/PT VRH Waiver,W,Yes
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,Seattle,WA,14.0,"Seattle, WA",LR,DO,Transit Asset Management Facilities Inventory (A-15),Condition Asessment,00040 - Condition Assessment W,W,No
58,City of Portland,Full Reporter,Urban,Portland,OR,24.0,"Portland, OR-WA",SR,PT,Service Rail (S-10),Unlinked Passenger Trips (UPT) - Annual Total Schedule,00058 - SR/PT UPT - Q,Q,Yes
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,,,Transit Asset Management Performance Measure Targets (A-90),Narrative Report,00247 - Narrative Report W,W,No
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Unlinked Passenger Trips,00247 - DR/DO UPT Q,Q,No
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Miles,00247 - DR/DO VRM Q,Q,Yes
247,Native Village of Noatak,Reduced Reporter,Tribe,Noatak,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,00247 - DR/DO VRH Q,Q,No
462,Noorvik Native Community,Reduced Reporter,Tribe,Noorvik,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Miles,00462 - DR/DO VRM Q,Q,Yes
462,Noorvik Native Community,Reduced Reporter,Tribe,Noorvik,AK,0.0,Alaska Non-UZA,DR,DO,Reduced Reporting (RR-20) - Small Systems,Annual Vehicle Revenue Hours,00462 - DR/DO VRH Q,Q,No
