State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Vehicles Operated at Maximum Service (VOMS),Vehicles Available at Maximum Service (VAMS),Rail,Fixed Route,Seasonal Segment,Fixed Guideway/High Intensity,Service Type,Commitment Date,Start Service Date,End Service Date
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,,,,,,,Reported Separately,,,
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,230,448,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,79,79,N,N,N,N,Active Service,1/1/2010,1/1/2010,
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,2,3,N,Y,N,Y,Active Service,1/1/2016,1/1/2016,
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,,,,,,,Reported Separately,,,
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,824,1189,N,Y,N,Y,Active Service,1/1/1993,1/1/1993,
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,41,49,N,Y,N,N,Active Service,1/1/2005,1/1/2005,
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,10,10,Y,Y,N,Y,Active Service,1/1/2011,1/1/2011,
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,126,174,N,Y,N,Y,Active Service,1/1/1993,1/1/1993,
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,1038,1257,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,47,69,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,43,61,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,121,147,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,65,96,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,,,,,,,Reported Separately,,,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,14,23,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,53,67,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,108,177,N,Y,N,Y,Active Service,1/1/1993,1/1/1993,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,176,289,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,1,,N,Y,N,N,Active Service,1/1/1982,1/1/1982,
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,3,,N,Y,N,N,Active Service,10/1/2007,1/1/2008,
,5,City of Everett,Full Reporter,Urban,DR,DO,14,28,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,5,City of Everett,Full Reporter,Urban,MB,DO,25,41,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,6,City of Yakima,Full Reporter,Urban,CB,PT,2,2,N,Y,N,N,Active Service,1/1/2014,1/1/2014,
,6,City of Yakima,Full Reporter,Urban,DR,PT,23,24,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,6,City of Yakima,Full Reporter,Urban,MB,DO,18,23,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,6,City of Yakima,Full Reporter,Urban,VP,DO,2,20,N,N,N,N,Ending Service,1/1/2002,1/1/2002,12/31/2021
,7,Lane Transit District,Full Reporter,Urban,DR,PT,21,53,N,N,N,N,Active Service,7/1/1992,7/1/1992,
,7,Lane Transit District,Full Reporter,Urban,DR,TX,31,31,N,N,N,N,Active Service,7/1/2009,7/1/2009,
,7,Lane Transit District,Full Reporter,Urban,MB,DO,45,79,N,Y,N,N,Active Service,7/1/1992,7/1/1992,
,7,Lane Transit District,Full Reporter,Urban,MB,PT,2,3,N,Y,N,N,Active Service,7/1/2008,7/1/2008,
,7,Lane Transit District,Full Reporter,Urban,RB,DO,13,22,N,Y,N,Y,Active Service,7/1/2010,7/1/2010,
,7,Lane Transit District,Full Reporter,Urban,VP,PT,3,3,N,N,N,N,Active Service,7/1/2004,7/1/2004,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,100,262,N,N,N,N,Active Service,7/1/1992,7/1/1992,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,18,18,N,N,N,N,Active Service,7/1/2009,7/1/2009,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,102,142,Y,Y,N,Y,Active Service,7/1/1992,7/1/1992,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,512,674,N,Y,N,Y,Active Service,7/1/1992,7/1/1992,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,,,,,,,Reported Separately,,,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,4,6,Y,Y,N,Y,Active Service,7/1/2010,7/1/2010,
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,0,,N,N,N,N,Active Service,6/1/2014,10/1/2014,
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,1,,N,Y,N,N,Active Service,1/1/2009,5/4/2009,
,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,3,,N,Y,N,N,Active Service,1/1/2011,1/1/2011,
,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,4,,N,N,N,N,Active Service,1/1/2012,1/1/2012,
,11,Valley Regional Transit,Full Reporter,Urban,DR,PT,30,64,N,N,N,N,Active Service,10/1/2017,10/1/2017,
,11,Valley Regional Transit,Full Reporter,Urban,MB,PT,38,49,N,Y,N,N,Active Service,10/1/2017,10/1/2017,
,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,26,53,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,47,64,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,70,70,N,N,N,N,Active Service,6/1/2016,6/1/2016,
,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,2,,N,Y,N,N,Active Service,8/1/2001,9/14/2007,
,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,0,,N,N,N,N,Active Service,10/1/2014,10/1/2014,
,16,RiverCities Transit,Full Reporter,Urban,DR,PT,10,19,N,N,N,N,Active Service,1/1/1996,1/1/1996,
,16,RiverCities Transit,Full Reporter,Urban,MB,DO,9,14,N,Y,N,N,Active Service,1/1/1996,1/1/1996,
,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,5,,N,N,N,N,Active Service,2/5/2007,2/5/2007,
,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,59,96,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,32,35,N,N,N,N,Active Service,1/1/1993,1/1/1993,
,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,50,63,N,Y,N,N,Active Service,1/1/1993,1/1/1993,
