NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by,VOMS Under Contract,Months Seller Operated in FY,PT Fare Revenues/Passenger Fees,Passenger Out of Pocket Expenses,Direct Payment/Agency Subsidy,Contract Capital Leasing Expenses,Other Operating Expenses Incurred by the Buyer,Total Modal Expenses,Other Reconciling Item Expenses Incurred by the Buyer
1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,74,12,3854661,,48762759.0,0,,52617420,
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transport,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Seller,230,12,727350,,47389447.0,1825507,9436635.0,59378939,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,79,12,82828,,3685005.0,136459,705398.0,4609690,0.0
1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Buyer,72,12,15745273,,67397003.0,0,,83142276,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,Hopelink,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,41,12,258046,,9314294.0,168000,2774619.0,12514959,0.0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,A.G.E.S.,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,12,480,,3153.0,0,3200.0,6833,0.0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Adult Day Health (ADH),The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,0,,11873.0,0,12047.0,23920,0.0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Andrew's Care,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,11,7320,,4707.0,0,4776.0,16803,0.0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,ARC,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,3,12,16260,,2911.0,0,2953.0,22124,0.0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Artisans Ark,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,2,11,6060,,546.0,0,554.0,7160,0.0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Compass,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,1,10,0,,783.0,0,794.0,1577,0.0
