UACE Code,UZA,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled,Total Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,SGR FG Directional Route Miles,SGR FG Vehicle Revenue Miles,SGR HIB Directional Route Miles,SGR HIB Vehicle Revenue Miles
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,388714,468104,4022799,4681124,55727926,4022799,4681124,55727926,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,31982,88944,934957,1034484,4336772,934957,1034484,4336772,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,5153,286843,49606,984134,7132706,0,0,0,24,49606,984134,7132706,24,49606,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,2832920,42112037,30859322,173679796,591780147,29932859,168465556,574013638,13.2,926463,5214240,17766509,4,312792,167.3,3633280
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,83079,424166,994051,1631439,12178959,994051,1631439,12178959,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,36358,829953,187454,992847,11218266,0,0,0,7.9,187454,992847,11218266,2.7,64067,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,403910,7976186,2685561,14349255,76487986,0,0,0,116.9,2685561,14349255,76487986,116.9,2685561,0,0
,0,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,14,"Seattle, WA",Y,3059393,3028,,1010,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,101881,512160,3264549,10548410,7064351,3264549,10548410,7064351,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,254,566,4199,4030,34193,4199,4030,34193,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,,164,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,64209,143243,1062747,1020046,8654195,1062747,1020046,8654195,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,220,498,3535,3823,20612,3535,3823,20612,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,,164,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,47691,107894,765254,827625,4462124,765254,827625,4462124,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,19478,225767,267688,955285,2362638,267688,955285,2362638,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,,164,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,432442,5012368,5943071,21208742,52454061,5943071,21208742,52454061,0,0,0,0,0,0,0,0
,0,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,6207,20103,181954,528229,158165,181954,528229,158165,0,0,0,0,0,0,0,0
,96,"Spokane, WA",Y,387847,2362,,164,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,15497,50195,454334,1318974,394935,454334,1318974,394935,0,0,0,0,0,0,0,0
