NTD ID,Agency Name,Reporter Type,Reporting Module,Expense Type,Interest Expenses,Leases and Rentals,Purchase Lease Agreement,Related Parties Lease Agreement,Voluntary Non-Exchange Transactions,Extraordinary and Special Items,Depreciation,Amortization of Intangibles,Other Reconciling Items,Total Reconciling Items,ADA Related Reconciling Items
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Applied,108041,5119361,0,0,0,0,0,0,0,5227402,2012874
1,King County Department of Metro Transit,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,152451976,0,0,152451976,0
2,Spokane Transit Authority,Full Reporter,Urban,Funds Applied,,122965,76164,,,,,,433749,632878,95154
2,Spokane Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,11845151,873785,,12718936,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Applied,,413161,,180211,,657475,,,9444,1260291,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,14732605,,-17370060,-2637455,
5,City of Everett,Full Reporter,Urban,Funds Applied,,30412,,,,52516,,,,82928,
5,City of Everett,Full Reporter,Urban,Funds Not Applied,,,,,,,3639633,,-6092924,-2453291,
6,City of Yakima,Full Reporter,Urban,Funds Applied,,135909,,,,,,,,135909,
6,City of Yakima,Full Reporter,Urban,Funds Not Applied,,,,,,,959142,,,959142,
7,Lane Transit District,Full Reporter,Urban,Funds Applied,18309,4217157,,,,1696516,,,,5931982,
7,Lane Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,15902568,,,15902568,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Applied,28707746,7749726,3879816,0,0,74054350,0,0,30882373,145274011,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,142919296,0,13667964,156587260,0
11,Valley Regional Transit,Full Reporter,Urban,Funds Applied,,104518,,5,,,,,,104523,21113
11,Valley Regional Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,2741634,,,2741634,578528
12,Municipality of Anchorage,Full Reporter,Urban,Funds Applied,158013,703014,0,0,0,0,0,0,427958,1288985,0
12,Municipality of Anchorage,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,1271790,0,0,1271790,0
16,RiverCities Transit,Full Reporter,Urban,Funds Applied,0,34350,0,0,0,0,0,0,0,34350,0
16,RiverCities Transit,Full Reporter,Urban,Funds Not Applied,0,0,0,0,0,0,310727,0,0,310727,0
18,Ben Franklin Transit,Full Reporter,Urban,Funds Applied,,64578,,,,,,,70026,134604,
18,Ben Franklin Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,4454658,258418,,4713076,
19,Intercity Transit,Full Reporter,Urban,Funds Applied,,339068,,,,,,,,339068,
19,Intercity Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,6474754,8833,9300209,15783796,
20,Kitsap Transit,Full Reporter,Urban,Funds Applied,1044057,240,,,,,,,715110,1759407,
20,Kitsap Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,11038174,78481,,11116655,
21,Whatcom Transportation Authority,Full Reporter,Urban,Funds Applied,,8678,,,,,,,,8678,
21,Whatcom Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,5469962,,-5961135,-491173,
23,City of Seattle,Full Reporter,Urban,Funds Applied,,,,,,0,,,,0,
23,City of Seattle,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,Funds Applied,,127789,,,,,,,88974,216763,36351
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,9792113,,,9792113,1273998
25,Salem Area Mass Transit District,Full Reporter,Urban,Funds Applied,,278261,,,,,,,56570,334831,56570
25,Salem Area Mass Transit District,Full Reporter,Urban,Funds Not Applied,,,,,,,4091503,,-1671215,2420288,
28,County of Pierce,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
28,County of Pierce,Full Reporter,Urban,Funds Not Applied,,,,,,,757797,,,757797,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,Funds Applied,139622,2162113,,,,,0,0,797391,3099126,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,23442308,883812,0,24326120,523246
34,Rogue Valley Transportation District,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
34,Rogue Valley Transportation District,Full Reporter,Urban,Funds Not Applied,,,,,,,2201764,,,2201764,
35,Washington State Ferries,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
35,Washington State Ferries,Full Reporter,Urban,Funds Not Applied,,,,,,784350,60547845,,,61332195,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,Funds Applied,95061691,988536,3884560,,,58380,,,5374727,105367894,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,-10307495,,,,,,198331198,6345368,90493380,284862451,
41,Alaska Railroad Corporation,Full Reporter,Urban,Funds Applied,65484,148293,,,,,,,,213777,
41,Alaska Railroad Corporation,Full Reporter,Urban,Funds Not Applied,,,,,,,22625807,1897,-29201360,-6573656,
43,Chelan Douglas PTBA ,Full Reporter,Urban,Funds Applied,,8944,,,,73387,,,,82331,
43,Chelan Douglas PTBA ,Full Reporter,Urban,Funds Not Applied,,,,,,-2603317,3009139,,,405822,
44,Skagit Transit,Full Reporter,Urban,Funds Applied,,52397,,,,493428,,,,545825,
44,Skagit Transit,Full Reporter,Urban,Funds Not Applied,,,,,,,2702745,,,2702745,
46,City of Wilsonville,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
46,City of Wilsonville,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,Funds Applied,19260,,,,,,,,,19260,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,Funds Not Applied,,,,,,,88969,,,88969,
58,City of Portland,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
58,City of Portland,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
376,"Ride Connection, Inc.",Full Reporter,Urban,Funds Applied,,1080825,,,,,,,,1080825,
376,"Ride Connection, Inc.",Full Reporter,Urban,Funds Not Applied,,,,,,,1019817,,11786,1031603,
415,Ada County Highway District,Full Reporter,Urban,Funds Applied,,1500,,,,,,,,1500,
415,Ada County Highway District,Full Reporter,Urban,Funds Not Applied,,,,,,,513499,,,513499,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,Funds Applied,,231882,,,,0,,,3827717,4059599,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,0,18041998,,1384620,19426618,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Funds Applied,222358917,69143350,,,,,,,5328642,296830909,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,440235085,,68148048,508383133,
10004,Brockton Area Transit Authority,Full Reporter,Urban,Funds Applied,61550,,,,,,,,,61550,
10004,Brockton Area Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,3850556,,,3850556,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,Funds Applied,30494,9025,,,,,,,,39519,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,Funds Applied,37647,,,,,,,,1425,39072,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,0,2979068,,760106,3739174,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,Funds Applied,,,,,,,,,,0,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,,,,0,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,Funds Applied,81574,107371,,,,,,,,188945,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,Funds Not Applied,,,,,,,19234287,,0,19234287,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,Funds Applied,106601,,,,,,,,,106601,
