State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,DRM Transit Exclusive and Shared Use ROW,DRM Mixed Traffic ROW,Non-Statutory Mixed Traffic,data_year
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Annual Total,,,230,448,,,5910433,4022799,1887634,,511018,388714,122304,0,0,,,,,,,468104,468104,0,4681124,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Saturday,0:00:00,0:00:00,,,,117,9538,5769,3769,,810,623,187,,,,,,,,,760,,,6914,52,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Sunday,0:00:00,0:00:00,,,,93,6683,3960,2723,,579,435,144,,,,,,,,,515,,,4944,59,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Weekday,0:00:00,0:00:00,,,,230,19764,13737,6027,,1711,1302,409,,,,,,,,,1568,,,15866,254,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Annual Total,,,79,79,,,,934957,,,,31982,,,,,,,,,,88944,88944,0,1034484,365,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Annual Total,,,2,3,,,49606,49606,0,49932,5153,5153,0,0,,,,,,,,286843,,,984134,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Saturday,8:30:00,22:30:00,,,,1,59,59,0,61,14,14,0,,,,,,,,,1290,,,2673,35,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Sunday,8:30:00,19:30:00,,,,1,42,42,0,44,11,11,0,,,,,,,,,858,,,1715,38,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Typical Weekday,5:30:00,19:30:00,,,,2,183,183,0,184,17,17,0,,,,,,,,,833,,,3288,251,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,5:30:00,9:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,9:15:00,15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,15:15:00,19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Annual Total,,,824,1189,,,37443660,30859322,6584338,30371389,3205418,2832920,372498,102,,,,,,,,42112037,,,173679796,,,,,,,1166,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Saturday,0:00:00,0:00:00,,,,461,76611,67646,8965,62675,6968,6416,552,,,,,,,,,104426,,,390184,52,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Sunday,0:00:00,0:00:00,,,,412,69817,61849,7968,57371,6305,5819,486,,,,,,,,,82428,,,312474,59,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Typical Weekday,0:00:00,0:00:00,,,,824,115514,93418,22096,93415,9729,8499,1230,,,,,,,,,125270,,,531316,254,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - AM Peak,5:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - Midday,9:00:00,15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,DO,Average Weekday - PM Peak,15:00:00,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Annual Total,,,41,49,,,1179709,994051,185658,1008737,90433,83079,7354,0,0,,,,,,,424166,,,1631439,,,,,,,133,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Typical Saturday,8:30:00,21:00:00,,,,15,1203,946,257,946,100,90,10,,,,,,,,,566,,,1692,52,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Typical Sunday,9:00:00,19:00:00,,,,12,744,548,196,548,64,56,8,,,,,,,,,301,,,928,59,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Typical Weekday,5:00:00,23:00:00,,,,41,4226,3593,633,3650,321,296,25,,,,,,,,,1484,,,5861,254,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - AM Peak,5:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - Midday,9:00:00,15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,MB,PT,Average Weekday - PM Peak,15:00:00,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Annual Total,,,10,10,,,193919,187454,6465,190383,38371,36358,2013,,,193919,187454,6465,38371,36358,2013,829953,,,992847,0,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Typical Saturday,4:32:00,1:42:00,,,6,6,471,454,17,473,94,90,4,,,471,454,17,94,90,4,2006,,,2499,50,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Typical Sunday,9:27:00,22:57:00,,,5,5,266,252,14,259,54,50,4,,,266,252,14,54,50,4,1241,,,1497,58,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Typical Weekday,4:32:00,1:42:00,,,10,10,605,586,19,593,119,113,6,,,605,586,19,119,113,6,2569,,,3051,256,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - AM Peak,5:55:00,9:57:00,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - Midday,9:57:00,14:55:00,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - Other,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,SR,DO,Average Weekday - PM Peak,14:55:00,19:23:00,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Annual Total,,,126,174,,,2870606,2685561,185045,3336789,428525,403910,24615,,,,,,,,,7976186,,,14349255,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Typical Saturday,0:00:00,0:00:00,,,,71,325,310,15,6019,42,40,2,,,,,,,,,4345,,,8236,27,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Typical Sunday,0:00:00,0:00:00,,,,64,292,278,14,5409,38,36,2,,,,,,,,,6341,,,12094,33,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Typical Weekday,0:00:00,0:00:00,,,,126,11167,10405,762,10648,1670,1570,100,,,,,,,,,30117,,,54046,254,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - AM Peak,5:00:00,9:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - Midday,9:00:00,15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,TB,DO,Average Weekday - PM Peak,15:00:00,19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Annual Total,,,1038,1257,,,3264549,3264549,0,,101881,101881,0,0,0,,,,,,,512160,,,10548410,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Typical Saturday,0:00:00,0:00:00,,,,40,402,402,0,,13,13,0,,,,,,,,,63,,,1130,52,0,,0,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,VP,DO,Average Typical Sunday,0:00:00,0:00:00,,,,28,281,281,0,,9,9,0,,,,,,,,,44,,,1019,57,0,,0,,,,,
