State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Capital Type, Guideway , Passenger Stations , Administrative Buildings , Maintenance Buildings , Revenue Vehicles , Service Vehicles , Fare Revenue Collection Equipment , Communication Information Systems , Other , Total Capital Funds 
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,,,,,"$5,426,122.00 ",,,,,"$5,426,122.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,,"$144,345.00 ",,,,,,,,"$144,345.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Uses of Capital - Existing Section,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion of Service,,,"$390,943.00 ","$12,280,827.00 ","$982,349.00 ",,,,"$33,909,841.00 ","$47,563,960.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,"$1,879,761.00 ",,"$139,735.00 ","$38,014,354.00 ","$29,776,892.00 ","$2,328,024.00 ","$23,126.00 ","$22,179,717.00 ","$13,678,340.00 ","$108,019,949.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Expansion of Service,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Uses of Capital - Existing Section,,,,,,,,,,$0.00 
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Uses of Capital - Expansion of Service,"$189,016.00 ",,,,,,,,,"$189,016.00 "
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Uses of Capital - Existing Section,"$5,027,015.00 ",,,,,,,,,"$5,027,015.00 "
