NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by, VOMS Under Contract ,Months Seller Operated in FY, PT Fare Revenues/Passenger Fees , Passenger Out of Pocket Expenses , Direct Payment/Agency Subsidy , Contract Capital Leasing Expenses , Other Operating Expenses Incurred by the Buyer , Total Modal Expenses , Other Reconciling Item Expenses Incurred by the Buyer 
1,King County Department of Metro Transit,Full Reporter: Operating,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,,,In Another Report,Is a Public Entity,Buyer,143,12,"$5,216,912.00 ",$0.00 ,"$52,421,738.00 ",$0.00 ,$0.00 ,"$52,421,738.00 ",$0.00 
1,King County Department of Metro Transit,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transport,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Seller,217,12,"$740,726.00 ",$0.00 ,"$46,021,716.00 ",$0.00 ,"$10,172,020.00 ","$54,748,982.00 ",$0.00 
1,King County Department of Metro Transit,Full Reporter: Operating,Urban,DR,TX,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,Y,N,,In This Report,,Seller,94,12,"$91,601.00 ",$0.00 ,"$4,947,968.00 ",$0.00 ,"$957,941.00 ","$5,791,694.00 ",$0.00 
1,King County Department of Metro Transit,Full Reporter: Operating,Urban,LR,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Buyer,76,12,"$29,386,480.00 ",$0.00 ,"$80,571,413.00 ",$0.00 ,$0.00 ,"$80,571,413.00 ",$0.00 
1,King County Department of Metro Transit,Full Reporter: Operating,Urban,MB,PT,Entity that Does Not Report to NTD,Hopelink,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,,,In This Report,,Seller,51,12,"$280,187.00 ",$0.00 ,"$14,752,279.00 ",$0.00 ,"$2,850,895.00 ","$17,491,566.00 ",$0.00 
2,Spokane Transit Authority,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,32,12,"$73,585.00 ",$0.00 ,"$5,349,475.00 ",$0.00 ,"$772,852.00 ","$6,043,883.00 ",$0.00 
3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,60,12,"$4,674,368.00 ",$0.00 ,"$49,157,107.00 ",$0.00 ,$0.00 ,"$47,770,741.00 ",$0.00 
3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,58,12,"$202,269.00 ",$0.00 ,"$8,022,224.00 ",$0.00 ,"$4,056,863.00 ","$11,891,677.00 ",$0.00 
3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,Medstar Cabulance Inc,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,2,12,"$8,161.00 ",$0.00 ,"$599,246.00 ",$0.00 ,"$291,115.00 ","$889,078.00 ",$0.00 
3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,Transpro Incorporated,The Reporter is the Buyer,Negotiated Contract or Agreement,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Buyer,5,1,$24.00 ,$0.00 ,"$3,045.00 ",$0.00 ,"$1,560.00 ","$4,505.00 ",$0.00 
4,Confederated Tribes of the Colville Indian Reservation,Small Systems Reporter,Tribe,,,332,Okanogan County Transportation & Nutrition,The Reporter is the Buyer,Subsidized,,Y,N,N,,In Another Report,Is a Private Company,Seller,0,0,$0.00 ,$0.00 ,"$37,200.00 ",$0.00 ,"$2,000.00 ","$39,200.00 ",$0.00 
6,City of Yakima,Full Reporter: Operating,Urban,CB,PT,Entity that Does Not Report to NTD,A&A Motorcoach,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Buyer,2,12,"$193,082.00 ",$0.00 ,"$463,150.00 ",$0.00 ,"$80,310.00 ","$520,302.00 ",$0.00 
6,City of Yakima,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,Medstar,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,24,12,"$70,560.00 ",$0.00 ,"$1,232,177.00 ",$0.00 ,"$965,897.00 ","$2,074,856.00 ",$0.00 
7,Lane Transit District,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,Medical Transportation Management,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,Y,"Buyer provides Call center building, and maintenance for building.  Maintenance Facility at building provided, maintenance service provided by contractor.",In This Report,,Buyer,17,12,"$250,322.00 ",$0.00 ,"$3,211,446.00 ",$0.00 ,"$405,740.00 ","$3,617,186.00 ",$0.00 
7,Lane Transit District,Full Reporter: Operating,Urban,DR,PT,Entity that Does Not Report to NTD,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,"$1,122.00 ",$0.00 ,"$14,401.00 ",$0.00 ,"$1,819.00 ","$16,220.00 ",$0.00 
7,Lane Transit District,Full Reporter: Operating,Urban,DR,TX,Entity that Does Not Report to NTD,Medical Management Transportation,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",N,N,Y,RideSource Call center also used by brokerage.,In This Report,,Buyer,30,12,"$10,473,359.00 ",$0.00 ,"$10,228,922.00 ",$0.00 ,"$554,600.00 ","$5,669,061.00 ",$0.00 
7,Lane Transit District,Full Reporter: Operating,Urban,MB,PT,Entity that Does Not Report to NTD,River Cities Taxi,The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,"$4,696.00 ",$0.00 ,"$180,372.00 ",$0.00 ,$729.00 ,"$181,101.00 ",$0.00 
7,Lane Transit District,Full Reporter: Operating,Urban,MB,PT,Entity that Does Not Report to NTD,"TAC Transportation, Inc",The Reporter is the Buyer,Competitively-Bid Contract,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In This Report,,Buyer,1,12,"$13,501.00 ",$0.00 ,"$258,241.00 ",$0.00 ,"$1,457.00 ","$259,698.00 ",$0.00 
7,Lane Transit District,Full Reporter: Operating,Urban,VP,PT,Entity that Does Not Report to NTD,Enterprise Holdings,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,,,,,In This Report,,Seller,5,12,"$24,243.00 ","$15,097.00 ","$14,035.00 ",$0.00 ,"$23,315.00 ","$73,120.00 ",$0.00 
