NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS, Bio-Diesel , Bunker Fuel , C Natural Gas , Diesel Fuel , Electric Battery , Electric Propulsion , Ethanol , Methanol , Gasoline , Hydrogen , Kerosene , Liquified Nat Gas , Liquified Petroleum Gas , Other Fuel , Other Fuel Description 
1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,0,,,48943,,,,,695954,,,,274670,,
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,194128,,,18944,,,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,381262,,,7187429,970902,,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,0,,,54117,,,,,139985,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,,,,,,1871516,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,,,,,,14936108,,,,,,,,,
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,,,,,,,,,258455,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,0,,,32862,,,,,96033,,,,260,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,0,,,98949,,,,,13378,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,0,,,1310504,253079,,,,,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,51357,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,14742,,,,,,35537,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,236015,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,1071996,87965,236326,,,,7429,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,181085,,,,,,
5,City of Everett,Full Reporter,Urban,DR,DO,,,,,,,,,60427,,,,,,
5,City of Everett,Full Reporter,Urban,MB,DO,0,,,228348,705874,,,,107,,,,,,
6,City of Yakima,Full Reporter,Urban,CB,PT,0,,,17118,,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,DR,PT,,,,,,,,,29718,,,,,,
6,City of Yakima,Full Reporter,Urban,MB,DO,0,,,158446,,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,70157,,,,,,
7,Lane Transit District,Full Reporter,Urban,MB,DO,0,,,439454,632534,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,MB,PT,0,,,8536,,,,,4531,,,,,,
7,Lane Transit District,Full Reporter,Urban,RB,DO,0,,,211754,,,,,,,,,,,
7,Lane Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,3636,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,393024,,,0,,,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,,,,,,50161343,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,4649021,,,46960,582556,,,,,,,,,,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,0,,,83134,,,,,,,,,,,
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,0,,63477,0,,,,,4841,,,,,,
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,0,,393222,32,57915,,,,,,,,,,
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,,,,,,,,,116908,,,,,,
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,0,,,541551,,,,,36188,,,,,,
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,,,,,,,,,81657,,,,,,
16,RiverCities Transit,Full Reporter,Urban,CB,DO,,,,,,,,,1276,,,,,,
16,RiverCities Transit,Full Reporter,Urban,DR,PT,0,,,0,,,,,12416,,,,18968,,
16,RiverCities Transit,Full Reporter,Urban,MB,DO,71816,,,0,,,,,2055,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,,,,,,,,,250628,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,,,,,,,,,19009,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,0,,,678312,0,,,,,,,,,,
18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,,,,,,,,,99207,,,,,,
19,Intercity Transit,Full Reporter,Urban,CB,DO,0,,,40500,,,,,,,,,,,
19,Intercity Transit,Full Reporter,Urban,DR,DO,0,,,43748,,,,,26505,,,,85100,,
19,Intercity Transit,Full Reporter,Urban,MB,DO,0,,,499500,,,,,,,,,,,
19,Intercity Transit,Full Reporter,Urban,VP,DO,,,,,,,,,110784,,,,,,
20,Kitsap Transit,Full Reporter,Urban,DR,DO,15846,,,5299,,,,,3090,,,,200715,,
20,Kitsap Transit,Full Reporter,Urban,FB,DO,0,,,1179212,,,,,,,,,,,
20,Kitsap Transit,Full Reporter,Urban,MB,DO,483999,,,0,30244,,,,,,,,,,
20,Kitsap Transit,Full Reporter,Urban,VP,DO,,,,,,,,,31894,,,,,,
21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,,,,,,,,,82779,,,,97322,,
21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,0,,,423421,70814,,,,,,,,,,
21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,,,,,,,,,10366,,,,,,
23,City of Seattle,Full Reporter,Urban,MG,PT,,,,,,491162,,,,,,,,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,0,,,144785,,,,,7607,,,,,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,0,,,799778,,,,,13745,,,,,,
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,8191,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,80579,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,0,,348127,206648,,,,,,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,44385,,,0,,,,,24678,,,,,,
25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,,,,,,,,,14072,,,,,,
28,County of Pierce,Full Reporter,Urban,FB,PT,0,,,194380,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,13332,,,253303,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,0,,,415060,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,,,,,,,,,164988,,,,4237,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,77118,,,1465237,,,,,,,,,,,
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,,,,,,,,,91493,,,,,,
34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,,,,,,,,,34453,,,,,,
34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,0,,231869,30614,,,,,,,,,,,
35,Washington State Ferries,Full Reporter,Urban,FB,DO,1273013,,,13457375,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,519503,,356918,1217202,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,645979,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,0,,,861620,,,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,,,,,,39894110,,,,,,,,,
40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,,,,,,348723,,,,,,,,,
41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,0,,,863824,,,,,,,,,,,
43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,DO,,,,,,,,,44589,,,,,,
43,Chelan Douglas PTBA ,Full Reporter,Urban,DR,PT,,,,,,,,,7708,,,,,,
43,Chelan Douglas PTBA ,Full Reporter,Urban,MB,DO,0,,,139295,1065280,,,,106101,,,,,,
44,Skagit Transit,Full Reporter,Urban,CB,DO,0,,,73272,,,,,,,,,,,
44,Skagit Transit,Full Reporter,Urban,DR,DO,0,,,1902,,,,,,,,,85292,,
44,Skagit Transit,Full Reporter,Urban,MB,DO,0,,,173952,,,,,,,,,,,
44,Skagit Transit,Full Reporter,Urban,VP,DO,,,,,,,,,30297,,,,,,
46,City of Wilsonville,Full Reporter,Urban,DR,DO,0,,2876,32,,,,,6809,,,,,,
46,City of Wilsonville,Full Reporter,Urban,MB,DO,0,,16319,25135,213262,,,,18157,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,0,,,43601,,,,,17721,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,,,,,,,,,14318,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,,,,,,,,,23993,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,,,,,,,,,4135,,,,,,
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,0,,,28612,,,,,209,,,,,,
58,City of Portland,Full Reporter,Urban,SR,PT,,,,,,2461533,,,,,,,,,
58,City of Portland,Full Reporter,Urban,TR,PT,,,,,,371000,,,,,,,,,
376,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,,,,,675,,,,34444,,,,,,
376,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,,,,,,,,,28383,,,,,,
415,Ada County Highway District,Full Reporter,Urban,VP,DO,,,,,,,,,93089,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,DR,DO,0,,,270007,,,,,964,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,MB,DO,0,,,2012545,40597,,,,,,,,,,
10001,Rhode Island Public Transit Authority,Full Reporter,Urban,VP,PT,,,,,,,,,32312,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,CR,PT,0,,,13761972,,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,1076802,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,FB,PT,0,,,1046073,,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,HR,DO,,,,,,164492704,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,LR,DO,,,,,,40748656,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,DO,0,,1425801,4444002,,,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,MB,PT,0,,,161821,,,,,21488,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,RB,DO,0,,,315670,192166,2409965,,,,,,,,,
10003,Massachusetts Bay Transportation Authority,Full Reporter,Urban,TB,DO,,,,,,2179461,,,,,,,,,
10004,Brockton Area Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,68400,,,,,,
10004,Brockton Area Transit Authority,Full Reporter,Urban,MB,PT,0,,,250845,,,,,,,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,71640,,,,,,
10005,Lowell Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,222420,,,,,14136,,,,,,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,103392,,,,,,
10006,Southeastern Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,370729,,,,,,,,,,,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,30029,,,,,,
10007,Berkshire Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,55215,,,,,70474,,,,,,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,214109,,,,,,
10008,Pioneer Valley Transit Authority,Full Reporter,Urban,MB,PT,0,,,1107991,215746,,,,78299,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,CB,PT,0,,,7243,,,,,,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,98387,,,,,,
10013,Merrimack Valley Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,344124,,,,,,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,DO,,,,,,,,,29991,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,63826,,,,,,
10014,Worcester Regional Transit Authority,Full Reporter,Urban,MB,DO,0,,,388637,0,,,,29326,,,,,,
10016,Greater Portland Transit District,Full Reporter,Urban,MB,DO,0,,52999,211763,50599,,,,,,,,,,
10017,Greater Hartford Transit District,Full Reporter,Urban,DR,PT,0,,,50660,,,,,544829,,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,16454,,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,12863,,,,,,
10040,Southeast Area Transit District,Full Reporter,Urban,MB,DO,10120,,,192195,,,,,6052,,,,,,
10042,Valley Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,36674,,,,,,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,CB,PT,0,,,49936,,,,,,,,,,,
10045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter,Urban,MB,PT,0,,,54035,,,,,,,,,,,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,MB,DO,0,,,2037193,,,,,,,,,,,
10048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter,Urban,RB,DO,0,,,245563,,,,,,,,,,,
10049,Greater New Haven Transit District,Full Reporter,Urban,DR,DO,,,,,,,,,254935,,,,,,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,DR,PT,0,,,45219,,,,,5248,,,,,,
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,MB,DO,0,,,465666,108587,,,,,,,,,,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,DR,DO,,,,,,,,,64620,,,,,,
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,MB,DO,0,,,136091,,,,,54440,,,,,,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,DR,PT,,,,,,,,,35115,,,,,,
10053,Cape Ann Transportation Authority,Full Reporter,Urban,MB,PT,0,,,58091,,,,,9905,,,,,,
10055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter,Urban,MB,DO,0,,,1113135,10656,,,,,,,,,,
10056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter,Urban,MB,DO,0,,,409099,,,,,,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,DR,DO,0,,,7835,,,,,77927,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,DR,PT,,,,,,,,,16872,,,,,,
10057,Norwalk Transit District,Full Reporter,Urban,MB,DO,0,,,151998,,,,,,,,,,,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,226774,,,,,,
10061,Montachusett Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,85904,,,,,44641,,,,,,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,DR,PT,,,,,,,,,215660,,,,,,
10064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter,Urban,MB,PT,0,,,162648,6689,,,,3680,,,,,,
