State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Passenger Paid Fares,Organization Paid Fares,Total Fares
,1,King County Department of Metro Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,1927211.0,3289701.0,5216912
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,740726.0,,740726
,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX,Funds Earned During Period,91601.0,,91601
,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,Funds Earned During Period,1316658.0,398607.0,1715265
,1,King County Department of Metro Transit,Full Reporter,Urban,LR,PT,Funds Earned During Period,15128592.0,14257888.0,29386480
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,32855180.0,23710970.0,56566150
,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT,Funds Earned During Period,194123.0,86064.0,280187
,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,Funds Earned During Period,305083.0,283412.0,588495
,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,Funds Earned During Period,5880000.0,4243486.0,10123486
,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,3086787.0,2397694.0,5484481
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,457699.0,0.0,457699
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,73585.0,,73585
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,5363406.0,771704.0,6135110
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,247718.0,,247718
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,4674368.0,,4674368
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,53359.0,0.0,53359
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,210454.0,0.0,210454
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,4342991.0,13840.0,4356831
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,1535720.0,0.0,1535720
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,0.0,0.0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,0.0,0.0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.0,0.0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0.0,0.0,0
,5,City of Everett,Full Reporter,Urban,DR,DO,Funds Earned During Period,112410.0,,112410
,5,City of Everett,Full Reporter,Urban,MB,DO,Funds Earned During Period,597637.0,100182.0,697819
,6,City of Yakima,Full Reporter,Urban,CB,PT,Funds Earned During Period,193082.0,,193082
,6,City of Yakima,Full Reporter,Urban,DR,PT,Funds Earned During Period,70560.0,,70560
,6,City of Yakima,Full Reporter,Urban,MB,DO,Funds Earned During Period,307625.0,,307625
,7,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,251445.0,,251445
,7,Lane Transit District,Full Reporter,Urban,DR,TX,Funds Earned During Period,10473360.0,,10473360
,7,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,1067170.0,959687.0,2026857
,7,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,18197.0,,18197
,7,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,979298.0,793863.0,1773161
,7,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,39340.0,,39340
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,968122.0,4308243.0,5276365
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Funds Earned During Period,87166.0,387895.0,475061
