UACE Code,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description, Total Actual Vehicle Revenue Hours , Total Unlinked Passenger Trips , Total Actual Vehicle Revenue Miles , Total Passenger Miles Traveled , Total Operating Expenses , Non-Fixed Guideway Vehicle Revenue Miles , Non-Fixed Guideway Passenger Miles , Non-Fixed Guideway Operating Expenses , Directional Route Miles , Fixed Guideway Vehicle Revenue Miles , Fixed Guideway Passenger Miles , Fixed Guideway Operating Expenses , SGR FG Directional Route Miles , SGR FG Vehicle Revenue Miles , SGR HIB Directional Route Miles , SGR HIB Vehicle Revenue Miles 
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Actual Data,,,,406246,555210,4968632,5546871,"$54,748,982.00 ",4968632,5546871,"$54,748,982.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,PT, Other,"The method used to allocate UZA data is the proportion of boardings recorded on service operating within UZA-93862 to those that did not.  In 2022, no service in this mode was operated inside UZA-93862.",,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,54293,110794,1461592,1612286,"$5,791,694.00 ",1461592,1612286,"$5,791,694.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,5848,400407,51236,1361870,"$8,899,659.00 ",0,0,$0.00 ,24,51236,1361870,"$8,899,659.00 ",24,51236,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,2781612,53503564,29908625,211617698,"$654,161,434.00 ",29227133,206795819,"$639,255,841.00 ",19.1,681492,4821879,"$14,905,593.00 ",17.2,532937,171.1,2615500
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,83548,480077,907697,1841319,"$17,491,566.00 ",907697,1841319,"$17,491,566.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,37349,1117605,180369,1269696,"$12,511,637.00 ",0,0,$0.00 ,7.9,180369,1269696,"$12,511,637.00 ",7.9,180369,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,392391,9575042,2635705,17545751,"$84,198,937.00 ",0,0,$0.00 ,116.9,2635705,17545751,"$84,198,937.00 ",116.9,2635705,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,140750,702709,4413910,14389243,"$8,908,529.00 ",4413910,14389243,"$8,908,529.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,137,335,2147,2670,"$23,809.00 ",2147,2670,"$23,809.00 ",0,0,0,$0.00 ,0,0,0,0
83764,"Spokane, WA",Y,447279,2605,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,68426,167069,1071536,1332521,"$11,882,810.00 ",1071536,1332521,"$11,882,810.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Other,"The method used to allocate UZA data is the proportion of boardings recorded on service operating within UZA-93862 to those that did not.  In 2022, no service in this mode was operated inside UZA-93862.",,,110,259,1717,2206,"$10,981.00 ",1717,2206,"$10,981.00 ",0,0,0,$0.00 ,0,0,0,0
83764,"Spokane, WA",Y,447279,2605,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,60609,142353,943351,1212246,"$6,032,902.00 ",943351,1212246,"$6,032,902.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,18982,268837,264353,1147656,"$3,068,846.00 ",264353,1147656,"$3,068,846.00 ",0,0,0,$0.00 ,0,0,0,0
83764,"Spokane, WA",Y,447279,2605,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,446701,6326482,6220972,27007589,"$72,218,609.00 ",6220972,27007589,"$72,218,609.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,3595,12538,125410,371470,"$102,973.00 ",125410,371470,"$102,973.00 ",0,0,0,$0.00 ,0,0,0,0
83764,"Spokane, WA",Y,447279,2605,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,22378,78038,780580,2312110,"$640,930.00 ",780580,2312110,"$640,930.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,20139,37778,279427,277604,"$3,909,778.00 ",279427,277604,"$3,909,778.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,103888,177331,1438251,1366194,"$12,785,260.00 ",1438251,1366194,"$12,785,260.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,375022,4950296,4227441,20994349,"$72,057,557.00 ",4227441,20994349,"$72,057,557.00 ",0,0,0,$0.00 ,0,0,12.8,44808
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,85983,382751,3028154,11193468,"$4,318,946.00 ",3028154,11193468,"$4,318,946.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,Y,,,,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO, Actual Vehicle Revenue Miles,,,,5370,132972,20048,0,"$1,158,882.00 ",20048,0,"$1,158,882.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,Y,,,,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,1920,2967,56574,0,"$292,835.00 ",56574,0,"$292,835.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,5,City of Everett,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,27928,64329,330335,326632,"$5,905,942.00 ",330335,326632,"$5,905,942.00 ",0,0,0,$0.00 ,0,0,0,0
80389,"Seattle--Tacoma, WA",Y,3544011,3607,982.52,,5,City of Everett,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,92765,1007952,1115803,3815254,"$17,851,707.00 ",1115803,3815254,"$17,851,707.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,1778,7350,58557,242592,"$208,120.00 ",58557,242592,"$208,120.00 ",0,0,0,$0.00 ,0,0,0,0
97507,"Yakima, WA",Y,133145,2387,55.77,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,2666,11025,87836,363890,"$312,182.00 ",87836,363890,"$312,182.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,DR,PT, Other,"The method used to allocate UZA data is the proportion of boardings recorded on service operating within UZA-93862 to those that did not.  In 2022, no service in this mode was operated inside UZA-93862.",,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
97507,"Yakima, WA",Y,133145,2387,55.77,,6,City of Yakima,Full Reporter,Urban,DR,PT, Actual Data,,,,27932,40196,258268,142112,"$2,074,856.00 ",258268,142112,"$2,074,856.00 ",0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,N,,,,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
97507,"Yakima, WA",Y,133145,2387,55.77,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Data,,,,60425,454913,710402,1910826,"$7,530,794.00 ",710402,1910826,"$7,530,794.00 ",0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
28117,"Eugene, OR",Y,270179,3677,73.49,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,37721,75978,532634,506384,"$3,633,406.00 ",532634,506384,"$3,633,406.00 ",0,0,0,$0.00 ,0,0,0,0
78229,"Salem, OR",N,268331,3692,72.68,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
28117,"Eugene, OR",Y,270179,3677,73.49,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,87617,227823,2008272,2356332,"$5,669,061.00 ",2008272,2356332,"$5,669,061.00 ",0,0,0,$0.00 ,0,0,0,0
78229,"Salem, OR",N,268331,3692,72.68,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Data,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
28117,"Eugene, OR",Y,270179,3677,73.49,,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,165484,2830785,2073463,10614948,"$34,366,986.00 ",2073463,10614948,"$34,366,986.00 ",0,0,0,$0.00 ,0,0,0,0
78229,"Salem, OR",N,268331,3692,72.68,,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Data,,,,4704,10102,98038,261147,"$440,799.00 ",98038,261147,"$440,799.00 ",0,0,0,$0.00 ,0,0,0,0
28117,"Eugene, OR",Y,270179,3677,73.49,,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
78229,"Salem, OR",N,268331,3692,72.68,,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
28117,"Eugene, OR",Y,270179,3677,73.49,,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,62801,2144978,718396,5413539,"$13,288,460.00 ",0,0,$0.00 ,28,718396,5413539,"$13,288,460.00 ",19,486257,0,0
78229,"Salem, OR",N,268331,3692,72.68,,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
28117,"Eugene, OR",Y,270179,3677,73.49,,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,,939,4150,50489,227845,"$46,339.00 ",50489,227845,"$46,339.00 ",0,0,0,$0.00 ,0,0,0,0
78229,"Salem, OR",N,268331,3692,72.68,,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,,543,2398,29180,131682,"$26,781.00 ",29180,131682,"$26,781.00 ",0,0,0,$0.00 ,0,0,0,0
71317,"Portland, OR--WA",Y,2104238,4052,519.3,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,251217,401752,3473936,3193320,"$31,236,840.00 ",3473936,3193320,"$31,236,840.00 ",0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
71317,"Portland, OR--WA",Y,2104238,4052,519.3,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,16093,36172,399352,438230,"$2,306,980.00 ",399352,438230,"$2,306,980.00 ",0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
71317,"Portland, OR--WA",Y,2104238,4052,519.3,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO, Actual Vehicle Revenue Miles,,,,589271,18589527,8232882,100621469,"$159,463,940.00 ",0,0,$0.00 ,118.9,8232882,100621469,"$159,463,940.00 ",118.9,8232882,0,0
41,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
71317,"Portland, OR--WA",Y,2104238,4052,519.3,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,, Actual Vehicle Revenue Miles,,1851028,30484694,20225984,96334242,"$304,122,876.00 ",19630763,93499267,"$295,172,986.00 ",6.5,595221,2834975,"$8,949,890.00 ",5.8,545539,0.6,2887
41,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO, Actual Data,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
71317,"Portland, OR--WA",Y,2104238,4052,519.3,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT, Actual Vehicle Revenue Miles,,,,5095,103198,103837,836725,"$8,885,374.00 ",0,0,$0.00 ,29.2,103837,836725,"$8,885,374.00 ",29.2,103837,0,0
41,Oregon Non-UZA,N,,,,,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT, Actual Vehicle Revenue Miles,,,,0,0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,$0.00 ,0,0,0,0
53,Washington Non-UZA,Y,,,,,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,788,1208,25943,0,"$276,489.00 ",25943,0,"$276,489.00 ",0,0,0,$0.00 ,0,0,0,0
41,Oregon Non-UZA,Y,,,,,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO, Actual Data,,,,3687,6586,86203,0,"$530,171.00 ",86203,0,"$530,171.00 ",0,0,0,$0.00 ,0,0,0,0
