Agency NTD ID,Agency Name,Agency Reporter Type,Agency Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type,Row Number
7,Lane Transit District,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,1
10,Klamath Tribes,Reduced Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter,2
11,Valley Regional Transit,Full Reporter,Urban,A0004,Valley Regional Transit,Group Plan Sponsor,3
14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,0R04,Alaska Department of Transportation,State Reporter,4
22,City of Pocatello,Reduced Reporter,Urban,0R01,Idaho Transportation Department,State Reporter,5
34,Rogue Valley Transportation District,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,6
46,City of Wilsonville,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,7
47,City of Corvallis,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,8
48,City of Lewiston,Reduced Reporter,Urban,0R01,Idaho Transportation Department,State Reporter,9
53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,0R01,Idaho Transportation Department,State Reporter,10
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,11
59,Josephine County,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,12
61,City of Albany,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,13
63,City of Milton-Freewater,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,14
65,Benton County,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,15
85,Gulkana Village Council,Reduced Reporter,Tribe,0R04,Alaska Department of Transportation,State Reporter,16
119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter,17
135,Nez Perce Tribe,Reduced Reporter,Tribe,0R01,Idaho Transportation Department,State Reporter,18
288,City of Moscow,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,19
290,City of Cottage Grove,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,20
296,Tillamook County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,21
300,City of Silverton,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,22
301,South Clackamas Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,23
307,Coos County Area Transit,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,24
308,Curry County Public Transit Service District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,25
310,Lincoln County Transportation Service District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,26
311,Mountain Rides Transportation Authority,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter,27
313,Grant County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,28
319,Hood River County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,29
320,Center for Community ,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,30
321,Yamhill County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,31
323,Malheur Council on Aging and Community Services,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,32
327,Valley Transit,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,33
330,City of Canby,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,34
331,Sunset Empire Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,35
339,Basin Transit Service,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,36
340,"Senior Citizens of Kodiak, Inc.",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,37
341,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter,38
342,Valley Vista Care Corporation,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,39
343,Community Connection of Northeast Oregon,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,40
345,Glacier Valley Transit,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,41
347,SMART Transit,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter,42
348,"Senior Citizens of Sweet Home, Inc.",Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,43
354,"Catholic Community Service, Sitka",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,44
357,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter,45
358,Ketchikan Gateway Borough,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,46
359,City of Pendleton,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,47
360,City of Woodburn,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,48
363,Clackamas County Social Services,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,49
369,City of Victor,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,50
373,Treasure Valley Transit,Reduced Reporter,Urban,0R01,Idaho Transportation Department,State Reporter,51
374,Harney County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,52
375,Columbia County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,53
376,"Ride Connection, Inc.",Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter,54
377,City of Lebanon,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,55
378,"Central Area Rural Transit System, Inc.",Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,56
382,Inter-Island Ferry Authority,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,57
385,Franklin County Medical Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,58
387,City of Bethel,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,59
389,City of Sandy,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,60
391,City and Borough of Juneau,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,61
392,Boise Basin Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,62
396,Mid-Columbia Economic Development District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,63
399,Sunshine Transit ,Rural Reporter,Rural,0R04,Alaska Department of Transportation,State Reporter,64
403,Lemhi Ride,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter,65
404,Shoshone County,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter,66
408,Wheeler County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter,67
409,Morrow County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,68
410,Sherman County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter,69
411,Lake County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter,70
412,"Klamath Basin Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter,71
413,Gilliam County,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter,72
415,Ada County Highway District,Full Reporter,Urban,A0004,Valley Regional Transit,Group Plan Sponsor,73
416,Boise State University,Reduced Reporter,Urban,A0004,Valley Regional Transit,Group Plan Sponsor,74
421,Burns Paiute,Reduced Asset Reporter,Asset,0R02,Oregon Department of Transportation ,State Reporter,75
422,Oneida County Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,76
423,Mackay Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,77
424,Golden Year Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,78
425,Fremont County Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,79
426,Filer Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,80
427,"Development Workshop, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,81
429,University of Idaho,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,82
430,"Witco, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,83
432,"Three Island Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,84
433,"Tesh, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,85
434,St. Mark's Catholic Community,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,86
435,Payette Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,87
436,Parma Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,88
437,Mountain Home Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,89
438,Minidoka Memorial Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,90
439,Metro Community Transportation,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,91
440,Weiser Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,92
441,Rimrock Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,93
442,New Plymouth Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,94
443,New Meadows Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,95
444,Melba Valley Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,96
445,McCall Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,97
447,Gem County Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,98
448,Council Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,99
449,Cascade Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,100
450,Cambridge Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,101
451,"Boise Good Samaritan Housing, Inc",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,102
452,Blaine County Seniors Council,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,103
453,Bear Lake County Memorial Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,104
454,Kuna Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,105
456,Teton County,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,106
457,Elderly Opportunity Agency (EOA),Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,107
458,Meridian Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter,108
459,Umpqua Public Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,109
464,Lane Council of Governments,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter,110
10040,Southeast Area Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,111
10042,Valley Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,112
10049,Greater New Haven Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,113
10050,Greater Bridgeport Transit Authority,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,114
10051,Housatonic Area Regional Transit ,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,115
10057,Norwalk Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,116
10063,Middletown Transit District,Reduced Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,117
10069,"Regional Transportation Program, Inc.",Reduced Reporter,Urban,1R03,Maine Department of Transportation,State Reporter,118
10098,"Western Maine Transportation Services, Inc.",Full Reporter,Urban,1R03,Maine Department of Transportation,State Reporter,119
10099,York County Community Action Corporation,Reduced Reporter,Urban,1R03,Maine Department of Transportation,State Reporter,120
10107,Milford Transit District,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,121
10130,Connecticut Department of Transportation -CTTRANSIT New Britain ,Full Reporter,Urban,1R01,Connecticut Department of Transportation,State Reporter,122
10131,Northwestern CT Transit District,Rural Reporter,Rural,1R01,Connecticut Department of Transportation,State Reporter,123
