State/Parent NTD ID,NTD ID,Reporter Name,Reporter Type,Reporting Module,Form Section,Performance Measure,2022 Target (%),2023 Target (%)
,1,King County Department of Metro Transit,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Automobiles,9.6,12.5
,1,King County Department of Metro Transit,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Trucks and other Rubber Tire Vehicles,23.71,25.42
,1,King County Department of Metro Transit,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Administrative  / Maintenance Facilities,15,15
,1,King County Department of Metro Transit,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Passenger / Parking Facilities,5,5
,1,King County Department of Metro Transit,Full Reporter,Urban,Infrastructure - Percent of track segments with performance restrictions,SR - Street Car Rail,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,AB - Articulated Bus,11.11,11.87
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,BU - Bus,0,2.17
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,CU - Cutaway,14.8,13.02
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,FB - Ferryboat,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,LR - Light Rail Vehicle,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,MV - Minivan,3,3
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,SV - Sports Utility Vehicle,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,TB - Trolleybus,0,0
,1,King County Department of Metro Transit,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,VN - Van,34,69
,2,Spokane Transit Authority,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Automobiles,60,67
,2,Spokane Transit Authority,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Trucks and other Rubber Tire Vehicles,0,19
,2,Spokane Transit Authority,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Administrative  / Maintenance Facilities,0,0
,2,Spokane Transit Authority,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Passenger / Parking Facilities,0,0
,2,Spokane Transit Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,AB - Articulated Bus,30,30
,2,Spokane Transit Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,BU - Bus,33,37
,2,Spokane Transit Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,CU - Cutaway,24,29
,2,Spokane Transit Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,MV - Minivan,,24
,2,Spokane Transit Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,SV - Sports Utility Vehicle,,0
,2,Spokane Transit Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,VN - Van,33,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Automobiles,100,100
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Trucks and other Rubber Tire Vehicles,10,10
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Administrative  / Maintenance Facilities,0,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Passenger / Parking Facilities,20,20
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,BU - Bus,25,25
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,CU - Cutaway,15,15
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,SV - Sports Utility Vehicle,,0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,VN - Van,10,10
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Automobiles,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Facility - Percent of facilities rated below 3 on the condition scale,Administrative  / Maintenance Facilities,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Facility - Percent of facilities rated below 3 on the condition scale,Passenger / Parking Facilities,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,CU - Cutaway,50,44
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,FB - Ferryboat,0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,MV - Minivan,,0
,5,City of Everett,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Automobiles,0,0
,5,City of Everett,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Trucks and other Rubber Tire Vehicles,20,20
,5,City of Everett,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Administrative  / Maintenance Facilities,0,0
,5,City of Everett,Full Reporter,Urban,Facility - Percent of facilities rated below 3 on the condition scale,Passenger / Parking Facilities,0,0
,5,City of Everett,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,BU - Bus,20,20
,5,City of Everett,Full Reporter,Urban,Rolling Stock - Percent of revenue vehicles that have met or exceeded their useful life benchmark,CU - Cutaway,20,20
,6,City of Yakima,Full Reporter,Urban,Equipment - Percent of service vehicles that have met or exceeded their useful life benchmark,Trucks and other Rubber Tire Vehicles,18,20
