NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Rail (Y/N),Segment ID,UACE Code,UZA,UZA Name,Segment Name,Begins At,Ends At,Length in Miles,Directionality,Segment Type,Peak Level of Service,Safe Operation,Statutory BRT,Shoulder Lane,Hours of SOV Prohibition,Hours of Prohibition Enforcement,Original Revenue Service Date,Agency Revenue Service Start Date,Out of Revenue Service Date,Months Operated in FY,Seasonal Operation,Claiming NTD ID,Claiming Agency Name,Claiming Mode,Claiming TOS
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,N,73252,80389,,"Seattle--Tacoma, WA",Seattle/Vashon P.O.,Seattle,Vashon,10,Two Way,,,,,,,,,7/1/2009,,12,N,1,King County Department of Metro Transit,FB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,N,79234,80389,,"Seattle--Tacoma, WA",Seattle/West Seattle P.O.,Seattle,West Seattle,2,Two Way,,,,,,,,1/4/2011,1/4/2011,,12,N,1,King County Department of Metro Transit,FB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,71852,80389,,"Seattle--Tacoma, WA",WB 128th (Sno Cty): 4th Ave W to Gibson Rd,4th Ave W,Gibson Rd,0.54,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,D Unstable flow,1,,,20,20,9/1/1993,9/1/1993,,12,N,29,Snohomish County Public Transportation Benefit Area Corporation,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,71856,80389,,"Seattle--Tacoma, WA",West Seattle Bridge Ramps,Eastbound,Delridge Way,0.32,One Way,B Exclusive busway separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/2003,1/1/2003,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,71857,80389,,"Seattle--Tacoma, WA",West Seattle Bridge,Avalon Way,Alaskan Way,0.84,One Way,B Exclusive busway separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/2003,1/1/2003,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,71859,80389,,"Seattle--Tacoma, WA",I-5 Ramps,Northbound,Bailey,0.46,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/2003,1/1/2003,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,71860,80389,,"Seattle--Tacoma, WA",Hwy 18 Ramps,Westbound,I-5,0.41,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/2003,1/1/2003,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72024,80389,,"Seattle--Tacoma, WA",SR 509 SB (King Cty):  MP 29.92 E. Marginal Way to MP 29.23 SW Cloverdale,MP 29.92 E. Marginal Way,MP 29.23 SW Cloverdale,0.69,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/1973,1/1/1973,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72025,80389,,"Seattle--Tacoma, WA",SR 509 NB (King Cty):  MP 29.23 SW Cloverdale to MP 29.92 E. Marginal Way,MP 29.23 SW Cloverdale,MP 29.92 E. Marginal Way,0.69,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/1973,1/1/1973,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72027,80389,,"Seattle--Tacoma, WA",NW Sammamish Rd On-ramp,NW Sammamish Rd,I-90,0.77,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,E Congestion,1,,N,30,30,1/1/1994,1/1/1994,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72029,80389,,"Seattle--Tacoma, WA",NE 30th St,Hunts Point Rd,SR 520,0.03,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/1973,1/1/1973,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72031,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,Newport Hills P&R,0.05,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,12/1/1985,12/1/1985,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72032,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,NE 85th St,0.08,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/1997,1/1/1997,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72033,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,NE 70th St,0.72,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,6/1/1983,6/1/1983,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72036,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,NE 160th St,0.13,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,12/1/1996,12/1/1996,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72037,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,NE 116th St,0.13,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,12/1/1996,12/1/1996,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72038,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,Lk Washington Blvd,0.14,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,12/1/1985,12/1/1985,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72039,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,Kingsgate Flyer Stop,0.41,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,6/1/1983,6/1/1983,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72040,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Southbound,I-5/Southcenter,0.24,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/1997,1/1/1997,,12,N,1,King County Department of Metro Transit,MB,DO
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,N,72042,80389,,"Seattle--Tacoma, WA",I-405 Ramp,Northbound,NE 85th St,0.12,One Way,D Roadway lanes for exclusive use by high occupancy vehicles and separated from traffic by painted lines,F Stop and go,1,,,168,168,1/1/1997,1/1/1997,,12,N,1,King County Department of Metro Transit,MB,DO
