State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends, Vehicles/Passenger Cars Operated in Maximum Service , Vehicles/Passenger Cars Available for Maximum Service , Trains in Operation , Vehicles/Passenger Cars in Operation , Actual Vehicles/Passenger Car Miles , Actual Vehicles/Passenger Car Revenue Miles , Actual Vehicle/Passenger Deadhead Miles , Scheduled Actual Vehicle/Passenger Car Revenue Miles , Actual Vehicle/Passenger Car Hours , Actual Vehicle/Passenger Car Revenue Hours , Actual Vehicle/Passenger Car Deadhead Hours , Charter Service Hours , School Bus Hours , Train Miles , Train Revenue Miles , Train Deadhead Miles , Train Hours , Train Revenue Hours , Train Deadhead Hours , Unlinked Passenger Trips (UPT) , ADA UPT , Sponsored Service UPT , Passenger Miles , Days of Service Operated , Days Not Operated Due to Strikes , Strike Comment , Days Not Operated Due to Emergencies , Emergency Comment ,DRM Transit Exclusive and Shared Use ROW, DRM Mixed Traffic ROW , Non-Statutory Mixed Traffic 
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Weekday,12:00:00 AM,12:00:00 AM,,,,217,21112,16702,4410,,1745,1331,414,,,,,,,,,1821,,,18431,255,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Saturday,12:00:00 AM,12:00:00 AM,,,,113,10900,7066,3834,,901,688,213,,,,,,,,,930,,,8456,53,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Sunday,12:00:00 AM,12:00:00 AM,,,,106,8683,5882,2801,,718,533,185,,,,,,,,,729,,,6997,57,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Annual Total,,,217,427,,,6456147,4968632,1487515,,533754,406246,127508,0,0,,,,,,,555210,555210,0,5546871,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,TX,Annual Total,,,94,94,,,,1461592,,,,54293,,,,,,,,,,110794,110794,0,1612286,365,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,5:30:00 AM,9:15:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,9:15:00 AM,3:15:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,3:15:00 PM,7:30:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
