NTD ID,Agency Name,Reporter Type,Reporting Module,CA: Cash and Cash Equivalents,CA: Accounts Receivable,CA: Inventory,CA: Prepaid Expenses,CA: Current Investments and Current Portions of Long-Term Investments,CA: Other Current Assets,Total Current Assets,NCA: Capital Assets,NCA: Intangible Assets,NCA: Capital Leases Receivables,NCA: Special Funds,NCA: Work in Progress,NCA: Investments,NCA: Other Noncurrent Assets,Total Noncurrent Assets,Total Assets,Deferred Outflows of Resources,CL: Current Accounts Payable,CL: Short-Term Debt and Current Portions of Long-Term Debt,CL: Accrued Liabilities,CL: Other Current Liabilities,Total Current Liabilities,NCL: Long-Term Debt,NCL: Noncurrent Accounts Payable,NCL: Capital Lease Obligations,NCL: Long-Term Pension Liabilities,NCL: Estimated Liabilities,NCL: Other Noncurrent Liabilities,Total Noncurrent Liabilities,Total Liabilities,Deferred Inflows of Resources,Net Position
2,Spokane Transit Authority,Full Reporter,Urban,"$222,224,836.00 ","$26,282,725.00 ","$2,178,045.00 ","$525,831.00 ",$0.00 ,$0.00 ,"$251,211,437.00 ","$165,565,150.00 ","$3,974,978.00 ",$0.00 ,$0.00 ,"$16,606,268.00 ",$0.00 ,"$11,677,245.00 ","$197,823,641.00 ","$449,035,078.00 ","$17,436,760.00 ","$6,803,265.00 ",$0.00 ,"$8,149,822.00 ","$1,873,527.00 ","$16,826,614.00 ",$0.00 ,$0.00 ,"$518,302.00 ","$12,428,691.00 ",$0.00 ,$0.00 ,"$12,946,993.00 ","$29,773,607.00 ","$15,117,047.00 ","$421,581,184.00 "
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,"$4,935,145.00 ","$237,396.00 ","$4,935,082.00 ","$763,255.00 ","$4,590,752.00 ","$44,447,338.00 ","$59,908,968.00 ","$99,565,265.00 ",$0.00 ,$0.00 ,"$96,302,484.00 ","$100,747,221.00 ","$100,532,620.00 ","$20,084,698.00 ","$417,232,288.00 ","$477,141,256.00 ","$20,236,883.00 ","$9,513,380.00 ",$0.00 ,$0.00 ,"$13,318,590.00 ","$22,831,970.00 ",$0.00 ,$0.00 ,"$3,165,168.00 ","$11,321,348.00 ","$8,339,148.00 ",$0.00 ,"$22,825,664.00 ","$45,657,634.00 ","$22,538,460.00 ","$429,182,045.00 "
7,Lane Transit District,Full Reporter,Urban,"$60,686,667.00 ","$22,070,221.00 ","$2,161,221.00 ","$595,722.00 ",$0.00 ,$0.00 ,"$85,513,831.00 ","$155,279,064.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$155,279,064.00 ","$240,792,895.00 ","$7,550,226.00 ","$2,729,433.00 ",$0.00 ,"$4,252,811.00 ","$16,183,391.00 ","$23,165,635.00 ",$0.00 ,$0.00 ,$0.00 ,"$17,458,507.00 ",$0.00 ,$0.00 ,"$17,458,507.00 ","$40,624,142.00 ","$4,337,963.00 ","$203,381,016.00 "
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,"$170,160,546.00 ","$215,642,485.00 ","$61,661,553.00 ","$9,001,848.00 ","$390,365,681.00 ","$120,891,987.00 ","$967,724,100.00 ","$2,505,607,046.00 ",$0.00 ,"$12,224,298.00 ","$38,993,820.00 ","$638,179,293.00 ","$251,659,598.00 ","$364,741.00 ","$3,447,028,796.00 ","$4,414,752,896.00 ","$248,131,244.00 ","$89,940,312.00 ","$27,062,193.00 ","$44,739,912.00 ","$95,315,240.00 ","$257,057,657.00 ","$1,047,288,949.00 ","$2,503,220.00 ",$0.00 ,"$1,012,806,864.00 ","$22,380,343.00 ","$6,996,709.00 ","$2,091,976,085.00 ","$2,349,033,742.00 ","$280,744,838.00 ","$2,033,105,560.00 "
11,Valley Regional Transit,Full Reporter,Urban,"$2,660,251.00 ","$3,106,497.00 ","$513,070.00 ","$122,985.00 ",$0.00 ,$0.00 ,"$6,402,803.00 ","$33,986,931.00 ",$0.00 ,$0.00 ,$0.00 ,"$5,334,959.00 ",$0.00 ,$0.00 ,"$39,321,890.00 ","$45,724,693.00 ","$1,267,385.00 ","$1,550,028.00 ",$0.00 ,"$614,046.00 ","$380,229.00 ","$2,544,303.00 ","$1,643,255.00 ",$0.00 ,"$2,546,345.00 ","$2,211,030.00 ",$0.00 ,$0.00 ,"$6,400,630.00 ","$8,944,933.00 ","$9,869.00 ","$38,037,276.00 "
18,Ben Franklin Transit,Full Reporter,Urban,"$74,707,887.00 ","$20,895,369.00 ","$781,604.00 ","$588,372.00 ",$0.00 ,$0.00 ,"$96,973,232.00 ","$35,478,210.00 ","$112,612.00 ",$0.00 ,$0.00 ,"$5,860,617.00 ",$0.00 ,"$7,661,178.00 ","$49,112,617.00 ","$146,085,849.00 ","$6,975,171.00 ","$6,701,366.00 ",$0.00 ,"$1,713,003.00 ",$0.00 ,"$8,414,369.00 ",$0.00 ,$0.00 ,$0.00 ,"$3,890,735.00 ",$0.00 ,"$3,793,091.00 ","$7,683,826.00 ","$16,098,195.00 ","$6,923,316.00 ","$130,039,509.00 "
19,Intercity Transit,Full Reporter,Urban,"$186,512,626.00 ","$21,596,781.00 ","$1,248,435.00 ","$1,653,528.00 ",$0.00 ,$0.00 ,"$211,011,370.00 ","$64,368,255.00 ","$3,463,390.00 ",$0.00 ,$0.00 ,"$61,641,714.00 ",$0.00 ,"$7,993,796.00 ","$137,467,155.00 ","$348,478,525.00 ","$11,319,609.00 ","$1,684,479.00 ",$0.00 ,"$1,948,939.00 ","$577,299.00 ","$4,210,717.00 ",$0.00 ,$0.00 ,"$218,437.00 ","$13,705,082.00 ",$0.00 ,"$3,606,122.00 ","$17,529,641.00 ","$21,740,358.00 ","$12,904,011.00 ","$325,153,765.00 "
20,Kitsap Transit,Full Reporter,Urban,"$3,832,868.00 ","$19,797,626.00 ","$4,846,639.00 ","$1,659,064.00 ","$122,397,973.00 ",$0.00 ,"$152,534,170.00 ","$125,332,451.00 ","$291,243.00 ",$0.00 ,"$139,222.00 ","$52,637,410.00 ",$0.00 ,"$19,933,877.00 ","$198,334,203.00 ","$350,868,373.00 ","$3,062,131.00 ","$2,780,879.00 ","$3,305,626.00 ","$3,473,550.00 ",$0.00 ,"$9,560,055.00 ","$29,778,666.00 ",$0.00 ,$0.00 ,"$1,949,187.00 ",$0.00 ,$0.00 ,"$31,727,853.00 ","$41,287,908.00 ","$20,727,997.00 ","$291,914,599.00 "
21,Whatcom Transportation Authority,Full Reporter,Urban,"$57,967,966.00 ","$8,782,572.00 ","$1,315,115.00 ","$358,525.00 ",$0.00 ,$0.00 ,"$68,424,178.00 ","$46,717,163.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,948,776.00 ",$0.00 ,"$6,159,358.00 ","$54,825,297.00 ","$123,249,475.00 ","$6,288,124.00 ","$1,158,126.00 ",$0.00 ,"$4,353,938.00 ","$107,083.00 ","$5,619,147.00 ",$0.00 ,$0.00 ,"$1,568,182.00 ","$3,578,134.00 ",$0.00 ,"$243,309.00 ","$5,389,625.00 ","$11,008,772.00 ","$6,395,284.00 ","$112,133,543.00 "
24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,$0.00 ,"$29,334,756.00 ","$2,672,287.00 ","$1,689,469.00 ",$0.00 ,$0.00 ,"$33,696,512.00 ","$110,340,022.00 ","$7,152,661.00 ",$0.00 ,"$190,447,516.00 ","$29,543,135.00 ",$0.00 ,"$9,185,403.00 ","$346,668,737.00 ","$380,365,249.00 ","$9,840,802.00 ","$5,767,795.00 ",$0.00 ,"$6,514,958.00 ","$518,472.00 ","$12,801,225.00 ",$0.00 ,$0.00 ,$0.00 ,"$5,255,381.00 ","$677,710.00 ","$580,726.00 ","$6,513,817.00 ","$19,315,042.00 ","$9,686,581.00 ","$361,204,428.00 "
25,Salem Area Mass Transit District,Full Reporter,Urban,"$12,993,522.00 ","$12,183,306.00 ","$956,357.00 ","$981,047.00 ",$0.00 ,"$1,829.00 ","$27,116,061.00 ","$40,042,202.00 ",$0.00 ,$0.00 ,$0.00 ,"$8,077,726.00 ","$33,888,310.00 ",$0.00 ,"$82,008,238.00 ","$109,124,299.00 ","$10,409,616.00 ","$2,512,583.00 ",$0.00 ,"$1,963,168.00 ","$6,080,188.00 ","$10,555,939.00 ",$0.00 ,$0.00 ,$0.00 ,"$10,212,063.00 ",$0.00 ,$0.00 ,"$10,212,063.00 ","$20,768,002.00 ","$4,127,360.00 ","$94,638,553.00 "
