NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Operator (Vehicle Operations) Hours Worked,Full Time Non-Operator (Vehicle Operations) Hours Worked,Total Full Time (Vehicle Operations) Hours Worked,Full Time Operator (Vehicle Maintenance) Hours Worked,Full Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Full Time (Vehicle Maintenance) Hours Worked,Full Time Operator (Facility Maintenance) Hours Worked,Full Time Non-Operator (Facility Maintenance) Hours Worked,Total Full Time (Facility Maintenance) Hours Worked,Full Time Operator (General Administration) Hours Worked,Full Time Non-Operator (General Administration) Hours Worked,Total Full Time (General Administration) Hours Worked,Total Full Time Operator (Operating Labor) Hours Worked,Total Full Time Non-Operator (Operating Labor) Hours Worked,Total Full Time (Operating Labor) Hours Worked,Full Time Operator (Capital Labor) Hours Worked,Full Time Non-Operator (Capital Labor) Hours Worked,Total Full Time (Capital Labor) Hours Worked,Total Full Time Operator Hours Worked,Total Full Time Non-Operator Hours Worked,Total Full Time Hours Worked,Full Time Operator (Vehicle Operations) Employee Count,Full Time Non-Operator (Vehicle Operations) Employee Count,Total Full Time (Vehicle Operations) Employee Count,Full Time Operator (Vehicle Maintenance) Employee Count,Full Time Non-Operator (Vehicle Maintenance) Employee Count,Total Full Time (Vehicle Maintenance) Employee Count,Full Time Operator (Facility Maintenance) Employee Count,Full Time Non-Operator (Facility Maintenance) Employee Count,Total Full Time (Facility Maintenance) Employee Count,Full Time Operator (General Administration) Employee Count,Full Time Non-Operator (General Administration) Employee Count,Total Full Time (General Administration) Employee Count,Total Full Time Operator (Operations) Employee Count,Total Full Time Non-Operator (Operations) Employee Count,Total Full Time (Operations) Employee Count,Full Time Operator (Capital Labor) Employee Count,Full Time Non-Operator (Capital Labor) Employee Count,Total Full Time (Capital Labor) Employee Count,Total Full Time Operator Employee Count,Total Full Time Non-Operator Employee Count,Total Full Time Employee Count,Part Time Operator (Vehicle Operations) Hours Worked,Part Time Non-Operator (Vehicle Operations) Hours Worked,Total Part Time (Vehicle Operations) Hours Worked,Part Time Operator (Vehicle Maintenance) Hours Worked,Part Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Part Time (Vehicle Maintenance) Hours Worked,Part Time Operator (Facility Maintenance) Hours Worked,Part Time Non-Operator (Facility Maintenance) Hours Worked,Total Part Time (Facility Maintenance) Hours Worked,Part Time Operator (General Administration) Hours Worked,Part Time Non-Operator (General Administration) Hours Worked,Total Part Time (General Administration) Hours Worked,Total Part Time Operator (Operating Labor) Hours Worked,Total Part Time Non-Operator (Operating Labor) Hours Worked,Total Part Time (Operating Labor) Hours Worked,Part Time Operator (Capital Labor) Hours Worked,Part Time Non-Operator (Capital Labor) Hours Worked,Total Part Time (Capital Labor) Hours Worked,Total Part Time Operator Hours Worked,Total Part Time Non-Operator Hours Worked,Total Part Time Hours Worked,Part Time Operator (Vehicle Operations) Employee Count,Part Time Non-Operator (Vehicle Operations) Employee Count,Total Part Time (Vehicle Operations) Employee Count,Part Time Operator (Vehicle Maintenance) Employee Count,Part Time Non-Operator (Vehicle Maintenance) Employee Count,Total Part Time (Vehicle Maintenance) Employee Count,Part Time Operator (Facility Maintenance) Employee Count,Part Time Non-Operator (Facility Maintenance) Employee Count,Total Part Time (Facility Maintenance) Employee Count,Part Time Operator (General Administration) Employee Count,Part Time Non-Operator (General Administration) Employee Count,Total Part Time (General Administration) Employee Count,Total Part Time Operator (Operations) Employee Count,Total Part Time Non-Operator (Operations) Employee Count,Total Part Time (Operations) Employee Count,Part Time Operator (Capital Labor) Employee Count,Part Time Non-Operator (Capital Labor) Employee Count,Total Part Time (Capital Labor) Employee Count,Total Part Time Operator Employee Count,Total Part Time Non-Operator Employee Count,Total Part Time Employee Count,data_year
1,King County Department of Metro Transit,Full Reporter,Urban,FB,DO,23329,5642,28971,0,8883,8883,0,389,389,0,12903,12903,23329,27817,51146,0,52,52,23329,27869,51198,17,5.1,22.1,0,5,5,0,0.2,0.2,0,6.6,6.6,17,16.8,33.8,0,0.1,0.1,17,16.9,33.9,1185,1099,2284,0,0,0,0,0,0,0,11,11,1185,1110,2295,0,0,0,1185,1110,2295,4,2,6,0,1,1,0,0,0,0,0,0,4,3,7,0,0,0,4,3,7,
1,King County Department of Metro Transit,Full Reporter,Urban,MB,DO,3327400,459675,3787075,0,1087871,1087871,0,375523,375523,0,440969,440969,3327400,2364038,5691438,0,194163,194163,3327400,2558201,5885601,1525.8,266.8,1792.6,0,597.3,597.3,0,216.5,216.5,0,265.2,265.2,1525.8,1345.8,2871.6,0,109.1,109.1,1525.8,1454.8,2980.6,512064,1184,513248,0,4141,4141,0,2560,2560,0,9260,9260,512064,17145,529209,0,2437,2437,512064,19582,531646,430.8,1.6,432.4,0,4.2,4.2,0,3.2,3.2,0,9.2,9.2,430.8,18.2,449,0,1.8,1.8,430.8,20.1,450.8,
1,King County Department of Metro Transit,Full Reporter,Urban,SR,DO,62866,19285,82151,0,21268,21268,0,13077,13077,0,13397,13397,62866,67027,129893,0,76,76,62866,67103,129969,31,10.4,41.4,0,9,9,0,7.6,7.6,0,8.4,8.4,31,35.3,66.3,0,0,0,31,35.4,66.4,0,0,0,0,0,0,0,0,0,0,592,592,0,592,592,0,0,0,0,592,592,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0,1.1,1.1,0,0,0,0,1.1,1.1,
1,King County Department of Metro Transit,Full Reporter,Urban,TB,DO,444260,61374,505634,0,97139,97139,0,108524,108524,0,57532,57532,444260,324569,768829,0,30192,30192,444260,354761,799021,203.7,35.6,239.4,0,53.3,53.3,0,62.3,62.3,0,34.6,34.6,203.7,185.8,389.5,0,17,17,203.7,202.8,406.5,68368,158,68526,0,369,369,0,341,341,0,1233,1233,68368,2101,70469,0,325,325,68368,2426,70794,57.5,0.2,57.7,0,0.4,0.4,0,0.4,0.4,0,1.2,1.2,57.5,2.2,59.8,0,0.2,0.2,57.5,2.5,60,
1,King County Department of Metro Transit,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,797,797,0,51820,51820,0,52617,52617,0,1783,1783,0,54400,54400,0,0,0,0,0,0,0,0.5,0.5,0,28.8,28.8,0,29.3,29.3,0,1,1,0,30.3,30.3,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,86470,49400,135870,0,20761,20761,0,0,0,0,18152,18152,86470,88313,174783,0,2000,2000,86470,90313,176783,60,28,88,0,12,12,0,0,0,0,12.7,12.7,60,52.7,112.7,0,1.3,1.3,60,54,114,1358,0,1358,0,0,0,0,0,0,0,402,402,1358,402,1760,0,0,0,1358,402,1760,1,0,1,0,0,0,0,0,0,0,0.4,0.4,1,0.4,1.4,0,0,0,1,0.4,1.4,
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,552521,83472,635993,0,134372,134372,0,55452,55452,0,130197,130197,552521,403493,956014,0,8233,8233,552521,411726,964247,343,60,403,0,96,96,0,38,38,0,86.2,86.2,343,280.2,623.2,0,5.3,5.3,343,285.5,628.5,27373,0,27373,0,0,0,0,0,0,0,1656,1656,27373,1656,29029,0,0,0,27373,1656,29029,24,0,24,0,0,0,0,0,0,0,1.6,1.6,24,1.6,25.6,0,0,0,24,1.6,25.6,
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,0,0,0,3236,3236,0,3236,3236,0,83,83,0,3319,3319,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,2.5,2.5,0,0.1,0.1,0,2.6,2.6,0,0,0,0,0,0,0,0,0,0,17,17,0,17,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,28085,5159,33244,0,858,858,0,195,195,0,9685,9685,28085,15897,43982,0,0,0,28085,15897,43982,15,2.8,17.8,0,0.5,0.5,0,0.1,0.1,0,5.7,5.7,15,9.1,24,0,0,0,15,9.1,24,0,0,0,0,0,0,0,0,0,0,57,57,0,57,57,0,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.4,0,0,0,0,0.4,0.4,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,500805,129558,630363,0,86369,86369,0,31493,31493,0,133578,133578,500805,380998,881803,0,0,0,500805,380998,881803,266.9,58.6,325.5,0,46.7,46.7,0,19.8,19.8,0,85,85,266.9,210.1,477,0,0,0,266.9,210.1,477,24325,0,24325,0,0,0,0,0,0,0,1058,1058,24325,1058,25383,0,0,0,24325,1058,25383,12.2,0,12.2,0,0,0,0,0,0,0,0,0,12.2,0,12.2,0,0,0,12.2,0,12.2,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,0,10089,10089,0,10205,10205,0,1907,1907,0,6161,6161,0,28362,28362,0,0,0,0,28362,28362,0,5.1,5.1,0,5.7,5.7,0,1.3,1.3,0,3.9,3.9,0,16,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,16,16,0,16,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,City of Everett,Full Reporter,Urban,DR,DO,32033,18897,50930,0,6895,6895,0,3959,3959,615,13164,13779,32648,42915,75563,0,0,0,32648,42915,75563,21,9.9,30.9,0,3.9,3.9,0,1.8,1.8,0,7.1,7.1,21,22.7,43.7,0,0,0,21,22.7,43.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,City of Everett,Full Reporter,Urban,MB,DO,109735,21248,130983,0,20202,20202,0,10286,10286,593,34349,34942,110328,86085,196413,0,0,0,110328,86085,196413,65,11.1,76.1,0,11.6,11.6,0,5.2,5.2,0,18.9,18.9,65,46.8,111.8,0,0,0,65,46.8,111.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,City of Yakima,Full Reporter,Urban,MB,DO,54646,16222,70868,0,6500,6500,0,0,0,0,10840,10840,54646,33562,88208,0,0,0,54646,33562,88208,29,7,36,0,3,3,0,0,0,0,8,8,29,18,47,0,0,0,29,18,47,16965,0,16965,0,3315,3315,0,0,0,0,0,0,16965,3315,20280,0,0,0,16965,3315,20280,23,0,23,0,5,5,0,0,0,0,0,0,23,5,28,0,0,0,23,5,28,
7,Lane Transit District,Full Reporter,Urban,MB,DO,223422,49253,272675,0,54665,54665,0,14833,14833,0,63263,63263,223422,182014,405436,0,2212,2212,223422,184226,407648,124.7,26.8,151.5,0,30.4,30.4,0,8.6,8.6,0,34.5,34.5,124.7,100.3,224.9,0,1.2,1.2,124.7,101.5,226.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Lane Transit District,Full Reporter,Urban,RB,DO,84788,18691,103479,0,20745,20745,0,5629,5629,0,24008,24008,84788,69073,153861,0,839,839,84788,69912,154700,47.3,10.2,57.5,0,11.5,11.5,0,3.3,3.3,0,13.1,13.1,47.3,38.1,85.4,0,0.5,0.5,47.3,38.5,85.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,352731,230201,582932,0,416192,416192,0,358407,358407,0,196792,196792,352731,1201592,1554323,0,56280,56280,352731,1257872,1610603,177,124,301,0,216.5,216.5,0,199.5,199.5,0,110,110,177,650,827,0,31,31,177,681,858,0,0,0,0,0,0,0,0,0,0,3670,3670,0,3670,3670,0,0,0,0,3670,3670,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,4,4,
