UACE CD,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
1,Alabama Non-UZA,,5191052,311767,1657944,847168,"$18,285,687.00 ",0,0,0,$0.00 ,2032430,1657944,"$6,989,662.00 ",0,0,0,0
2,Alaska Non-UZA,,3135019,181845,25208661,1103868,"$74,591,876.00 ",891,1032797,25208661,"$52,590,936.00 ",526779,0,"$3,461,538.00 ",891.3,1032797,0,0
4,Arizona Non-UZA,,6917128,322764,13610232,1394405,"$24,844,073.00 ",0,0,0,$0.00 ,5011277,13610232,"$16,875,708.00 ",0,0,0,0
5,Arkansas Non-UZA,,10518654,539730,0,799801,"$29,311,891.00 ",0,0,0,$0.00 ,3860344,0,"$13,567,567.00 ",0,0,0,0
6,California Non-UZA,,24017344,1327599,31089385,7350357,"$175,001,952.00 ",0,0,0,$0.00 ,9522093,31089385,"$80,582,964.00 ",0,0,0,0
8,Colorado Non-UZA,,18649050,1266333,166640,17103836,"$123,604,971.00 ",0,0,0,$0.00 ,321254,166640,"$1,487,224.00 ",0,0,0,0
9,Connecticut Non-UZA,,1348550,84692,1672269,358793,"$8,095,411.00 ",0,0,0,$0.00 ,976034,1672269,"$6,238,236.00 ",0,0,0,0
10,Delaware Non-UZA,,3236389,186935,11812048,935548,"$34,925,512.00 ",17,35820,6094886,"$12,244,143.00 ",3200569,5717162,"$22,681,369.00 ",0,0,0,0
12,Florida Non-UZA,,14216451,765800,15713849,3519266,"$63,483,965.00 ",0,0,0,$0.00 ,6444974,15713849,"$35,724,421.00 ",0,0,0,0
13,Georgia Non-UZA,,10658922,630458,0,1017149,"$34,685,035.00 ",0,0,0,$0.00 ,1132308,0,"$4,176,131.00 ",0,0,0,0
