State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID,Service Area Sq Miles,Service Area Pop,Primary UZA UACE Code,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service,State Admin Funds Expended
,1,1,King County,Metro Transit Department,KCM,King County Metro,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,201 S Jackson St,,,Seattle,WA,98104.0,3854.0,10,http://metro.kingcounty.gov/,1731.0,E1D1LQ5QENJ8,2134.0,2347800.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,1814.0,456.0,2270,,,Tier I (Rail),,,
,2,2,Spokane Transit Authority,,STA,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,1230 W Boone Ave,,,Spokane,WA,99201.0,2658.0,10,http://www.spokanetransit.com/,1733.0,QV32KQAKHCE3,248.0,471169.0,83764.0,"Spokane, WA",,447279.0,2605.41324238995,171.67,264.0,36.0,300,,,Tier I (Fixed Route VOMS),,,
,3,3,Pierce County Transportation Benefit Area Authority,,,Pierce Transit,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-12-31,2024-04-30,3701 96Th St Sw,,99070,Lakewood,WA,98499.0,4431.0,10,http://www.piercetransit.org/,1730.0,QACHE3STYGK3,292.0,575963.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,368.0,62.0,430,,,Tier I (Fixed Route VOMS),,,
,4,0T04,Confederated Tribes of the Colville Indian Reservation,,,,Reduced Reporter,Tribe,Tribe,,,,2023-09-30,2024-01-31,21 Colville St,,150,Nespelem,WA,99155.0,,10,https://www.colvilletribes.com/transit-inchelium-ferry,6683.0,NU9UAKLRDDP1,,,53.0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,5.0,,5,,,Tier II,,,
,5,5,City of Everett,,ET,Everett Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,3201 Smith Ave Ste 215,,,Everett,WA,98201.0,4594.0,10,http://www.everetttransit.org/,1743.0,NB35N2NU35J3,34.0,110629.0,80389.0,"Seattle--Tacoma, WA",,3544011.0,3607.07239632619,982.52,50.0,,50,,,Tier II,,,
,6,6,City of Yakima,,YT,Yakima Transit,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,2023-12-31,2024-04-30,129 N 2Nd St,,,Yakima,WA,98901.0,2613.0,10,http://www.yakimatransit.org/,1750.0,FJNNX1XFJ9K3,33.0,100716.0,97507.0,"Yakima, WA",,133145.0,2387.35563019291,55.77,18.0,24.0,42,,,Tier II,,,
,7,7,Lane Transit District,,LTD,,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,3500 E 17Th Ave,,,Eugene,OR,97403.0,2375.0,10,http://www.ltd.org/,1738.0,U5LFCFM1A8J5,482.0,317600.0,28117.0,"Eugene, OR",,270179.0,3676.63592073613,73.49,70.0,62.0,132,,,Tier II,,,
,8,8,Tri-County Metropolitan Transportation District of Oregon,,,TriMet,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,2023-06-30,2023-10-31,4013 Se 17Th Ave,,,Portland,OR,97202.0,3939.0,10,http://www.trimet.org/,1728.0,YXFYCBFAF5S3,378.0,1526171.0,71317.0,"Portland, OR--WA",,2104238.0,4052.0671239424,519.3,537.0,180.0,717,,,Tier I (Rail),,,
,9,0T09,Kalispel Tribe of Indians,,KTI,,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,1981 Leclerc Rd N,,39,Cusick,WA,99119.0,9682.0,10,http://www.kalispeltribe.com/,6680.0,XY4MRBMRTWL5,,,53.0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",1895776.0,0.0,0.0,0.0,,0,,,Tier II,,,
,10,0T10,Klamath Tribes,Planning Department,,Quail Trail ,Reduced Reporter,Tribe,Tribe,,,,2023-12-31,2024-04-30,501 S. Chiloquin Blvd.,,436,Chiloquin,OR,97624.0,6773.0,10,https://klamathtribes.org/planning-and-enterprise-department/,6806.0,SH4JJFWHQHH4,,,41.0,Oregon Non-UZA,"Klamath Reservation, OR",1553447.0,0.0,0.0,7.0,,7,,,Tier II,,,
