State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Vehicles Operated at Maximum Service (VOMS),Vehicles Available at Maximum Service (VAMS),Rail,Fixed Route,Seasonal Segment,Fixed Guideway/High Intensity,Service Type,Commitment Date,Start Service Date,End Service Date
,1,King County,Full Reporter,Urban,CB,PT,,,,,,,Reported Separately,,,
,1,King County,Full Reporter,Urban,DR,PT,317.0,389.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,1,King County,Full Reporter,Urban,DR,TX,81.0,81.0,N,N,N,N,Active Service,2010-01-01,2010-01-01,
,1,King County,Full Reporter,Urban,FB,DO,2.0,3.0,N,Y,N,Y,Active Service,2016-01-01,2016-01-01,
,1,King County,Full Reporter,Urban,LR,PT,,,,,,,Reported Separately,,,
,1,King County,Full Reporter,Urban,MB,DO,715.0,1154.0,N,Y,N,Y,Active Service,1993-01-01,1993-01-01,
,1,King County,Full Reporter,Urban,MB,PT,58.0,69.0,N,Y,N,N,Active Service,2005-01-01,2005-01-01,
,1,King County,Full Reporter,Urban,SR,DO,10.0,10.0,Y,Y,N,Y,Active Service,2011-01-01,2011-01-01,
,1,King County,Full Reporter,Urban,TB,DO,110.0,174.0,N,Y,N,Y,Active Service,1993-01-01,1993-01-01,
,1,King County,Full Reporter,Urban,VP,DO,977.0,1243.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,55.0,80.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,36.0,40.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,129.0,175.0,N,Y,N,N,Active Service,1993-01-01,1993-01-01,
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,80.0,103.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,,,,,,,Reported Separately,,,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,17.0,25.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,62.0,75.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,126.0,138.0,N,Y,N,Y,Active Service,1993-01-01,1993-01-01,
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,225.0,267.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,1.0,,N,Y,N,N,Active Service,1982-01-01,1982-01-01,
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,4.0,,N,Y,N,N,Active Service,2007-10-01,2008-01-01,
,5,City of Everett,Full Reporter,Urban,DR,DO,18.0,25.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,5,City of Everett,Full Reporter,Urban,MB,DO,32.0,47.0,N,Y,N,N,Active Service,1993-01-01,1993-01-01,
,6,City of Yakima,Full Reporter,Urban,CB,PT,2.0,2.0,N,Y,N,N,Active Service,2014-01-01,2014-01-01,
,6,City of Yakima,Full Reporter,Urban,DR,PT,22.0,24.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,6,City of Yakima,Full Reporter,Urban,MB,DO,18.0,24.0,N,Y,N,N,Active Service,1993-01-01,1993-01-01,
,7,Lane Transit District,Full Reporter,Urban,DR,PT,21.0,52.0,N,N,N,N,Active Service,1992-07-01,1992-07-01,
,7,Lane Transit District,Full Reporter,Urban,DR,TX,34.0,34.0,N,N,N,N,Active Service,2009-07-01,2009-07-01,
,7,Lane Transit District,Full Reporter,Urban,MB,DO,57.0,80.0,N,Y,N,N,Active Service,1992-07-01,1992-07-01,
,7,Lane Transit District,Full Reporter,Urban,MB,PT,2.0,3.0,N,Y,N,N,Active Service,2008-07-01,2008-07-01,
,7,Lane Transit District,Full Reporter,Urban,RB,DO,13.0,17.0,N,Y,N,Y,Active Service,2010-07-01,2010-07-01,
,7,Lane Transit District,Full Reporter,Urban,VP,PT,5.0,5.0,N,N,N,N,Active Service,2004-07-01,2004-07-01,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,138.0,262.0,N,N,N,N,Active Service,1992-07-01,1992-07-01,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TN,10.0,10.0,N,N,N,N,Active Service,2023-05-16,2023-05-16,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,28.0,28.0,N,N,N,N,Active Service,2009-07-01,2009-07-01,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,94.0,141.0,Y,Y,N,Y,Active Service,1992-07-01,1992-07-01,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,443.0,685.0,N,Y,N,Y,Active Service,1992-07-01,1992-07-01,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,,,,,,,Reported Separately,,,
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,4.0,6.0,Y,Y,N,Y,Active Service,2010-07-01,2010-07-01,
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,0.0,,N,Y,N,N,Active Service,2009-01-01,2009-05-04,
,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,2.0,,N,Y,N,N,Active Service,2011-01-01,2011-01-01,
,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,5.0,,N,N,N,N,Active Service,2012-01-01,2012-01-01,
,11,Valley Regional Transit,Full Reporter,Urban,DR,DO,4.0,4.0,N,N,N,N,Active Service,2023-01-13,2023-01-13,
,11,Valley Regional Transit,Full Reporter,Urban,DR,PT,35.0,60.0,N,N,N,N,Active Service,2017-10-01,2017-10-01,
,11,Valley Regional Transit,Full Reporter,Urban,MB,PT,38.0,57.0,N,Y,N,N,Active Service,2017-10-01,2017-10-01,
,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,40.0,47.0,N,N,N,N,Active Service,1993-01-01,1993-01-01,
,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,47.0,68.0,N,Y,N,N,Active Service,1993-01-01,1993-01-01,
,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,94.0,94.0,N,N,N,N,Active Service,2016-06-01,2016-06-01,
,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,3.0,,N,Y,N,N,Active Service,2001-08-01,2007-09-14,
,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,2.0,,N,N,N,N,Active Service,2014-10-01,2014-10-01,
,16,City of Longview,Full Reporter,Urban,CB,DO,1.0,2.0,N,Y,N,N,Ending Service,2022-06-08,2022-08-15,2023-04-15
,16,City of Longview,Full Reporter,Urban,DR,PT,10.0,17.0,N,N,N,N,Active Service,1996-01-01,1996-01-01,
