NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS, Bio-Diesel , Bunker Fuel , C Natural Gas , Diesel Fuel , Electric Battery , Electric Propulsion , Ethanol , Methonal , Gasoline , Hydrogen , Kerosene , Liquified Nat Gas , Liquified Petroleum Gas , Other Fuel ,Other Fuel Description
1,King County,Full Reporter,Urban,DR,PT, -   ,,,17880,,,,,940728,,,,292568,,
1,King County,Full Reporter,Urban,FB,DO,208441,,,5591,,,,,,,,,,,
1,King County,Full Reporter,Urban,MB,DO,396458,,,7006268,2411807,,,,,,,,,,
1,King County,Full Reporter,Urban,MB,PT, -   ,,,43135,,,,,126689,,,,,,
1,King County,Full Reporter,Urban,SR,DO,,,,,,2122439,,,,,,,,,
1,King County,Full Reporter,Urban,TB,DO,,,,,,13113330,,,,,,,,,
1,King County,Full Reporter,Urban,VP,DO,,,,,,,,,379932,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, -   ,,,30325,,,,,122502,,,, -   ,,
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, -   ,,,101317,,,,,29858,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, -   ,,,1335531,1202138,,,,,,,,,,
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,,,,,,,,,56463,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,,,16539,,,,,,30673,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,,,,,,,,,288887,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO, -   ,,1036567,996,265806,,,,56,,,,,,
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,,,,,,,,,204380,,,,,,
5,City of Everett,Full Reporter,Urban,DR,DO,,,,,,,,,68222,,,,,,
5,City of Everett,Full Reporter,Urban,MB,DO, -   ,,,220672,1043955,,,,,,,,,,
6,City of Yakima,Full Reporter,Urban,CB,PT, -   ,,,19140,,,,,3337,,,,,,
6,City of Yakima,Full Reporter,Urban,DR,PT,,,,,,,,,33001,,,,,,
6,City of Yakima,Full Reporter,Urban,MB,DO, -   ,,,154538,,,,,,,,,,,
