State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Sponsor NTD ID,Sponsor Name,Primary Mode Served,Secondary Modes Served,Facility ID,Facility Type,Facility Name,Street Address,City,State,ZIP Code,Latitude,Longitude,Non-Agency Mode Served,Private Modes Served,Administrative/Maintenance Facility Flag,Passenger/Parking Facility Flag,Square Feet,Number of Parking Spaces,Section of a Larger Facility,Year Built or Reconstructed as New,Percent Agency Capital Responsibility,Cross Agency Facility Flag,Condition Assessment Date,Condition Assessment,Separate Asset Flag,Notes
,1,King County,Full Reporter: Operating,Urban,,,DR,,19747,Administrative Office / Sales Office,South Park Site - Admin,8100 8th Ave S,Seattle,WA,98108.0,47.5304,-122.3215,,,1,0,3638.0,,0.0,1931,100.0,N,2021-12-01,4.0,,Admin and Operations; Purchased 2021; New 2021
,1,King County,Full Reporter: Operating,Urban,,,DR,,19748,Maintenance Facility (Service and Inspection),South Park Site - Maintenance,8100 8th Ave S,Seattle,WA,98108.0,47.53098,-122.3219,,,1,0,21621.0,,0.0,1959,100.0,N,2021-12-01,4.0,,Maintenance and Repair Facility; Purchased 2021; New 2021
,1,King County,Full Reporter: Operating,Urban,,,DR,,19749,"Other, Administrative & Maintenance (describe in Notes)",South Park Site - Storage Shed,8100 8th Ave S,Seattle,WA,98108.0,47.5305,-122.3227,,,1,0,391.0,,0.0,1931,100.0,N,2021-12-01,4.0,,Enclosed Storage; Old garage; Purchased 2021; New 2021
,1,King County,Full Reporter: Operating,Urban,,,DR,,19750,"Other, Administrative & Maintenance (describe in Notes)",South Park Site - Storage Awning,8100 8th Ave S,Seattle,WA,98108.0,47.53081,-122.3226,,,1,0,2014.0,,0.0,1959,100.0,N,2021-12-01,4.0,,Covered Storage; Purchased 2021; New 2021
,1,King County,Full Reporter: Operating,Urban,,,FB,,2879,Maintenance Facility (Service and Inspection),Alaskan Way Maintenance Facility,201 Alaskan Way S,Seattle,WA,98104.0,47.60066,-122.3376,,,1,0,5600.0,,0.0,2012,100.0,N,2023-09-28,4.0,,Floating Maintenance Barge and Transfer Span; Landside is not owned by KCM
,1,King County,Full Reporter: Operating,Urban,,,FB,,2880,Ferryboat Terminal,Vashon Terminal,10800 North Vashon Highway,Vashon,WA,98070.0,47.51126,-122.4647,,,0,1,3500.0,,0.0,1995,1.0,N,2021-02-15,3.0,,Passenger Terminal; Leased from WA State Ferries; Part of Vashon WSF Facility (NTD ID 6250); True capital responsibility pcnt is <1% (Only shelter additions on transfer span for pax); WSF performs CA on Facility.; Capital Partner - Washington State Ferries
,1,King County,Full Reporter: Operating,Urban,,,FB,,2881,Ferryboat Terminal,Seacrest Terminal,1660 Harbor Avenue SW,Seattle,WA,98126.0,47.58945,-122.3796,,,0,1,2220.0,,0.0,2010,100.0,N,2023-09-28,4.0,,"Passenger Terminal; Leased from City of Seattle; Also known as ""Seacrest Dock (West Seattle)"""
,1,King County,Full Reporter: Operating,Urban,,,FB,,2882,Ferryboat Terminal,Seattle Terminal,801 Alaskan Way,Seattle,WA,98104.0,47.60148,-122.3381,,,0,1,9225.0,,0.0,2019,100.0,N,2023-10-11,4.0,,Passenger (Foot Ferry) Terminal; Tidelands beneath terminal leased from WA State Ferries; Located S of WSF facility NTD ID 6246; Kitsap Transit reports as NTD ID 16875
,1,King County,Full Reporter: Operating,Urban,,,MB,,2915,"Other, Administrative & Maintenance (describe in Notes)","Atlantic-Central Base Operations Building 45,350 sf","1500 6th Ave S, Building 2",Seattle,WA,98134.0,47.59032,-122.3254,,,1,0,45350.0,,0.0,2011,100.0,N,2022-07-31,4.0,,Operations Building serving AB and CB
,1,King County,Full Reporter: Operating,Urban,,,MB,TB,2916,General Purpose Maintenance Facility/Depot,"Atlantic-Central Tire Shop 9,700 sf",898 SOUTH MASSACHUSETTS STREET,Seattle,WA,98134.0,47.58858,-122.3219,,,1,0,9700.0,,0.0,2006,100.0,N,2023-09-05,4.0,,Tire shop serving AB and CB
,1,King County,Full Reporter: Operating,Urban,,,MB,TB,2917,Vehicle Fueling Facility,"Atlantic Base/Fuel & Wash Building 11,550 sf",1555 Airport Way S.,Seattle,WA,98134.0,47.59113,-122.3234,,,1,0,11550.0,,0.0,1980,100.0,N,2022-06-14,3.0,,Combined Fuel & Wash Building; ABFW
