State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Passenger Paid Fares,Organization Paid Fares,Total Fares
,1,King County,Full Reporter,Urban,CB,PT,Funds Earned During Period,4875951.0,2476333.0,7352284
,1,King County,Full Reporter,Urban,DR,PT,Funds Earned During Period,793856.0,23036.0,816892
,1,King County,Full Reporter,Urban,DR,TX,Funds Earned During Period,105605.0,0.0,105605
,1,King County,Full Reporter,Urban,FB,DO,Funds Earned During Period,712236.0,781044.0,1493280
,1,King County,Full Reporter,Urban,LR,PT,Funds Earned During Period,17033195.0,15668470.0,32701665
,1,King County,Full Reporter,Urban,MB,DO,Funds Earned During Period,28801889.0,31584416.0,60386305
,1,King County,Full Reporter,Urban,MB,PT,Funds Earned During Period,213363.0,128188.0,341551
,1,King County,Full Reporter,Urban,SR,DO,Funds Earned During Period,294664.0,323131.0,617795
,1,King County,Full Reporter,Urban,TB,DO,Funds Earned During Period,4923976.0,5399678.0,10323654
,1,King County,Full Reporter,Urban,VP,DO,Funds Earned During Period,3178494.0,3485565.0,6664059
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,426672.0,,426672
,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,59370.0,,59370
,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,4758619.0,1005681.0,5764300
,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,284041.0,,284041
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,4586799.0,,4586799
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,64780.0,,64780
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,322833.0,,322833
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,4177021.0,113454.0,4290475
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,1599237.0,,1599237
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,0.0,0.0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,0.0,0.0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.0,0.0,0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0.0,0.0,0
,5,City of Everett,Full Reporter,Urban,DR,DO,Funds Earned During Period,121136.0,,121136
,5,City of Everett,Full Reporter,Urban,MB,DO,Funds Earned During Period,845469.0,123740.0,969209
,6,City of Yakima,Full Reporter,Urban,CB,PT,Funds Earned During Period,204846.0,,204846
,6,City of Yakima,Full Reporter,Urban,DR,PT,Funds Earned During Period,86441.0,,86441
,6,City of Yakima,Full Reporter,Urban,MB,DO,Funds Earned During Period,295091.0,,295091
,7,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,282585.0,,282585
,7,Lane Transit District,Full Reporter,Urban,DR,TX,Funds Earned During Period,,11734077.0,11734077
,7,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,1351900.0,1110869.0,2462769
,7,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,23965.0,,23965
,7,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,1131785.0,809702.0,1941487
,7,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,65230.0,,65230
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,1140878.0,6079679.0,7220557
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TN,Funds Earned During Period,6255.0,33337.0,39592
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX,Funds Earned During Period,133292.0,710305.0,843597
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Funds Earned During Period,15840922.0,3751865.0,19592787
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Funds Earned During Period,23431625.0,5549696.0,28981321
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Funds Earned During Period,576373.0,0.0,576373
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Funds Earned During Period,59990.0,14208.0,74198
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,,,0
,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,,,0
,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,0.0,0.0,0
,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,0.0,0.0,0
,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.0,0.0,0
,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.0,0.0,0
,11,Valley Regional Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,129.0,,129
,11,Valley Regional Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,87150.0,6560.0,93710
,11,Valley Regional Transit,Full Reporter,Urban,MB,PT,Funds Earned During Period,537559.0,142895.0,680454
,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,Funds Earned During Period,322416.0,578831.0,901247
,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,Funds Earned During Period,3160339.0,,3160339
,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,Funds Earned During Period,1584494.0,,1584494
,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.0,0.0,0
,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,53247.0,0.0,53247
,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,,,0
,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.0,0.0,0
,16,City of Longview,Full Reporter,Urban,CB,DO,Funds Earned During Period,0.0,0.0,0
,16,City of Longview,Full Reporter,Urban,DR,PT,Funds Earned During Period,18498.0,1950.0,20448
,16,City of Longview,Full Reporter,Urban,MB,DO,Funds Earned During Period,67576.0,51001.0,118577
,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,,,0
,17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,,,0
,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,134377.0,97307.0,231684
,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,14418.0,0.0,14418
,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,468272.0,173197.0,641469
,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,874814.0,27056.0,901870
,19,Intercity Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,,,0
,19,Intercity Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,,,0
,19,Intercity Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,,,0
,19,Intercity Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,466799.0,,466799
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,192498.0,,192498
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,TX,Funds Earned During Period,5430.0,,5430
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,FB,DO,Funds Earned During Period,4045190.0,,4045190
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,2080325.0,,2080325
,20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,251318.0,,251318
,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,82695.0,,82695
,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,912161.0,604666.0,1516827
,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,63975.0,,63975
,22,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0.0,0.0,0
,22,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,40736.0,372672.0,413408
,22,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0.0,0.0,0
,22,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,73690.0,124540.0,198230
,23,City of Seattle,Full Reporter,Urban,MG,PT,Funds Earned During Period,6214624.0,,6214624
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,204958.0,,204958
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,2554397.0,,2554397
,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,112278.0,,112278
,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,198854.0,690794.0,889648
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,2146859.0,0.0,2146859
,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,120797.0,0.0,120797
,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,561683.0,0.0,561683
,28,County of Pierce,Full Reporter,Urban,FB,PT,Funds Earned During Period,3131940.0,,3131940
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,Funds Earned During Period,290754.0,571980.0,862734
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Funds Earned During Period,1885720.0,2528125.0,4413845
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Funds Earned During Period,293448.0,15733.0,309181
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,Funds Earned During Period,3806337.0,1051270.0,4857607
,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,Funds Earned During Period,879729.0,868144.0,1747873
,30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.0,0.0,0
,30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,2088.0,0.0,2088
,31,Shoshone-Bannock Tribes,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.0,0.0,0
,31,Shoshone-Bannock Tribes,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,,,0
,33,Senior Services of Snohomish County,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,,,0
,33,Senior Services of Snohomish County,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,14837.0,12000.0,26837
,33,Senior Services of Snohomish County,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,,,0
,33,Senior Services of Snohomish County,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,0.0,0.0,0
,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Funds Earned During Period,82597.0,,82597
,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,Funds Earned During Period,905668.0,,905668
,35,Washington State Ferries,Full Reporter,Urban,FB,DO,Funds Earned During Period,58349652.0,,58349652
,36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,,,0
,36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,229.0,0.0,229
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,Funds Earned During Period,5201438.0,6737646.0,11939084
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,1161736.0,1479722.0,2641458
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Funds Earned During Period,1867032.0,3138306.0,5005338
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,Funds Earned During Period,17033195.0,15668470.0,32701665
,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,Funds Earned During Period,68375.0,62450.0,130825
,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,Funds Earned During Period,36125687.0,,36125687
,43,Chelan Douglas PTBA,Full Reporter,Urban,DR,DO,Funds Earned During Period,,,0
,43,Chelan Douglas PTBA,Full Reporter,Urban,DR,PT,Funds Earned During Period,,,0
,43,Chelan Douglas PTBA,Full Reporter,Urban,MB,DO,Funds Earned During Period,,,0
,43,Chelan Douglas PTBA,Full Reporter,Urban,VP,DO,Funds Earned During Period,14012.0,,14012
,44,Skagit Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,77068.0,0.0,77068
,44,Skagit Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,101694.0,,101694
,44,Skagit Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,231231.0,,231231
,44,Skagit Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,305623.0,,305623
,45,Fairbanks North Star Borough,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0.0,0.0,0
,45,Fairbanks North Star Borough,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,40397.0,0.0,40397
,45,Fairbanks North Star Borough,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0.0,0.0,0
,45,Fairbanks North Star Borough,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,213482.0,0.0,213482
,46,City of Wilsonville,Full Reporter,Urban,DR,DO,Funds Earned During Period,,,0
,46,City of Wilsonville,Full Reporter,Urban,MB,DO,Funds Earned During Period,53959.0,,53959
,46,City of Wilsonville,Full Reporter,Urban,VP,PT,Funds Earned During Period,5548.0,,5548
,47,City of Corvallis,Reduced Reporter,Urban,MB,PT,Funds Expended on Capital,0.0,0.0,0
,47,City of Corvallis,Reduced Reporter,Urban,MB,PT,Funds Expended on Operations,0.0,0.0,0
,48,City of Lewiston,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0.0,0.0,0
,48,City of Lewiston,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,9926.0,0.0,9926
,48,City of Lewiston,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0.0,0.0,0
,48,City of Lewiston,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,31141.0,0.0,31141
,51,Asotin County Public Transportation Benefit Area,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,,,0
,51,Asotin County Public Transportation Benefit Area,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,8516.0,,8516
,51,Asotin County Public Transportation Benefit Area,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,,,0
,51,Asotin County Public Transportation Benefit Area,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,25398.0,,25398
,51,Asotin County Public Transportation Benefit Area,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,,,0
,51,Asotin County Public Transportation Benefit Area,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,67547.0,,67547
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0.0,0.0,0
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0.0,0.0,0
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0.0,0.0,0
,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0.0,0.0,0
,55,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,,,0
,55,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,,,0
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,Funds Earned During Period,157550.0,,157550
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,Funds Earned During Period,,6402.0,6402
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Funds Earned During Period,,2998.0,2998
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,Funds Earned During Period,,,0
,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,Funds Earned During Period,130010.0,,130010
,58,City of Portland,Full Reporter,Urban,SR,PT,Funds Earned During Period,576373.0,,576373
,58,City of Portland,Full Reporter,Urban,TR,PT,Funds Earned During Period,633753.0,,633753
,59,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Capital,,,0
,59,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Operations,36411.0,,36411
,59,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0.0,,0
,59,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,21384.0,,21384
,59,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0.0,,0
