UACE Code,UZA Name,Primary UZA,Population,Density,Square Miles,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,Other UZA Reporting Method Description,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled,Total Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,SGR FG Directional Route Miles,SGR FG Vehicle Revenue Miles,SGR HIB Directional Route Miles,SGR HIB Vehicle Revenue Miles
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,DR,PT, Actual Data,,,,552077.0,888663.0,6710756,6470644.0,72095003,6710756.0,6470644.0,72095003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,DR,PT, Other,"The method used to allocate UZA data is the proportion of boardings recorded on service operating within UZA-93862 to those that did not.  In 2022, no service in this mode was operated inside UZA-93862.",,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,59116.0,121496.0,1377744,1509526.0,5658724,1377744.0,1509526.0,5658724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,5697.0,399687.0,52310,1479694.0,8625721,0.0,0.0,0.0,24.0,52310.0,1479694.0,8625721.0,24.0,52310.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,2763099.0,63485248.0,29575605,244710079.0,710359423,28690004.0,237382571.0,689088683.0,19.1,885601.0,7327508.0,21270740.0,18.6,875266.0,177.0,2425139.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,83273.0,623887.0,983035,2376398.0,15507155,983035.0,2376398.0,15507155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,36982.0,1411817.0,177754,1556379.0,13964269,0.0,0.0,0.0,7.9,177754.0,1556379.0,13964269.0,7.9,177754.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,385828.0,10851566.0,2575445,20078748.0,92304429,0.0,0.0,0.0,116.9,2575445.0,20078748.0,92304429.0,116.9,2575445.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,1,King County,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,224129.0,1104484.0,6705162,23349034.0,10179899,6705162.0,23349034.0,10179899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,1,King County,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Data,,,,156.0,392.0,2435,3266.0,27919,2435.0,3266.0,27919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83764,"Spokane, WA",Y,447279,2605.41324238995,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,77897.0,195580.0,1215069,1629650.0,13931872,1215069.0,1629650.0,13931872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Other,"The method used to allocate UZA data is the proportion of boardings recorded on service operating within UZA-93862 to those that did not.  In 2022, no service in this mode was operated inside UZA-93862.",,,142.0,330.0,2198,2731.0,13990,2198.0,2731.0,13990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83764,"Spokane, WA",Y,447279,2605.41324238995,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,70695.0,164625.0,1096951,1362959.0,6981824,1096951.0,1362959.0,6981824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,19277.0,348939.0,266136,1575060.0,3383225,266136.0,1575060.0,3383225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83764,"Spokane, WA",Y,447279,2605.41324238995,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,475005.0,8598218.0,6557866,38811099.0,83366134,6557866.0,38811099.0,83366134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,15017.0,50337.0,534719,1543628.0,409705,534719.0,1543628.0,409705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83764,"Spokane, WA",Y,447279,2605.41324238995,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,13519.0,45318.0,481412,1389741.0,368861,481412.0,1389741.0,368861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,20994.0,41887.0,287743,310358.0,3337404,287743.0,310358.0,3337404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT, Actual Data,,,,132763.0,236511.0,1807533,1821091.0,15308323,1807533.0,1821091.0,15308323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,387392.0,6101806.0,4371847,26326548.0,76259695,4371847.0,26326548.0,76259695.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,46491.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,,102663.0,412041.0,3421086,11904323.0,4524209,3421086.0,11904323.0,4524209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,Y,1895776,0.0,0.0,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO, Actual Vehicle Revenue Miles,,,,5362.0,130971.0,19992,0.0,2175505,19992.0,0.0,2175505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,Y,1895776,0.0,0.0,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,,1824.0,2747.0,64904,0.0,231960,64904.0,0.0,231960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,5,City of Everett,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,,32043.0,75085.0,366516,390242.0,6550415,366516.0,390242.0,6550415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80389,"Seattle--Tacoma, WA",Y,3544011,3607.07239632619,982.52,,5,City of Everett,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,100706.0,1329885.0,1195863,4803479.0,20785261,1195863.0,4803479.0,20785261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,1888.0,10397.0,59466,342891.0,282267,59466.0,342891.0,282267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97507,"Yakima, WA",Y,133145,2387.35563019291,55.77,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,,2831.0,15595.0,89197,514325.0,423392,89197.0,514325.0,423392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,6,City of Yakima,Full Reporter,Urban,DR,PT, Other,"The method used to allocate UZA data is the proportion of boardings recorded on service operating within UZA-93862 to those that did not.  In 2022, no service in this mode was operated inside UZA-93862.",,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97507,"Yakima, WA",Y,133145,2387.35563019291,55.77,,6,City of Yakima,Full Reporter,Urban,DR,PT, Actual Data,,,,32951.0,46137.0,303614,162905.0,1841665,303614.0,162905.0,1841665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Washington Non-UZA,N,1895776,0.0,0.0,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97507,"Yakima, WA",Y,133145,2387.35563019291,55.77,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Data,,,,56088.0,574582.0,738964,2415244.0,7625824,738964.0,2415244.0,7625824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Oregon Non-UZA,N,1553447,0.0,0.0,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28117,"Eugene, OR",Y,270179,3676.63592073613,73.49,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,45354.0,95218.0,604764,622623.0,4674885,604764.0,622623.0,4674885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78229,"Salem, OR",N,268331,3691.81200356025,72.68,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Oregon Non-UZA,N,1553447,0.0,0.0,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28117,"Eugene, OR",Y,270179,3676.63592073613,73.49,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,82987.0,233468.0,2043085,2407913.0,6682461,2043085.0,2407913.0,6682461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78229,"Salem, OR",N,268331,3691.81200356025,72.68,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
