Agency NTD ID,Agency Name,Agency Reporter Type,Agency Reporting Module,Sponsor NTD ID,Sponsor Agency Name,Sponsor Reporter Type
22,City of Pocatello,Reduced Reporter,Urban,0R01,Idaho Transportation Department,State Reporter
48,City of Lewiston,Reduced Reporter,Urban,0R01,Idaho Transportation Department,State Reporter
53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,0R01,Idaho Transportation Department,State Reporter
135,Nez Perce Tribe,Reduced Reporter,Tribe,0R01,Idaho Transportation Department,State Reporter
311,Mountain Rides Transportation Authority,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
341,Selkirks-Pend Oreille Transit Authority,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
342,Valley Vista Care Corporation,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
347,"Regional Public Transportation, Inc.",Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
357,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
369,City of Victor,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
373,Treasure Valley Transit,Reduced Reporter,Urban,0R01,Idaho Transportation Department,State Reporter
385,Franklin County Medical Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
392,Boise Basin Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
403,Lemhi Ride,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
404,Shoshone County,Rural Reporter,Rural,0R01,Idaho Transportation Department,State Reporter
422,Oneida County Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
423,Mackay Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
424,Golden Year Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
425,Fremont County Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
426,Filer Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
427,"Development Workshop, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
429,University of Idaho,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
430,"Witco, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
432,"Three Island Senior Citizens Center, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
433,"Tesh, Inc.",Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
435,Payette Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
436,Parma Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
437,Mountain Home Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
438,Minidoka Memorial Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
439,Metro Community Transportation,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
441,Rimrock Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
442,New Plymouth Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
443,New Meadows Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
444,Melba Valley Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
445,McCall Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
447,Gem County Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
448,Council Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
449,Cascade Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
450,Cambridge Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
452,Blaine County Seniors Council,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
453,Bear Lake County Memorial Hospital,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
454,Kuna Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
456,Teton County,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
457,Elderly Opportunity Agency,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
458,Meridian Senior Center,Reduced Asset Reporter,Asset,0R01,Idaho Transportation Department,State Reporter
7,Lane Transit District,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
10,Klamath Tribes,Reduced Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter
34,Rogue Valley Transportation District,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
46,City of Wilsonville,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
47,City of Corvallis,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
57,Central Oregon Intergovernmental Council,Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
59,Josephine County,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
61,City of Albany,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
63,City of Milton-Freewater,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
65,Benton County,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
119,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,0R02,Oregon Department of Transportation ,State Reporter
290,City of Cottage Grove,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
296,Tillamook County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
300,City of Silverton,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
301,South Clackamas Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
307,Coos County Area Transit,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
308,Curry County Public Transit Service District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
310,Lincoln County Transportation Service District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
313,Grant County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
319,Hood River County Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
321,Yamhill County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
323,Malheur Council on Aging and Community Services,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
330,City of Canby,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
331,Sunset Empire Transportation District,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
339,Basin Transit Service,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
343,Community Connection of Northeast Oregon,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
348,"Senior Citizens of Sweet Home, Inc.",Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
359,City of Pendleton,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
360,City of Woodburn,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
363,Clackamas County ,Reduced Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
374,Harney County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
375,Columbia County,Rural Reporter,Rural,0R02,Oregon Department of Transportation ,State Reporter
376,"Ride Connection, Inc.",Full Reporter,Urban,0R02,Oregon Department of Transportation ,State Reporter
