State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Operating Expense Type,Operators' Salaries and Wages,Operators' Paid Absences,Other Salaries and Wages,Other Paid Absences,Fringe Benefits,Service Costs,Fuel and Lubricants,Tires and Tubes,Other Materials and Supplies,Utilities,Casualty and Liability Costs,Taxes,PT Funds In Report,PT Funds Reported Separately,Miscellaneous Expenses,Reduced Reporting Waiver - Total OE,Total Operating Expenses,Total Operating Expenses (No Funds Reported Separately),ADA Related Expenses
,1,King County,Full Reporter,Urban,CB,PT,Facility Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,1947331.0,0.0,,1947331,0,
,1,King County,Full Reporter,Urban,CB,PT,General Administration,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,9157562.0,0.0,,9157562,0,
,1,King County,Full Reporter,Urban,CB,PT,Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57079186.0,0.0,0.0,57079186,0,
,1,King County,Full Reporter,Urban,CB,PT,Vehicle Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,12729609.0,0.0,,12729609,0,
,1,King County,Full Reporter,Urban,CB,PT,Vehicle Operations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,33244684.0,0.0,,33244684,0,
,1,King County,Full Reporter,Urban,DR,PT,Facility Maintenance,0.0,0.0,0.0,0.0,0.0,291652.0,,,0.0,,,0.0,462152.0,,0.0,,753804,753804,
,1,King County,Full Reporter,Urban,DR,PT,General Administration,0.0,0.0,2731504.0,712355.0,1188365.0,3874733.0,,,761235.0,198137.0,156622.0,0.0,8302660.0,,21229.0,,17946840,17946840,
,1,King County,Full Reporter,Urban,DR,PT,Total,0.0,0.0,2735949.0,713644.0,1190954.0,4167395.0,3708627.0,465.0,836626.0,198137.0,156622.0,0.0,58365096.0,0.0,21488.0,0.0,72095003,72095003,65363053.0
,1,King County,Full Reporter,Urban,DR,PT,Vehicle Maintenance,0.0,0.0,4445.0,1289.0,2589.0,532.0,4456.0,465.0,75391.0,,,0.0,5742994.0,,259.0,,5832420,5832420,
,1,King County,Full Reporter,Urban,DR,PT,Vehicle Operations,0.0,0.0,0.0,0.0,0.0,478.0,3704171.0,0.0,0.0,0.0,,0.0,43857290.0,,0.0,,47561939,47561939,
,1,King County,Full Reporter,Urban,DR,TX,Facility Maintenance,0.0,0.0,0.0,0.0,0.0,20142.0,,,0.0,,,0.0,35924.0,,0.0,,56066,56066,
,1,King County,Full Reporter,Urban,DR,TX,General Administration,0.0,0.0,189420.0,51444.0,82847.0,267157.0,,,57117.0,14994.0,10831.0,0.0,682263.0,,1259.0,,1357332,1357332,
,1,King County,Full Reporter,Urban,DR,TX,Total,0.0,0.0,189728.0,51533.0,83026.0,287372.0,281036.0,32.0,57557.0,14994.0,10831.0,0.0,4681338.0,0.0,1277.0,0.0,5658724,5658724,5658724.0
,1,King County,Full Reporter,Urban,DR,TX,Vehicle Maintenance,0.0,0.0,308.0,89.0,179.0,37.0,308.0,32.0,440.0,,,0.0,491032.0,,18.0,,492443,492443,
