State NTD ID,NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Primary Mode Served,Secondary Modes Served,Reporting Module,Fleet ID,Agency Service Fleet ID,Service Fleet Name,Year of Manufacture,Vehicle Type,Number of Vehicles,Useful Life Benchmark,Percent Agency Capital Responsibility,Estimated Cost,Year Dollar of the Estimated Cost,Separate Asset Flag,Notes
,1,King County,Full Reporter,,,FB,,Urban,30534,E08353,MARINE VESSEL MAINTENANCE,2008,Trucks and other Rubber Tire Vehicles,1,8,100,30000.0,2008,N,"Rental, Marine"
,1,King County,Full Reporter,,,MB,,Urban,2304,EXA367,NRV 4,2007,Automobiles,1,8,100,24217.32,2007,N,
,1,King County,Full Reporter,,,MB,,Urban,2307,EXA377,NRV 7,2007,Automobiles,1,8,100,14521.68,2007,N,
,1,King County,Full Reporter,,,MB,,Urban,2321,EXA407,NRV 21,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County,Full Reporter,,,MB,,Urban,2323,EXA410,NRV 23,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County,Full Reporter,,,MB,,Urban,2324,EXA411,NRV 24,2008,Automobiles,1,8,100,24163.22,2008,N,
,1,King County,Full Reporter,,,MB,,Urban,2334,EXA462,NRV 34,2009,Automobiles,1,8,100,23600.0,2009,N,
,1,King County,Full Reporter,,,MB,,Urban,2346,EXA478,NRV 46,2011,Automobiles,1,4,100,26870.39,2011,N,
,1,King County,Full Reporter,,,MB,,Urban,2352,EXA485,NRV 52,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2353,EXA486,NRV 53,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2354,EXA487,NRV 54,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2355,EXA488,NRV 55,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2356,EXA489,NRV 56,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2357,EXA490,NRV 57,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2358,EXA491,NRV 58,2012,Automobiles,1,8,100,23659.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2359,EXA492,NRV 59,2011,Automobiles,1,8,100,15365.0,2011,N,
,1,King County,Full Reporter,,,MB,,Urban,2360,EXA493,NRV 60,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2361,EXA494,NRV 61,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2362,EXA495,NRV 62,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2364,EXA497,NRV 64,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2365,EXA498,NRV 65,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2366,EXA499,NRV 66,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2367,EXA500,NRV 67,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2369,EXA502,NRV 69,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2370,EXA503,NRV 70,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2372,EXA505,NRV 72,2012,Automobiles,1,8,100,15511.0,2012,N,
,1,King County,Full Reporter,,,MB,,Urban,2374,EXA508,NRV 74,2013,Automobiles,1,8,100,27339.57,2013,N,
,1,King County,Full Reporter,,,MB,,Urban,2375,EXA509,NRV 75,2013,Automobiles,1,8,100,27339.57,2013,N,
,1,King County,Full Reporter,,,MB,,Urban,2377,EXA511,NRV 77,2013,Automobiles,1,10,100,18050.36,2013,N,
,1,King County,Full Reporter,,,MB,,Urban,2379,EXA513,NRV 79,2013,Automobiles,1,10,100,18050.36,2013,N,
,1,King County,Full Reporter,,,MB,,Urban,2381,EXA515,NRV 81,2014,Automobiles,1,10,100,15990.5,2014,N,
,1,King County,Full Reporter,,,MB,,Urban,2382,EXA516,NRV 82,2014,Automobiles,1,10,100,15990.5,2014,N,
,1,King County,Full Reporter,,,MB,,Urban,2383,EXA517,NRV 83,2014,Automobiles,1,10,100,15990.5,2014,N,
,1,King County,Full Reporter,,,MB,,Urban,2384,EXA518,NRV 84,2014,Automobiles,1,10,100,15990.5,2014,N,
,1,King County,Full Reporter,,,MB,,Urban,2386,EXA520,NRV 86,2014,Automobiles,1,10,100,15990.5,2014,N,
,1,King County,Full Reporter,,,MB,,Urban,2387,EXA521,NRV 87,2014,Automobiles,1,10,100,15990.5,2014,N,
