State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends, Vehicles/Passenger Cars Operated in Maximum Service , Vehicles/Passenger Cars Available for Maximum Service , Trains in Operation , Vehicles/Passenger Cars in Operation , Actual Vehicles/Passenger Car Miles , Actual Vehicles/Passenger Car Revenue Miles , Actual Vehicle/Passenger Deadhead Miles , Scheduled Actual Vehicle/Passenger Car Revenue Miles , Actual Vehicle/Passenger Car Hours , Actual Vehicle/Passenger Car Revenue Hours , Actual Vehicle/Passenger Car Deadhead Hours , Charter Service Hours , School Bus Hours , Train Miles , Train Revenue Miles , Train Deadhead Miles , Train Hours , Train Revenue Hours , Train Deadhead Hours , Unlinked Passenger Trips (UPT) , ADA UPT , Sponsored Service UPT , Passenger Miles , Days of Service Operated , Days Not Operated Due to Strikes , Strike Comment , Days Not Operated Due to Emergencies , Emergency Comment ,DRM Transit Exclusive and Shared Use ROW, DRM Mixed Traffic ROW , Non-Statutory Mixed Traffic 
,1,King County,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Average Typical Weekday,00:00:00,00:00:00,,,,307,28649,22272,6377,,2336,1785,551,,,,,,,,,2874,,,21454,254, -   ,, -   ,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Average Typical Saturday,00:00:00,00:00:00,,,,185,15763,10590,5173,,1368,1036,332,,,,,,,,,1627,,,10033,52, -   ,, -   ,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Average Typical Sunday,00:00:00,00:00:00,,,,155,12347,8524,3823,,1019,761,258,,,,,,,,,1256,,,8469,59, -   ,, -   ,,,,
,1,King County,Full Reporter,,Urban,DR,PT,Annual Total,,,317,389,,,8825073,6710756,2114317,,724517,552077,172440, -   , -   ,,,,,,,888663,626887, -   ,6470644,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,DR,TX,Annual Total,,,81,81,,,,1377744,,,,59116,,,,,,,,,,121496,121496, -   ,1509526,365, -   ,, -   ,,,,
,1,King County,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,05:30:00,09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,09:15:00,15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,15:15:00,19:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
