NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Full Time Operator (Vehicle Operations) Hours Worked,Full Time Non-Operator (Vehicle Operations) Hours Worked,Total Full Time (Vehicle Operations) Hours Worked,Full Time Operator (Vehicle Maintenance) Hours Worked,Full Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Full Time (Vehicle Maintenance) Hours Worked,Full Time Operator (Facility Maintenance) Hours Worked,Full Time Non-Operator (Facility Maintenance) Hours Worked,Total Full Time (Facility Maintenance) Hours Worked,Full Time Operator (General Administration) Hours Worked,Full Time Non-Operator (General Administration) Hours Worked,Total Full Time (General Administration) Hours Worked,Total Full Time Operator (Operating Labor) Hours Worked,Total Full Time Non-Operator (Operating Labor) Hours Worked,Total Full Time (Operating Labor) Hours Worked,Full Time Operator (Capital Labor) Hours Worked,Full Time Non-Operator (Capital Labor) Hours Worked,Total Full Time (Capital Labor) Hours Worked,Total Full Time Operator Hours Worked,Total Full Time Non-Operator Hours Worked,Total Full Time Hours Worked,Full Time Operator (Vehicle Operations) Employee Count,Full Time Non-Operator (Vehicle Operations) Employee Count,Total Full Time (Vehicle Operations) Employee Count,Full Time Operator (Vehicle Maintenance) Employee Count,Full Time Non-Operator (Vehicle Maintenance) Employee Count,Total Full Time (Vehicle Maintenance) Employee Count,Full Time Operator (Facility Maintenance) Employee Count,Full Time Non-Operator (Facility Maintenance) Employee Count,Total Full Time (Facility Maintenance) Employee Count,Full Time Operator (General Administration) Employee Count,Full Time Non-Operator (General Administration) Employee Count,Total Full Time (General Administration) Employee Count,Total Full Time Operator (Operations) Employee Count,Total Full Time Non-Operator (Operations) Employee Count,Total Full Time (Operations) Employee Count,Full Time Operator (Capital Labor) Employee Count,Full Time Non-Operator (Capital Labor) Employee Count,Total Full Time (Capital Labor) Employee Count,Total Full Time Operator Employee Count,Total Full Time Non-Operator Employee Count,Total Full Time Employee Count,Part Time Operator (Vehicle Operations) Hours Worked,Part Time Non-Operator (Vehicle Operations) Hours Worked,Total Part Time (Vehicle Operations) Hours Worked,Part Time Operator (Vehicle Maintenance) Hours Worked,Part Time Non-Operator (Vehicle Maintenance) Hours Worked,Total Part Time (Vehicle Maintenance) Hours Worked,Part Time Operator (Facility Maintenance) Hours Worked,Part Time Non-Operator (Facility Maintenance) Hours Worked,Total Part Time (Facility Maintenance) Hours Worked,Part Time Operator (General Administration) Hours Worked,Part Time Non-Operator (General Administration) Hours Worked,Total Part Time (General Administration) Hours Worked,Total Part Time Operator (Operating Labor) Hours Worked,Total Part Time Non-Operator (Operating Labor) Hours Worked,Total Part Time (Operating Labor) Hours Worked,Part Time Operator (Capital Labor) Hours Worked,Part Time Non-Operator (Capital Labor) Hours Worked,Total Part Time (Capital Labor) Hours Worked,Total Part Time Operator Hours Worked,Total Part Time Non-Operator Hours Worked,Total Part Time Hours Worked,Part Time Operator (Vehicle Operations) Employee Count,Part Time Non-Operator (Vehicle Operations) Employee Count,Total Part Time (Vehicle Operations) Employee Count,Part Time Operator (Vehicle Maintenance) Employee Count,Part Time Non-Operator (Vehicle Maintenance) Employee Count,Total Part Time (Vehicle Maintenance) Employee Count,Part Time Operator (Facility Maintenance) Employee Count,Part Time Non-Operator (Facility Maintenance) Employee Count,Total Part Time (Facility Maintenance) Employee Count,Part Time Operator (General Administration) Employee Count,Part Time Non-Operator (General Administration) Employee Count,Total Part Time (General Administration) Employee Count,Total Part Time Operator (Operations) Employee Count,Total Part Time Non-Operator (Operations) Employee Count,Total Part Time (Operations) Employee Count,Part Time Operator (Capital Labor) Employee Count,Part Time Non-Operator (Capital Labor) Employee Count,Total Part Time (Capital Labor) Employee Count,Total Part Time Operator Employee Count,Total Part Time Non-Operator Employee Count,Total Part Time Employee Count
1,King County,Full Reporter,Urban,FB,DO,23647,9129,32776,0,9236,9236,0,444,444,0,12972,12972,23647,31781,55428,0,12,12,23647,31793,55440,15.0,7.06,22.06,0.0,5.09,5.09,0.0,0.26,0.26,0.0,8.84,8.84,15.0,21.25,36.25,0.0,0.02,0.02,15.0,21.27,36.27,1715,471,2186,0,485,485,0,0,0,0,18,18,1715,974,2689,0,0,0,1715,974,2689,5.0,2.0,7.0,0.0,3.01,3.01,0.0,0.0,0.0,0.0,0.08,0.08,5.0,5.09,10.09,0,0.0,0.0,5.0,5.09,10.09
1,King County,Full Reporter,Urban,MB,DO,3310376,478312,3788688,0,1128388,1128388,0,392514,392514,0,465954,465954,3310376,2465168,5775544,0,179254,179254,3310376,2644422,5954798,1553.4,258.54,1811.94,0.0,645.98,645.98,0.0,226.12,226.12,0.0,286.38,286.38,1553.4,1417.02,2970.42,0.0,102.43,102.43,1553.4,1519.45,3072.85,471155,0,471155,0,3834,3834,0,938,938,0,10179,10179,471155,14951,486106,0,1447,1447,471155,16398,487553,383.22,0.0,383.22,0.0,4.05,4.05,0.0,0.56,0.56,0.0,12.33,12.33,383.22,16.94,400.16,0,1.09,1.09,383.22,18.03,401.25
1,King County,Full Reporter,Urban,SR,DO,60940,20688,81628,0,20369,20369,0,13910,13910,0,17192,17192,60940,72159,133099,0,41,41,60940,72200,133140,32.0,10.42,42.42,0.0,9.14,9.14,0.0,8.07,8.07,0.0,10.16,10.16,32.0,37.79,69.79,0.0,0.02,0.02,32.0,37.81,69.81,0,0,0,0,9,9,0,0,0,0,667,667,0,676,676,0,0,0,0,676,676,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,1.13,1.13,0.0,1.14,1.14,0,0.0,0.0,0.0,1.14,1.14
1,King County,Full Reporter,Urban,TB,DO,443710,64106,507816,0,97408,97408,0,108816,108816,0,61766,61766,443710,332096,775806,0,29298,29298,443710,361394,805104,208.21,34.65,242.86,0.0,55.79,55.79,0.0,56.56,56.56,0.0,37.95,37.95,208.21,184.95,393.16,0.0,16.74,16.74,208.21,201.69,409.9,63152,0,63152,0,349,349,0,126,126,0,1352,1352,63152,1827,64979,0,194,194,63152,2021,65173,51.37,0.0,51.37,0.0,0.38,0.38,0.0,0.07,0.07,0.0,1.61,1.61,51.37,2.06,53.43,0,0.15,0.15,51.37,2.21,53.58
1,King County,Full Reporter,Urban,VP,DO,0,0,0,0,99,99,0,801,801,0,51540,51540,0,52440,52440,0,1720,1720,0,54160,54160,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.46,0.46,0.0,30.52,30.52,0.0,31.04,31.04,0.0,0.98,0.98,0.0,32.02,32.02,0,0,0,0,4,4,0,0,0,0,10,10,0,14,14,0,0,0,0,14,14,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.07,0.07,0,0.0,0.0,0.0,0.07,0.07
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,107867,51120,158987,0,23129,23129,0,0,0,0,21015,21015,107867,95264,203131,0,1658,1658,107867,96922,204789,71.0,29.0,100.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,14.17,14.17,71.0,56.17,127.17,0.0,0.94,0.94,71.0,57.11,128.11,0,0,0,0,0,0,0,0,0,0,262,262,0,262,262,0,0,0,0,262,262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.39,0.39,0,0.0,0.0,0.0,0.39,0.39
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,625955,98498,724453,0,149655,149655,0,62739,62739,0,141086,141086,625955,451978,1077933,0,6731,6731,625955,458709,1084664,372.0,59.0,431.0,0.0,104.0,104.0,0.0,39.0,39.0,0.0,91.51,91.51,372.0,293.51,665.51,0.0,3.82,3.82,372.0,297.33,669.33,25044,0,25044,0,0,0,0,0,0,0,1065,1065,25044,1065,26109,0,0,0,25044,1065,26109,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,1.59,24.0,1.59,25.59,0,0.0,0.0,24.0,1.59,25.59
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,0,0,0,0,0,0,0,0,0,0,2571,2571,0,2571,2571,0,62,62,0,2633,2633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,1.53,0.0,1.53,1.53,0.0,0.04,0.04,0.0,1.57,1.57,0,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,0,0,0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0,0.0,0.0,0.0,0.01,0.01
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,28145,4489,32634,0,777,777,0,180,180,0,9228,9228,28145,14674,42819,0,0,0,28145,14674,42819,15.0,2.44,17.44,0.0,0.46,0.46,0.0,0.12,0.12,0.0,5.43,5.43,15.0,8.45,23.45,0.0,0.0,0.0,15.0,8.45,23.45,0,0,0,0,0,0,0,0,0,0,60,60,0,60,60,0,0,0,0,60,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.0,0.29,0.29,0,0.0,0.0,0.0,0.29,0.29
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,537080,130374,667454,0,89592,89592,0,31905,31905,0,133336,133336,537080,385207,922287,0,0,0,537080,385207,922287,286.34,59.13,345.47,0.0,49.25,49.25,0.0,20.12,20.12,0.0,84.79,84.79,286.34,213.29,499.63,0.0,0.0,0.0,286.34,213.29,499.63,0,0,0,0,0,0,0,0,0,0,1066,1066,0,1066,1066,0,0,0,0,1066,1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,0,10090,10090,0,9268,9268,0,1703,1703,0,6495,6495,0,27556,27556,0,0,0,0,27556,27556,0.0,5.08,5.08,0.0,5.46,5.46,0.0,1.11,1.11,0.0,4.08,4.08,0.0,15.73,15.73,0.0,0.0,0.0,0.0,15.73,15.73,0,0,0,0,0,0,0,0,0,0,18,18,0,18,18,0,0,0,0,18,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0,0.0,0.0,0.0,0.01,0.01
