NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTD ID,Group Plan Sponsor Name,Reporting Module,Mode,TOS,ADA Accessible Stations,Non-ADA Accessible Stations,Total Stations,Escalators,Elevators
1,King County,Full Reporter: Operating,,,Urban,FB,DO,1,2,3,0,0
1,King County,Full Reporter: Operating,,,Urban,MB,DO,16,0,16,0,13
1,King County,Full Reporter: Operating,,,Urban,MB,PT,0,0,0,0,0
1,King County,Full Reporter: Operating,,,Urban,SR,DO,25,0,25,0,0
1,King County,Full Reporter: Operating,,,Urban,TB,DO,0,0,0,0,0
2,Spokane Transit Authority,Full Reporter: Operating,,,Urban,MB,DO,1,0,1,1,2
3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,,,Urban,MB,DO,8,0,8,0,5
4,Confederated Tribes of the Colville Indian Reservation,Small Systems Reporter,,,Tribe,FB,DO,0,2,2,0,0
4,Confederated Tribes of the Colville Indian Reservation,Small Systems Reporter,,,Tribe,MB,DO,0,0,0,0,0
5,City of Everett,Full Reporter: Operating,,,Urban,MB,DO,3,0,3,0,0
6,City of Yakima,Full Reporter: Operating,,,Urban,CB,PT,0,0,0,0,0
6,City of Yakima,Full Reporter: Operating,,,Urban,MB,DO,1,0,1,0,0
7,Lane Transit District,Full Reporter: Operating,0R02,Oregon Department of Transportation ,Urban,MB,DO,3,0,3,0,0
7,Lane Transit District,Full Reporter: Operating,0R02,Oregon Department of Transportation ,Urban,MB,PT,0,0,0,0,0
7,Lane Transit District,Full Reporter: Operating,0R02,Oregon Department of Transportation ,Urban,RB,DO,2,0,2,0,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,,,Urban,LR,DO,95,0,95,0,16
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,,,Urban,MB,DO,3,0,3,0,0
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,,,Urban,YR,PT,5,0,5,0,0
9,Kalispel Tribe of Indians,Small Systems Reporter,,,Tribe,MB,DO,0,0,0,0,0
10,Klamath Tribes,Small Systems Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,0,0,0,0,0
11,Valley Regional Transit,Full Reporter: Operating,A0004,Valley Regional Transit,Urban,MB,PT,1,0,1,0,1
