NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Major Failures,Other Failures,Total Failures
1,King County,Full Reporter,Urban,DR,PT,428,461,889
1,King County,Full Reporter,Urban,MB,DO,6630,5143,11773
1,King County,Full Reporter,Urban,MB,PT,41,31,72
1,King County,Full Reporter,Urban,TB,DO,1210,1052,2262
1,King County,Full Reporter,Urban,VP,DO,18,0,18
1,King County,Full Reporter,Urban,SR,DO,35,23,58
1,King County,Full Reporter,Urban,FB,DO,6,5,11
2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,11,7,18
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,4,71,75
2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,584,624,1208
2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,4,8,12
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,5,0,5
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,55,17,72
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,530,184,714
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,10,0,10
5,City of Everett,Full Reporter,Urban,DR,DO,9,3,12
5,City of Everett,Full Reporter,Urban,MB,DO,182,49,231
6,City of Yakima,Full Reporter,Urban,DR,PT,48,30,78
6,City of Yakima,Full Reporter,Urban,MB,DO,51,69,120
6,City of Yakima,Full Reporter,Urban,CB,PT,3,2,5
7,Lane Transit District,Full Reporter,Urban,DR,PT,5,22,27
7,Lane Transit District,Full Reporter,Urban,MB,DO,149,127,276
7,Lane Transit District,Full Reporter,Urban,MB,PT,9,3,12
7,Lane Transit District,Full Reporter,Urban,VP,PT,0,0,0
7,Lane Transit District,Full Reporter,Urban,RB,DO,123,82,205
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,99,908,1007
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,223,17,240
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,2202,712,2914
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,1,0,1
11,Valley Regional Transit,Full Reporter,Urban,MB,PT,133,19,152
11,Valley Regional Transit,Full Reporter,Urban,DR,PT,11,3,14
11,Valley Regional Transit,Full Reporter,Urban,DR,DO,0,0,0
12,Municipality of Anchorage,Full Reporter,Urban,DR,PT,10,26,36
12,Municipality of Anchorage,Full Reporter,Urban,MB,DO,289,242,531
12,Municipality of Anchorage,Full Reporter,Urban,VP,PT,0,0,0
16,City of Longview,Full Reporter,Urban,DR,PT,9,3,12
16,City of Longview,Full Reporter,Urban,MB,DO,16,20,36
16,City of Longview,Full Reporter,Urban,CB,DO,0,0,0
18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,98,30,128
18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,4,0,4
18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,287,48,335
