State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Capital Type,Guideway,Passenger Stations,Administrative Buildings,Maintenance Buildings,Revenue Vehicles,Service Vehicles,Fare Revenue Collection Equipment,Communication Information Systems,Other,Total Capital Funds
,1,King County,Full Reporter,Urban,CB,PT,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,CB,PT,Uses of Capital - Existing Section,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,DR,PT,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,DR,PT,Uses of Capital - Existing Section,0,0,0,0,1894350,0,0,0,0,1894350
,1,King County,Full Reporter,Urban,DR,TX,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,DR,TX,Uses of Capital - Existing Section,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,FB,DO,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,FB,DO,Uses of Capital - Existing Section,0,624234,0,0,478439,0,0,0,0,1102673
,1,King County,Full Reporter,Urban,LR,PT,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,LR,PT,Uses of Capital - Existing Section,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,MB,DO,Uses of Capital - Expansion of Service,0,0,184721,15906083,0,5120,0,0,22466409,38562333
,1,King County,Full Reporter,Urban,MB,DO,Uses of Capital - Existing Section,1634504,0,563945,38980193,12290916,4534448,0,20830162,27971760,106805928
,1,King County,Full Reporter,Urban,MB,PT,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,MB,PT,Uses of Capital - Existing Section,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,SR,DO,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,SR,DO,Uses of Capital - Existing Section,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,TB,DO,Uses of Capital - Expansion of Service,151764,0,0,0,0,0,0,0,0,151764
,1,King County,Full Reporter,Urban,TB,DO,Uses of Capital - Existing Section,6139124,0,0,0,0,0,0,0,0,6139124
,1,King County,Full Reporter,Urban,VP,DO,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,1,King County,Full Reporter,Urban,VP,DO,Uses of Capital - Existing Section,0,0,0,0,157561,0,0,0,0,157561
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Expansion of Service,0,0,0,0,0,0,0,0,0,0
,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Uses of Capital - Existing Section,0,0,0,0,3813896,0,0,0,0,3813896
