NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Contractee NTD ID,Contractee Operator Name,Reporter Contractual Position,Type of Contract,Primary Feature,Buyer Supplies Vehicles to Seller,Buyer Provides Maintenance Facility to Seller,Other Public Assets Provided,Other Public Assets Provided Desc,Service Captured,Other Party,Fares Retained by,VOMS Under Contract,Months Seller Operated in FY,PT Fare Revenues/Passenger Fees,Passenger Out of Pocket Expenses,Direct Payment/Agency Subsidy,Contract Capital Leasing Expenses,Other Operating Expenses Incurred by the Buyer,Total Modal Expenses,Other Reconciling Item Expenses Incurred by the Buyer
1,King County,Full Reporter,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,143,12,7352284,0,57079186,0,0,64431470,0
1,King County,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Via,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,Y,Storage facility (parking lot).,In This Report,,Seller,31,10,47614,0,5891419,61849,854765,6855647,0
1,King County,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,MV Transport,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,,,In This Report,,Seller,286,12,769278,0,53776022,2057388,12875141,69477829,0
1,King County,Full Reporter,Urban,DR,TX,Entity that Does Not Report to NTD,MV Transportation,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,N,N,N,,In This Report,,Seller,81,12,105605,0,4731914,156182,977387,5971088,0
1,King County,Full Reporter,Urban,LR,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,Y,N,,In Another Report,Is a Public Entity,Buyer,76,12,32701665,0,113223018,0,0,145924683,0
1,King County,Full Reporter,Urban,MB,PT,Entity that Does Not Report to NTD,Hopelink,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Seller,58,12,341550,0,12245369,410431,3330668,16328018,0
2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,36,12,59370,0,6278186,78444,796072,7212072,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,40,Central Puget Sound Regional Transit Authority,The Reporter is the Seller,Negotiated Contract or Agreement,"The Buyer Reimburses the Seller's Net Operating Expenses, Based on Approved Budget",Y,N,N,,In Another Report,Is a Public Entity,Buyer,60,12,4586799,0,51777942,0,0,56364741,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,First Transit,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,Y,N,,In This Report,,Buyer,58,12,321707,0,9590123,211885,4528316,14652031,0
3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Entity that Does Not Report to NTD,Via Transportation Inc ,The Reporter is the Buyer,Competitively-Bid Contract,The Buyer Pays the Seller a Negotiated Fixed Rate Per Unit of Service,Y,N,N,,In This Report,,Buyer,2,2,460,0,211799,9420,97719,319398,0
