State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,TAM Sponsor NTD ID,TAM Sponsor Name,Reporting Module,Mode,TOS,Facility Ownership,Less Than 200 Vehicles,Between 200 and 300 Vehicles,Greater than 300 Vehicles,Heavy Maintenance Facilities,Total Maintenance Facilities
,1,King County,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,3.0,,,,3.0
,1,King County,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,1.0,,,,1.0
,1,King County,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,1,King County,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,1,King County,Full Reporter,,,Urban,FB,DO,Leased from a Private Entity,,,,,0.0
,1,King County,Full Reporter,,,Urban,FB,DO,Leased from Another Public Agency,,,,,0.0
,1,King County,Full Reporter,,,Urban,FB,DO,Owned,1.0,,,,1.0
,1,King County,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,1,King County,Full Reporter,,,Urban,MB,DO,Owned,3.0,3.4,,1.0,7.4
,1,King County,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,1,King County,Full Reporter,,,Urban,MB,PT,Facilities Leased by Service Provider,1.0,,,,1.0
,1,King County,Full Reporter,,,Urban,MB,PT,Facilities Owned by Public Agency,,,,,0.0
,1,King County,Full Reporter,,,Urban,MB,PT,Facilities Owned by Service Provider,,,,,0.0
,1,King County,Full Reporter,,,Urban,MB,PT,Facilities Leased by Public Agency,,,,,0.0
,1,King County,Full Reporter,,,Urban,SR,DO,Leased from Another Public Agency,2.0,,,,2.0
,1,King County,Full Reporter,,,Urban,SR,DO,Owned,,,,,0.0
,1,King County,Full Reporter,,,Urban,SR,DO,Leased from a Private Entity,,,,,0.0
,1,King County,Full Reporter,,,Urban,TB,DO,Owned,,0.6,,,0.6
,1,King County,Full Reporter,,,Urban,TB,DO,Leased from a Private Entity,,,,,0.0
,1,King County,Full Reporter,,,Urban,TB,DO,Leased from Another Public Agency,,,,,0.0
,1,King County,Full Reporter,,,Urban,VP,DO,Owned,,,,,0.0
,1,King County,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,1,King County,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,DO,Owned,0.45,,,,0.45
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,1.0,,,,1.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,MB,DO,Owned,2.0,,,,2.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,2,Spokane Transit Authority,Full Reporter,,,Urban,VP,DO,Owned,0.55,,,,0.55
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,DO,Owned,,,0.1,,0.1
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,1.0,,,,1.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,MB,DO,Owned,,,0.8,,0.8
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Leased from Another Public Agency,,,,,0.0
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Owned,,,0.1,,0.1
,3,Pierce County Transportation Benefit Area Authority,Full Reporter,,,Urban,VP,DO,Leased from a Private Entity,,,,,0.0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,FB,DO,Owned,1.0,,,,1.0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,FB,DO,Leased from a Private Entity,,,,,0.0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,FB,DO,Leased from Another Public Agency,,,,,0.0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,MB,DO,Owned,,,,,0.0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,MB,DO,Leased from a Private Entity,,,,,0.0
,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,,,Tribe,MB,DO,Leased from Another Public Agency,,,,,0.0
,5,City of Everett,Full Reporter,,,Urban,DR,DO,Leased from a Private Entity,,,,,0.0
,5,City of Everett,Full Reporter,,,Urban,DR,DO,Leased from Another Public Agency,,,,,0.0
,5,City of Everett,Full Reporter,,,Urban,DR,DO,Owned,0.1,,,,0.1
,5,City of Everett,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,5,City of Everett,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,5,City of Everett,Full Reporter,,,Urban,MB,DO,Owned,0.9,,,,0.9
,6,City of Yakima,Full Reporter,,,Urban,CB,PT,Facilities Leased by Public Agency,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,CB,PT,Facilities Leased by Service Provider,1.0,,,,1.0
,6,City of Yakima,Full Reporter,,,Urban,CB,PT,Facilities Owned by Public Agency,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,CB,PT,Facilities Owned by Service Provider,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,1.0,,,,1.0
,6,City of Yakima,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,6,City of Yakima,Full Reporter,,,Urban,MB,DO,Owned,1.0,,,,1.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,DR,PT,Facilities Owned by Public Agency,1.0,,,,1.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,DO,Owned,0.8,,,,0.8
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,Facilities Leased by Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,Facilities Leased by Service Provider,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,Facilities Owned by Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,MB,PT,Facilities Owned by Service Provider,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,RB,DO,Leased from a Private Entity,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,RB,DO,Leased from Another Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,RB,DO,Owned,0.2,,,,0.2
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,VP,PT,Facilities Leased by Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,VP,PT,Facilities Leased by Service Provider,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,VP,PT,Facilities Owned by Public Agency,,,,,0.0
,7,Lane Transit District,Full Reporter,0R02,Oregon Department of Transportation ,Urban,VP,PT,Facilities Owned by Service Provider,,,,,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,3.0,,,,3.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,Leased from a Private Entity,0.0,0.0,0.0,0.0,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,Leased from Another Public Agency,0.0,0.0,0.0,0.0,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,LR,DO,Owned,2.0,0.0,0.0,0.0,2.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,0.0,0.0,0.0,0.0,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,Owned,0.0,3.0,0.0,0.0,3.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,0.0,0.0,0.0,0.0,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,Facilities Leased by Service Provider,,,,,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,Facilities Owned by Public Agency,1.0,,,,1.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,Facilities Owned by Service Provider,,,,,0.0
,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,,,Urban,YR,PT,Facilities Leased by Public Agency,,,,,0.0
,9,Kalispel Tribe of Indians,Reduced Reporter,,,Tribe,MB,DO,Leased from Another Public Agency,,,,,0.0
,9,Kalispel Tribe of Indians,Reduced Reporter,,,Tribe,MB,DO,Owned,1.0,,,,1.0
,9,Kalispel Tribe of Indians,Reduced Reporter,,,Tribe,MB,DO,Leased from a Private Entity,,,,,0.0
,10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,Owned,0.0,0.0,0.0,0.0,0.0
,10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,Leased from a Private Entity,0.0,0.0,0.0,0.0,0.0
,10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,CB,DO,Leased from Another Public Agency,0.0,0.0,0.0,0.0,0.0
,10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,DR,DO,Owned,0.0,0.0,0.0,0.0,0.0
,10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,DR,DO,Leased from a Private Entity,0.0,0.0,0.0,0.0,0.0
,10,Klamath Tribes,Reduced Reporter,0R02,Oregon Department of Transportation ,Tribe,DR,DO,Leased from Another Public Agency,0.0,0.0,0.0,0.0,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,DO,Leased from a Private Entity,0.0,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,DO,Leased from Another Public Agency,0.0,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,DO,Owned,0.0,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,PT,Facilities Leased by Public Agency,0.25,,,,0.25
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,DR,PT,Facilities Owned by Public Agency,0.12,,,,0.12
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,MB,PT,Facilities Owned by Service Provider,,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,MB,PT,Facilities Leased by Public Agency,0.75,,,,0.75
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,MB,PT,Facilities Leased by Service Provider,,,,,0.0
,11,Valley Regional Transit,Full Reporter,A0004,Valley Regional Transit,Urban,MB,PT,Facilities Owned by Public Agency,0.88,,,,0.88
,12,Municipality of Anchorage,Full Reporter,,,Urban,DR,PT,Facilities Owned by Public Agency,1.0,,,,1.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,DR,PT,Facilities Owned by Service Provider,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,DR,PT,Facilities Leased by Public Agency,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,DR,PT,Facilities Leased by Service Provider,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,MB,DO,Owned,1.0,,,,1.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,MB,DO,Leased from a Private Entity,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,MB,DO,Leased from Another Public Agency,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,VP,PT,Facilities Owned by Public Agency,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,VP,PT,Facilities Owned by Service Provider,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,VP,PT,Facilities Leased by Public Agency,,,,,0.0
,12,Municipality of Anchorage,Full Reporter,,,Urban,VP,PT,Facilities Leased by Service Provider,,,,,0.0
,14,Sitka Tribe of Alaska,Reduced Reporter,0R04,Alaska Department of Transportation,Tribe,MB,DO,Owned,0.0,0.0,0.0,0.0,0.0
