NTD ID,Agency Name,Reporter Type,Reporting Module,CA: Cash and Cash Equivalents,CA: Accounts Receivable,CA: Inventory,CA: Prepaid Expenses,CA: Current Investments and Current Portions of Long-Term Investments,CA: Other Current Assets,Total Current Assets,NCA: Capital Assets,NCA: Intangible Assets,NCA: Capital Leases Receivables,NCA: Special Funds,NCA: Work in Progress,NCA: Investments,NCA: Other Noncurrent Assets,Total Noncurrent Assets,Total Assets,Deferred Outflows of Resources,CL: Current Accounts Payable,CL: Short-Term Debt and Current Portions of Long-Term Debt,CL: Accrued Liabilities,CL: Other Current Liabilities,Total Current Liabilities,NCL: Long-Term Debt,NCL: Noncurrent Accounts Payable,NCL: Capital Lease Obligations,NCL: Long-Term Pension Liabilities,NCL: Estimated Liabilities,NCL: Other Noncurrent Liabilities,Total Noncurrent Liabilities,Total Liabilities,Deferred Inflows of Resources,Net Position
2,Spokane Transit Authority,Full Reporter: Operating,Urban,243221697,35180559,2080329,848305,0,0,281330890,201664419,7275425,0,0,11737892,0,14714354,235392090,516722980,16611545,9046292,0,9116192,1630646,19793130,0,0,841297,11540708,0,0,12382005,32175135,13447205,487712185
3,Pierce County Transportation Benefit Area Authority,Full Reporter: Operating,Urban,1776139,110116,5338141,1295973,10611928,33322008,52454305,147619300,0,0,91078764,66778458,130501523,20129411,456107456,508561761,18304037,4518030,0,0,4800695,9318725,0,0,4706506,9460689,8816420,0,22983615,32302340,12279496,482283962
7,Lane Transit District,Full Reporter: Operating,Urban,80488996,29843306,1787845,804991,0,0,112925138,152519454,0,0,0,0,0,0,152519454,265444592,9769236,2670636,0,4196318,19376903,26243857,0,0,0,31623961,0,0,31623961,57867818,4119807,213226203
8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter: Operating,Urban,221682019,66273268,67105750,8746194,449191723,127924649,940923603,2432560754,0,53634433,36366698,720660701,165227170,3980557,3412430313,4353353916,192944688,60929997,31545000,52082452,80245632,224803081,1008081301,2503220,0,844898457,27454041,37304598,1920241617,2145044698,406604117,1994649789
11,Valley Regional Transit,Full Reporter: Operating,Urban,1348543,3430001,575238,310070,0,0,5663852,35998097,0,0,0,5450154,0,0,41448251,47112103,918875,1683056,0,684235,328499,2695790,5320648,0,411007,2302087,0,0,8033742,10729532,0,37301446
18,Ben Franklin Transit,Full Reporter: Operating,Urban,66292231,39899764,740976,526620,0,0,107459591,43573372,1097109,0,0,18304378,0,7986298,70961157,178420748,6026672,3472224,0,1543815,0,5016039,0,0,0,2968465,0,2355602,5324067,10340106,3766835,170340479
19,Intercity Transit,Full Reporter: Operating,Urban,217129709,34148551,1337514,1212528,0,0,253828302,117454600,4299189,0,0,10557109,0,9200806,141511704,395340006,10229576,2248005,0,2248705,995368,5492078,0,0,909265,13879676,0,3278922,18067863,23559941,9393509,372616132
20,Kitsap County Public Transportation Benefit Area Authority,Full Reporter: Operating,Urban,1262800,29402316,6759612,737543,125799847,0,163962118,136362436,268896,0,148221,58436439,0,7451572,202667564,366629682,8032115,3428201,3398884,3620806,0,10447891,26437156,0,0,4402697,0,0,30839853,41287744,10767814,322606239
21,Whatcom Transportation Authority,Full Reporter: Operating,Urban,57508477,10947689,1513917,336118,0,0,70306201,44721172,2496174,545739,0,1382627,0,7204214,56349926,126656127,5703277,828150,0,3768929,8333,4605412,0,0,1591080,3135036,0,1283330,6009446,10614858,4792306,116952240
24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,Urban,0,31192891,3840621,1856667,0,0,36890179,161754434,7478504,0,183352525,38890497,0,9822371,401298331,438188510,8707777,6092436,0,6047456,352741,12492633,0,0,0,4262409,707607,614994,5585010,18077643,5653335,423165309
25,Salem Area Mass Transit District,Full Reporter: Operating,Urban,11358805,14454314,826872,1197725,0,1829,27839545,43163706,0,0,0,9722334,49628896,0,102514936,130354481,7036187,1986269,0,4010604,6107208,12104081,0,0,0,7428998,0,0,7428998,19533079,3658225,114199364
29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,Urban,264369808,95004023,2317170,922928,0,0,362613929,252483640,9736860,0,1638088,73041041,192739113,21158426,550797168,913411097,21491710,11596922,1322361,10944892,3743915,27608090,4092395,0,0,21313459,2453174,0,27859028,55467118,17275900,862159789
34,Rogue Valley Transportation District,Full Reporter: Operating/Building,Urban,16153881,9179529,659426,330073,0,0,26322909,26712109,0,0,0,0,0,0,26712109,53035018,0,251335,61870,4826239,0,5139444,91109,0,0,0,0,0,91109,5230553,0,47804465
40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,Urban,763872176,572268456,45655893,16703425,1536334989,932543,2935767482,9460006519,867044612,343918632,326618841,8844480540,2344443402,21517380,22208029926,25143797408,4983148,307354357,77870000,75347047,187352801,647924205,3631647991,0,157035826,0,0,13485280,3802169097,4450093302,23251745,20675435509
43,Chelan Douglas PTBA ,Full Reporter: Operating,Urban,2470801,5894932,629627,131669,31777220,0,40904249,43779744,0,0,3415167,2735,0,0,47197646,88101895,2923161,1031202,0,1259169,0,2290371,0,0,0,1445609,0,73681,1519290,3809661,2085308,85130087
44,Skagit Transit,Full Reporter: Operating,Urban,26426607,6726331,783061,194736,0,0,34130735,25434209,259717,0,0,8023505,0,448527,34165958,68296693,0,361009,0,1416581,0,1777590,0,0,28149,0,0,482257,510406,2287996,0,66008697
10001,Rhode Island Public Transit Authority,Full Reporter: Operating,Urban,8612425,13364673,1844743,165133,2170764,0,26157738,119939375,0,0,5478219,43264358,5930688,2889052,177501692,203659430,50476307,6997945,810269,8691816,2215414,18715444,6381230,0,0,153771732,10955255,717256,171825473,190540917,33600587,29994233
10003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,Urban,654290098,254581078,71112138,21652991,357545350,409536346,1768718001,15739534289,0,144621158,0,0,0,700189551,16584344998,18353062999,804100727,416907319,406492162,236737751,0,1060137232,5593457687,0,99350211,3561552001,0,174223315,9428583214,10488720446,1065296346,7603146934
10004,Brockton Area Transit Authority,Full Reporter: Operating,Urban,2151709,8504311,0,0,0,87732,10743752,20123665,0,0,0,0,0,1594797,21718462,32462214,1565815,117406,0,3888166,1298285,5303857,6100000,0,0,1527842,0,1242384,8870226,14174083,687190,19166756
10005,Lowell Regional Transit Authority,Full Reporter: Operating,Urban,1807693,6027329,0,127769,0,267130,8229921,33299856,0,0,0,0,0,504966,33804822,42034743,0,1478509,6200000,208147,11733,7898389,0,0,0,1183327,0,331532,1514859,9413248,121864,32499631
10006,Southeastern Regional Transit Authority,Full Reporter: Operating,Urban,2035041,14655768,1110587,170725,0,0,17972121,25171255,0,469518,0,258643,0,0,25899416,43871537,8389757,6960944,6009460,436893,0,13407297,0,0,469518,11226288,937449,0,12633255,26040552,4845899,21374843
10007,Berkshire Regional Transit Authority,Full Reporter: Operating,Urban,827640,5289729,0,17070,0,713741,6848180,10993686,0,66640,0,0,0,0,11060326,17908506,393430,2563,5350000,226161,227175,5805899,0,0,0,720714,0,0,720714,6526613,239552,11535771
10008,Pioneer Valley Transit Authority,Full Reporter: Operating,Urban,1707382,20475090,0,208483,3594265,0,25985220,102204886,0,0,3927987,0,0,5276775,111409648,137394868,7880614,7957631,14500000,116778,3179923,25754332,0,0,0,44664426,0,5439297,50103723,75858055,8233692,61183735
10013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,Urban,1157434,12811099,0,172143,0,0,14140676,56235333,0,0,1086551,0,0,0,57321884,71462560,399114,3248423,10961144,72748,0,14282315,0,0,0,972984,0,944912,1917896,16200211,0,55661463
10014,Worcester Regional Transit Authority,Full Reporter: Operating,Urban,2308414,12119523,462563,137130,0,0,15027630,100370942,510592,0,0,0,0,0,100881534,115909164,4480858,1913592,11800000,358333,103308,14175233,0,0,0,16257143,7986476,0,24243619,38418852,727176,81243994
10016,Greater Portland Transit District,Full Reporter: Operating,Urban,3029361,1494206,409188,109868,0,0,5042623,17005178,0,0,0,62700,0,0,17067878,22110501,11242,332940,199150,428020,0,960110,2539411,0,0,800698,5000,457374,3802483,4762593,679697,16679453
