NTD ID,Agency Name,Reporter Type,Group Plan Sponsor NTDID,Group Plan Sponsor Name,Reporting Module,Mode,TOS,Element Type,Element Name,Element Count,Lane Miles,Track Miles,Pre 1940,1940's,1950's,1960's,1970's,1980's,1990's,2000's,2010's,2020's,Expected Service Years,Percent Agency Capital Responsibility,Allocation Units,Separate Asset Flag,Shared Capital Responsibility Other Party,Notes
1,King County,Full Reporter: Operating,,,Urban,MB,DO,Lane Miles,Controlled Access High Intensity Busway,,49.6,,,,,,,,,,,,,,,,,
1,King County,Full Reporter: Operating,,,Urban,MB,DO,Lane Miles,Exclusive Fixed Guideway,,19.6,,,,,,,,,,,,,,,,,
1,King County,Full Reporter: Operating,,,Urban,MB,DO,Lane Miles,Exclusive High-Intensity Busway,,145.1,,,,,,,,,,,,,,,,,
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Guideway,At-Grade/In-Street/Embedded,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,65.0,0.0,70.0,0.0,Percent,,,"King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Track,Track Under Performance Restriction,,,0.0,,,,,,,,,,,,,Track Miles,,,
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Power and Signal,Overhead Contact System/Power Distribution,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,0.0,Percent,,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Power and Signal,Substation Building,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,40.0,0.0,Quantity,,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Power and Signal,Substation Equipment,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,0.0,Percent,,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Power and Signal,Train Control & Signaling,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,40.0,0.0,Percent,,"City of Seattle, see notes","King County operates the Seattle Streetcar system under the terms of an inter-local agreement with the City of Seattle-accordingly, the County has no capital responsibility for Streetcar assets."
1,King County,Full Reporter: Operating,,,Urban,SR,DO,Track,Curve – Revenue Service,,,0.28,,,,,,,,,,,70.0,0.0,,,,
