UACE CD,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
1,Alabama Non-UZA,,5324637,316917,988689,811715,18349958,0.0,0,0,0,1894330,988689,6495410,0.0,0,0.0,0
2,Alaska Non-UZA,,3204488,177586,18891751,1486127,65868622,650.7,810611,18891751,41098158,806832,0,5462509,650.7,810611,0.0,0
4,Arizona Non-UZA,,7456854,329372,12380036,1395626,27115396,0.0,0,0,0,5454832,12380036,18316647,0.0,0,0.0,0
5,Arkansas Non-UZA,,11949810,578106,0,870649,38583103,0.0,0,0,0,4567257,0,20826018,0.0,0,0.0,0
6,California Non-UZA,,24880080,1415397,45615966,9699041,197608246,0.0,0,0,0,13267502,45615966,113262841,0.0,0,0.0,0
8,Colorado Non-UZA,,19478144,1287713,350241,19131738,139404794,0.0,0,0,0,531135,350241,2366852,0.0,0,0.0,0
9,Connecticut Non-UZA,,1991507,133075,3398611,1582957,11318974,0.0,0,0,0,1482829,3398611,9163746,0.0,0,0.0,0
10,Delaware Non-UZA,,3731179,215173,12840898,1069794,35601349,12.3,26820,4596741,8641103,3704359,8244157,26960246,0.0,0,0.0,0
12,Florida Non-UZA,,15097862,811106,18144305,4004197,73122501,0.0,0,0,0,6397463,18144305,41806260,0.0,0,0.0,0
13,Georgia Non-UZA,,11212919,650528,0,1080233,35721003,0.0,0,0,0,291905,0,1205874,0.0,0,0.0,0
15,Hawaii Non-UZA,,6496153,330338,3522619,2194280,48807355,0.0,0,0,0,573022,3522619,5521594,0.0,0,0.0,0
16,Idaho Non-UZA,,3707571,155827,2321969,1278816,14246558,0.0,0,0,0,2286145,2321969,7889067,0.0,0,0.0,0
17,Illinois Non-UZA,,18429505,992093,2015435,3720036,89090600,0.0,0,0,0,1561771,2015435,8766194,0.0,0,0.0,0
18,Indiana Non-UZA,,8171142,562560,158519,1358142,32956507,0.0,0,0,0,355250,158519,1291355,0.0,0,0.0,0
19,Iowa Non-UZA,,11921029,814215,700039,2925193,49482683,0.0,0,0,0,770581,700039,5699301,0.0,0,0.0,0
20,Kansas Non-UZA,,7018273,409192,0,1228644,24543094,0.0,0,0,0,522051,0,2487239,0.0,0,0.0,0
21,Kentucky Non-UZA,,23345731,1647767,1900642,1917113,79080360,0.0,0,0,0,1502437,1900642,5485391,0.0,0,0.0,0
22,Louisiana Non-UZA,,4745772,290222,0,407421,14754400,0.7,0,0,0,252546,0,1439683,0.7,0,0.0,0
23,Maine Non-UZA,,9150620,366556,4578945,1940234,60640615,31.8,197670,3938481,3625130,4766075,640464,21153038,31.8,197670,0.0,0
24,Maryland Non-UZA,,5468691,368776,5312821,2571881,29475251,0.0,0,0,0,3510500,5312821,15626644,0.0,0,0.0,0
25,Massachusetts Non-UZA,,4508858,263334,4316478,1931133,27716943,50.3,16249,682934,718658,2406752,3633544,10563941,35.8,184,0.0,0
26,Michigan Non-UZA,,28187710,1588229,6809414,5676124,126339834,0.0,0,0,0,5232493,6809414,28463459,0.0,0,0.0,0
27,Minnesota Non-UZA,,14084393,936076,662372,3155313,74307619,0.0,0,0,0,2649555,662372,10090064,0.0,0,0.0,0
28,Mississippi Non-UZA,,11303824,564585,797711,1762951,30733622,0.0,0,0,0,416264,797711,3232344,0.0,0,0.0,0
29,Missouri Non-UZA,,11414815,678365,0,1348760,40636247,0.0,0,0,0,7089114,0,27225925,0.0,0,0.0,0
30,Montana Non-UZA,,4393327,251957,0,944981,17814310,0.0,0,0,0,1310319,0,5014461,0.0,0,0.0,0
31,Nebraska Non-UZA,,5215095,258262,884447,652020,22004524,0.0,0,0,0,989558,884447,2783334,0.0,0,0.0,0
32,Nevada Non-UZA,,2113912,112193,2713793,570437,9548494,0.0,0,0,0,971568,2713793,4087933,0.0,0,0.0,0
33,New Hampshire Non-UZA,,968930,63330,24190,508516,5160629,0.0,0,0,0,189021,24190,1586689,0.0,0,0.0,0
34,New Jersey Non-UZA,,2640193,141584,15013479,957144,29002625,40.6,478761,14691706,18629349,916666,321773,5436113,28.3,451941,0.0,0
35,New Mexico Non-UZA,,4490875,254761,1205309,1049029,22992134,0.0,0,0,0,2429785,1205309,11169223,0.0,0,0.0,0
36,New York Non-UZA,,14400433,757031,33586276,5385215,104986573,55.8,1079453,24111620,23856723,2905691,9474656,33342535,55.8,1079453,0.0,0
37,North Carolina Non-UZA,,29073761,1616180,139517,5645570,130936642,0.0,0,0,0,4807182,139517,18080259,0.0,0,0.0,0
38,North Dakota Non-UZA,,3021931,191720,0,407395,10933804,0.0,0,0,0,577235,0,2462459,0.0,0,0.0,0
39,Ohio Non-UZA,,16194338,917072,985262,2373679,69046630,0.0,0,0,0,1533245,985262,7786044,0.0,0,0.0,0
40,Oklahoma Non-UZA,,15896795,1024542,0,1996088,48054221,0.0,0,0,0,3066370,0,11062031,0.0,0,0.0,0
41,Oregon Non-UZA,,11389025,587487,4158764,2366769,58672932,0.0,0,0,0,2948602,4158764,17038204,0.0,0,0.0,0
42,Pennsylvania Non-UZA,,20444948,1073268,10835625,3893173,102872864,0.0,0,0,0,8951154,10835625,43100200,0.0,0,0.0,0
44,Rhode Island Non-UZA,,205296,7687,764768,36542,2476361,0.0,0,0,0,205296,764768,2476361,0.0,0,0.0,0
